Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T2-597-PAST_S54_R1_16S	012024-BEL-CBC-T2-597-PAST_S54_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	923234.0	212.7 Mbp	0.0	194-251	43.0	1.7324968534521041	230.92859556732097	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-640-MCAV_S56_R1_16S	012024-BEL-CBC-T3-640-MCAV_S56_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	965640.0	222.5 Mbp	0.0	194-251	33.0	1.4559256037446666	230.9389006254919	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T1-773-SSID_S63_R1_16S	022024-BEL-CBC-T1-773-SSID_S63_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	880830.0	204.1 Mbp	0.0	199-251	47.0	2.3481261991530715	231.27244417197417	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-845-SSID_S70_R1_16S	022024-BEL-CBC-T3-845-SSID_S70_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	936000.0	217.1 Mbp	0.0	197-251	47.0	2.3826923076923077	231.54951495726496	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-846-OFAV_S94_R1_16S	022024-BEL-CBC-T3-846-OFAV_S94_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1292400.0	297.3 Mbp	0.0	201-251	33.0	2.091689879294336	229.6184524914887	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-849-PSTR_S23_R1_16S	022024-BEL-CBC-T3-849-PSTR_S23_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454819.0	105.6 Mbp	0.0	207-251	40.0	1.6967189145572195	232.36961516559336	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-850-MCAV_S43_R1_16S	022024-BEL-CBC-T3-850-MCAV_S43_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749153.0	172.6 Mbp	0.0	201-251	33.0	1.598338390155282	230.93138317539942	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-853-SSID_S75_R1_16S	022024-BEL-CBC-T3-853-SSID_S75_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	453660.0	105 Mbp	0.0	199-251	48.0	4.936736763214742	231.12874399329894	230	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T4-871-PSTR_S91_R1_16S	022024-BEL-CBC-T4-871-PSTR_S91_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1453437.0	336.3 Mbp	0.0	131-251	36.0	1.3318086714456836	232.41207152425596	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T1-932-SSID_S18_R1_16S	042024-BEL-CBC-T1-932-SSID_S18_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	444847.0	103.2 Mbp	0.0	132-251	54.0	4.663176328040877	232.1376270942594	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
