Sample	Unique Reads	Duplicate Reads
122022-BEL-CBC-T3-128-MCAV_S68_R1_16S	13496.0	1027501.0
122022-BEL-CBC-T3-129-PAST_S16_R1_16S	12455.0	518126.0
122022-BEL-CBC-T3-132-MCAV_S55_R1_16S	15331.0	836302.0
122022-BEL-CBC-T3-133-MCAV_S57_R1_16S	15477.0	561330.0
122022-BEL-CBC-T3-145-MCAV_S93_R1_16S	7697.0	542785.0
122022-BEL-CBC-T3-147-OFAV_S92_R1_16S	26805.0	1296518.0
122022-BEL-CBC-T4-10-OFAV_S64_R1_16S	18803.0	1478598.0
122022-BEL-CBC-T4-36-PSTR_S86_R1_16S	9536.0	772931.0
122022-BEL-CBC-T4-38-MCAV_S66_R1_16S	12860.0	974797.0
122022-BEL-CBC-T4-5-MCAV_S21_R1_16S	8871.0	487047.0
122022-BEL-CBC-T4-6-MCAV_S87_R1_16S	10159.0	827518.0
122022-BEL-CBC-T4-9-OFAV_S9_R1_16S	7233.0	444740.0
122023-BEL-CBC-T1-511-OANN_S14_R1_16S	8488.0	560917.0
122023-BEL-CBC-T3-479-PAST_S29_R1_16S	14290.0	529830.0
122023-BEL-CBC-T3-530-PSTR_S31_R1_16S	7198.0	445226.0
Negative_S96_R1_16S	1790.0	25942.0
Undetermined_S0_R1_16S	350933.0	2611369.0
