Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T2-597-PAST_S54_R1_16S	(1.0, 1.2522285791034558)	(2.0, 0.3983822086274985)	(3.0, 0.24500830775296403)	(4.0, 0.16247235262132892)	(5.0, 0.12293741348347223)	(6.0, 0.10658186331959178)	(7.0, 0.08264427003338265)	(8.0, 0.10398230567765052)	(9.0, 0.059464881059406394)	('>10', 1.180740743950071)	('>50', 0.7813837012068445)	('>100', 2.328662072670634)	('>500', 0.7313422165994754)	('>1k', 6.271757755888539)	('>5k', 2.2791621625720024)	('>10k+', 83.89324916543369)
012024-BEL-CBC-T3-640-MCAV_S56_R1_16S	(1.0, 1.0738991756762355)	(2.0, 0.3191665631084048)	(3.0, 0.17553125388343482)	(4.0, 0.1366969056791351)	(5.0, 0.11494967068472722)	(6.0, 0.08947433826270661)	(7.0, 0.0739405989809867)	(8.0, 0.06627728760200488)	(9.0, 0.06244563191251398)	('>10', 1.0800091131270453)	('>50', 0.4807174516382917)	('>100', 1.3905803404995651)	('>500', 0.5990845449649973)	('>1k', 2.1037860900542644)	('>5k', 0.0)	('>10k+', 92.23344103392569)
022024-BEL-CBC-T1-773-SSID_S63_R1_16S	(1.0, 1.616770545962331)	(2.0, 0.4800018164685581)	(3.0, 0.29324614284254624)	(4.0, 0.19890330710806856)	(5.0, 0.1663204023477856)	(6.0, 0.15667041313306768)	(7.0, 0.12000045411713953)	(8.0, 0.11262105060000228)	(9.0, 0.10115459282721978)	('>10', 3.8907621220893933)	('>50', 2.299649194509724)	('>100', 6.058036170430162)	('>500', 2.6435293984083197)	('>1k', 3.571971890149064)	('>5k', 3.5928612785668066)	('>10k+', 74.6975012204398)
022024-BEL-CBC-T3-845-SSID_S70_R1_16S	(1.0, 1.668482905982906)	(2.0, 0.49230769230769234)	(3.0, 0.29903846153846153)	(4.0, 0.21452991452991454)	(5.0, 0.1736111111111111)	(6.0, 0.14551282051282052)	(7.0, 0.1204059829059829)	(8.0, 0.10683760683760685)	(9.0, 0.1)	('>10', 2.880876068376068)	('>50', 3.2261752136752135)	('>100', 8.929700854700855)	('>500', 4.113034188034188)	('>1k', 7.447970085470086)	('>5k', 6.428952991452991)	('>10k+', 63.6525641025641)
022024-BEL-CBC-T3-846-OFAV_S94_R1_16S	(1.0, 1.3734911792014854)	(2.0, 0.5776849272671)	(3.0, 0.3867223769730733)	(4.0, 0.2807180439492417)	(5.0, 0.20852677189724544)	(6.0, 0.1787372330547818)	(7.0, 0.13974001857010215)	(8.0, 0.12565769111730116)	(9.0, 0.09818941504178273)	('>10', 1.7377746827607552)	('>50', 0.8326369545032498)	('>100', 1.720984215413185)	('>500', 0.7564995357474467)	('>1k', 2.403822346022903)	('>5k', 0.8587898483441658)	('>10k+', 88.32002476013618)
022024-BEL-CBC-T3-849-PSTR_S23_R1_16S	(1.0, 1.2435716185999266)	(2.0, 0.29858031436681404)	(3.0, 0.17809282373867408)	(4.0, 0.13280008091130757)	(5.0, 0.10443714972329651)	(6.0, 0.07387554169900554)	(7.0, 0.06618017277202579)	(8.0, 0.08442919051314918)	(9.0, 0.06727951119016576)	('>10', 2.4442690388923944)	('>50', 1.6483480241590611)	('>100', 3.606049879182708)	('>500', 1.4295796789492083)	('>1k', 4.474966964880535)	('>5k', 0.0)	('>10k+', 84.14754001042172)
022024-BEL-CBC-T3-850-MCAV_S43_R1_16S	(1.0, 1.1238024809351361)	(2.0, 0.3734884596337464)	(3.0, 0.2290586836066865)	(4.0, 0.18153835064399396)	(5.0, 0.1401582854236718)	(6.0, 0.12414019566096646)	(7.0, 0.12894562258977804)	(8.0, 0.0779547035118327)	(9.0, 0.06847733373556537)	('>10', 1.1729246228740993)	('>50', 0.6742280949285393)	('>100', 1.4397593015044992)	('>500', 0.6676873749421013)	('>1k', 0.5101761589421654)	('>5k', 0.0)	('>10k+', 93.08766033106723)
022024-BEL-CBC-T3-853-SSID_S75_R1_16S	(1.0, 3.357139708151479)	(2.0, 0.9672441916854032)	(3.0, 0.6189657452717895)	(4.0, 0.5519552087466384)	(5.0, 0.45849314464576996)	(6.0, 0.42057928845390824)	(7.0, 0.3903804611382974)	(8.0, 0.40735352466604946)	(9.0, 0.4007406427721201)	('>10', 6.977912974474276)	('>50', 3.281091566371291)	('>100', 9.026142926420668)	('>500', 3.7234933650751665)	('>1k', 7.434642683948331)	('>5k', 11.113609310937706)	('>10k+', 50.870255257241105)
022024-BEL-CBC-T4-871-PSTR_S91_R1_16S	(1.0, 1.0076116130248507)	(2.0, 0.2408085111360176)	(3.0, 0.13767366593804892)	(4.0, 0.10402927681075959)	(5.0, 0.07946680867488581)	(6.0, 0.0780219576080697)	(7.0, 0.06549991502899678)	(8.0, 0.05614278431056867)	(9.0, 0.05572996972004979)	('>10', 1.2597725254001377)	('>50', 0.6225932049342352)	('>100', 2.155098569803851)	('>500', 0.8988349684231239)	('>1k', 1.3470828112948825)	('>5k', 2.0790030802848696)	('>10k+', 89.81263033760665)
042024-BEL-CBC-T1-932-SSID_S18_R1_16S	(1.0, 3.043518333269641)	(2.0, 1.1671428603542342)	(3.0, 0.7627341535404308)	(4.0, 0.5422088942939932)	(5.0, 0.4372289798514995)	(6.0, 0.3628213745400104)	(7.0, 0.35090716583454534)	(8.0, 0.32011006031287165)	(9.0, 0.2650349445989295)	('>10', 5.203137258428179)	('>50', 3.5326752793657143)	('>100', 11.770788608218107)	('>500', 5.300024502806583)	('>1k', 22.27822150087558)	('>5k', 19.73082880181276)	('>10k+', 24.93261728189692)
042024-BEL-CBC-T1-938-SSID_S17_R1_16S	(1.0, 2.2056574674796483)	(2.0, 0.5049683418687733)	(3.0, 0.3269930306560033)	(4.0, 0.2134402269754609)	(5.0, 0.2049807057843603)	(6.0, 0.16203236742954194)	(7.0, 0.2027031423867563)	(8.0, 0.16658749422474994)	(9.0, 0.16691286042440767)	('>10', 6.549946965309456)	('>50', 5.266377307659771)	('>100', 12.612820729731315)	('>500', 5.4739609430413925)	('>1k', 13.585014934308564)	('>5k', 7.367266858849636)	('>10k+', 44.990336623870164)
042024-BEL-CBC-T1-940-SSID_S35_R1_16S	(1.0, 3.1593866391042877)	(2.0, 1.0015854899098509)	(3.0, 0.6054579387978035)	(4.0, 0.4689523193708985)	(5.0, 0.3420804697360837)	(6.0, 0.32624189906095236)	(7.0, 0.2971773054509176)	(8.0, 0.2403543921009619)	(9.0, 0.23806841282826255)	('>10', 4.711403281033393)	('>50', 2.6747590332920224)	('>100', 6.16104070839232)	('>500', 2.1831102054278944)	('>1k', 10.58081834792278)	('>5k', 2.934544249210929)	('>10k+', 64.07501930836065)
042024-BEL-CBC-T2-1030-SSID_S48_R1_16S	(1.0, 2.0239560690581646)	(2.0, 0.7074056414784089)	(3.0, 0.39540023169257044)	(4.0, 0.24800894862697678)	(5.0, 0.18582541837913097)	(6.0, 0.17186585036430846)	(7.0, 0.15990050635160344)	(8.0, 0.12617999140670746)	(9.0, 0.10279318265460222)	('>10', 2.600105512579021)	('>50', 0.9028395936859243)	('>100', 1.5984611842427296)	('>500', 0.8517149419952754)	('>1k', 14.505441512129414)	('>5k', 2.271602431502938)	('>10k+', 73.14849898385222)
