.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T1-171-PAST_S42_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
092023-BEL-CBC-T1-175-PAST_S7_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
092023-BEL-CBC-T2-174-SSID_S46_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
092023-BEL-CBC-T2-181-PAST_S63_R2_16S	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T2-184-MCAV_S37_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T3-171-OFAV_S78_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
092023-BEL-CBC-T3-173-OFAV_S84_R2_16S	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T3-178-PAST_S74_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T3-195-PSTR_S66_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T4-92-PSTR_S43_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T4-94-MCAV_S85_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
102019-BEL-CBC-T1-29-PSTR_S22_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
112023-BEL-CBC-T1-276-MCAV_S26_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T2-304-OFAV_S72_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T2-307-SSID_S62_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
112023-BEL-CBC-T2-310-MCAV_S55_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T3-352-PAST_S30_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T3-355-PSTR_S10_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T4-399-MCAV_S9_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
112023-BEL-CBC-T4-401-MCAV_S53_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022-BEL-CBC-T3-123-PAST_S20_R2_16S	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022-BEL-CBC-T3-124-PAST_S64_R2_16S	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022-BEL-CBC-T3-126-SSID_S77_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
122022-BEL-CBC-T3-127-OFAV_S32_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022-BEL-CBC-T3-141-PSTR_S80_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
122022-BEL-CBC-T3-142-MCAV_S24_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T1-507-PAST_S51_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T1-508-SSID_S75_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
122023-BEL-CBC-T2-513-SSID_S45_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T2-515-PAST_S73_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T2-518-MCAV_S27_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T2-522-MCAV_S88_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T3-524-OFAV_S39_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T3-525-PAST_S29_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T3-526-SSID_S11_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
122023-BEL-CBC-T3-531-PSTR_S28_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T3-532-MCAV_S52_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023-BEL-CBC-T4-539-MCAV_S44_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Negative_S96_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Undetermined_S0_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
