Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	94.64575047871557	54.0	235.35224522862615	231	45.45454545454545	0.19009199999999998
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	96.7586010804663	44.0	232.80588655965397	230	45.45454545454545	0.116061
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	97.54867822626493	43.0	231.90229889141557	231	45.45454545454545	0.28143999999999997
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	96.46497025465037	49.0	229.1386215002467	228	45.45454545454545	0.636402
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	97.1621679812042	50.0	228.79826110602835	228	45.45454545454545	1.695273
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	97.60160847537068	43.0	231.71455141987755	231	45.45454545454545	0.537652
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	97.46446725694942	39.0	231.79402586805747	230	45.45454545454545	0.181382
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	90.46092715231788	55.0	236.49944370860928	230	45.45454545454545	0.03775
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	96.76268103428427	54.0	230.67726445919442	230	36.36363636363637	0.47774099999999997
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	83.58588798882217	54.0	232.97501621783462	228	45.45454545454545	0.060119
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	96.316202774627	48.0	228.5258267166914	228	45.45454545454545	0.22921999999999998
022024-BEL-CBC-T1-776-PSTR_S59_R2_16S	96.7465842157083	45.0	234.55418617103967	231	45.45454545454545	0.115786
022024-BEL-CBC-T2-804-OFAV_S87_R2_16S	97.60473012350158	46.0	228.84123319500586	228	45.45454545454545	1.449941
022024-BEL-CBC-T2-814-MCAV_S1_R2_16S	94.37562838759659	39.0	230.51735702669063	228	45.45454545454545	0.351097
022024-BEL-CBC-T3-851-PSTR_S13_R2_16S	96.91654901597735	49.0	232.48288008887448	231	54.54545454545454	0.6481049999999999
022024-BEL-CBC-T4-874-OFAV_S89_R2_16S	98.17173809595413	46.0	228.27452586367022	228	45.45454545454545	0.565291
022024-BEL-CBC-T4-875-MCAV_S76_R2_16S	98.1327388193285	39.0	231.41207868676543	230	45.45454545454545	0.216199
042024-BEL-CBC-T1-927-PSTR_S67_R2_16S	97.19482120838471	45.0	233.4032193212888	230	45.45454545454545	0.074612
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	97.4533305981303	43.0	228.7327671742143	228	45.45454545454545	0.477722
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	98.74882526683224	53.0	231.19155618580922	231	36.36363636363637	2.38352
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	97.69531747285563	48.0	228.21096756480674	228	45.45454545454545	0.6519769999999999
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	95.46178064237166	40.0	229.723547772508	228	45.45454545454545	0.370035
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	73.99005250069081	55.0	237.27767339043936	228	45.45454545454545	0.03619
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	95.23464062719152	46.0	234.420133195978	231	63.63636363636363	0.206763
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	97.9996002161794	40.0	228.7326297631651	228	54.54545454545454	0.270146
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	95.4604432176819	46.0	228.6956225456623	228	45.45454545454545	0.290557
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	96.95203836518108	53.0	232.02142823981333	231	36.36363636363637	0.581569
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	94.47828226152419	49.0	229.68992023539164	228	45.45454545454545	0.412589
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	95.77050208085384	49.0	229.01566438235722	228	45.45454545454545	0.784774
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	93.00144822592324	45.0	230.28183079893796	228	45.45454545454545	0.16572
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	95.1742022344702	42.0	229.18737688803552	228	45.45454545454545	0.261449
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	91.48397736643066	43.0	230.62842749770158	228	45.45454545454545	0.10550699999999999
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	93.99691118279766	45.0	234.68409990221792	231	45.45454545454545	0.109427
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	90.396390331474	49.0	231.20282746682054	228	45.45454545454545	0.124776
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	92.74172973892338	59.0	238.65169232077557	231	45.45454545454545	0.047035999999999994
062019-BEL-CBC-T1-22-MCAV_S18_R2_16S	96.5441845392181	40.0	229.2144413339112	228	45.45454545454545	0.256119
062019-BEL-CBC-T2-18-MCAV_S79_R2_16S	95.09364717792964	47.0	233.8532143761073	230	45.45454545454545	0.07901999999999999
062019-BEL-CBC-T3-1-MCAV_S48_R2_16S	97.67145064147057	46.0	235.6762980543179	231	54.54545454545454	0.089326
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	95.68183170673649	51.0	231.6815564746489	230	45.45454545454545	0.134432
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	97.62703712814036	47.0	228.25468369673362	228	45.45454545454545	1.089524
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	98.18109667014278	53.0	233.56017287464147	230	45.45454545454545	9.82446
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	97.370139642738	51.0	230.80670548106713	230	45.45454545454545	0.920277
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	98.18567893187766	40.0	232.60578871790693	231	45.45454545454545	0.196382
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	96.76209920937832	55.0	228.81905881583532	228	36.36363636363637	0.9785969999999999
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	96.02318428189758	40.0	229.72478163688467	228	45.45454545454545	0.247409
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	98.2546780843641	49.0	233.02970662860767	231	45.45454545454545	0.6305999999999999
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	96.72287198889232	49.0	229.0701293268094	228	45.45454545454545	0.494793
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	93.84355992562479	49.0	233.78141249881818	230	45.45454545454545	0.12692399999999998
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	96.68336094554364	49.0	228.74919289826647	228	45.45454545454545	0.7876949999999999
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	96.6719632673392	49.0	231.6655159021739	231	54.54545454545454	0.929527
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	96.48382517564367	43.0	231.6149959634217	230	45.45454545454545	0.33320299999999997
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	97.42417425045116	51.0	232.16125278797819	231	45.45454545454545	0.41338199999999997
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	96.21320694923351	45.0	232.5667466027178	231	45.45454545454545	0.422838
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	98.75096180999338	48.0	231.16235113633542	230	45.45454545454545	6.483868999999999
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	97.588405833362	43.0	232.75255749076615	230	45.45454545454545	0.319747
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	92.51369627849348	46.0	230.20756392840616	228	45.45454545454545	0.06698899999999999
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	98.42664022045733	49.0	231.23017652031834	231	45.45454545454545	0.984136
