Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	477722.0	109 Mbp	0.0	200-251	43.0	2.5466694018697065	228.7327671742143	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	042024-BEL-CBC-T2-1018-PAST_S15_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2383520.0	551 Mbp	0.0	208-251	53.0	1.2511747331677519	231.19155618580922	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	651977.0	148.7 Mbp	0.0	210-251	48.0	2.3046825271443625	228.21096756480674	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	370035.0	85 Mbp	0.0	205-251	40.0	4.538219357628333	229.723547772508	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	042024-BEL-CBC-T3-960-OFAV_S4_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36190.0	8.5 Mbp	0.0	216-251	55.0	26.0099474993092	237.27767339043936	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206763.0	48.4 Mbp	0.0	214-251	46.0	4.765359372808481	234.420133195978	231	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	270146.0	61.6 Mbp	0.0	192-251	40.0	2.0003997838206007	228.7326297631651	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	052022-BEL-CBC-T1-2-SSID_S8_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	290557.0	66.4 Mbp	0.0	205-251	46.0	4.539556782318099	228.6956225456623	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	052022-BEL-CBC-T2-1-SSID_S57_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	581569.0	134.9 Mbp	0.0	210-251	53.0	3.0479616348189125	232.02142823981333	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	052022-BEL-CBC-T2-71-OFAV_S21_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412589.0	94.5 Mbp	0.0	201-251	49.0	5.52171773847582	229.68992023539164	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
