Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-561-OANN_S95_R2_16S	(1.0, 45.632264882000705)	(2.0, 21.873899260302924)	(3.0, 14.424092990489608)	(4.0, 7.115181401902078)	(5.0, 2.7298344487495596)	(6.0, 1.3737231419513913)	(7.0, 0.7396970764353645)	(8.0, 0.42268404367735113)	(9.0, 0.1585065163790067)	('>10', 5.5301162381120115)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-587-SSID_S63_R2_16S	(1.0, 4.352939225687788)	(2.0, 1.8423492887108275)	(3.0, 1.222960743572377)	(4.0, 0.9387767076233516)	(5.0, 0.8188785955084127)	(6.0, 0.6704090183788499)	(7.0, 0.6366079548570853)	(8.0, 0.5867354422645947)	(9.0, 0.561352756827496)	('>10', 11.670933253741394)	('>50', 4.233551318305253)	('>100', 0.7015315070554937)	('>500', 8.968633888563634)	('>1k', 62.79434029890344)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-589-SSID_S52_R2_16S	(1.0, 7.619310587359348)	(2.0, 3.573857103411896)	(3.0, 2.4706265377022967)	(4.0, 1.7880275237549674)	(5.0, 1.5076522797488299)	(6.0, 1.1448541320662187)	(7.0, 1.015450173294155)	(8.0, 0.8462084777451291)	(9.0, 0.8357682432794425)	('>10', 19.09189192159384)	('>50', 7.472185704296844)	('>100', 22.27245440296283)	('>500', 21.877099208328012)	('>1k', 8.484613704456194)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-603-MCAV_S39_R2_16S	(1.0, 3.858146584552686)	(2.0, 1.3549815647051109)	(3.0, 0.8585652246281417)	(4.0, 0.6028417086567707)	(5.0, 0.48219266522412374)	(6.0, 0.37949975032911165)	(7.0, 0.3057585707728701)	(8.0, 0.28487700556337353)	(9.0, 0.22606564074628901)	('>10', 7.848139573592386)	('>50', 6.265478334115131)	('>100', 22.442033481118322)	('>500', 10.564155330599563)	('>1k', 44.527264565396116)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T3-629-OFAV_S35_R2_16S	(1.0, 4.788667617164145)	(2.0, 2.0769902957273603)	(3.0, 1.3011084027043187)	(4.0, 0.9621487375247206)	(5.0, 0.69677597387665)	(6.0, 0.5160281469898358)	(7.0, 0.5022306029526744)	(8.0, 0.4709561698017753)	(9.0, 0.41806558432598995)	('>10', 11.74676907510463)	('>50', 0.8683254380720231)	('>100', 43.46272363519294)	('>500', 30.637446534516855)	('>1k', 1.5517637860460838)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T3-635-OFAV_S82_R2_16S	(1.0, 3.533455796963746)	(2.0, 1.4220983509638732)	(3.0, 0.8647621460695509)	(4.0, 0.5732987056861131)	(5.0, 0.3914613289415341)	(6.0, 0.2944194590485843)	(7.0, 0.244167141741095)	(8.0, 0.22499524925571673)	(9.0, 0.19611072401342877)	('>10', 3.6740778277485697)	('>50', 0.05895145795063449)	('>100', 14.165832647114716)	('>500', 53.152509448702524)	('>1k', 21.20385971579992)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T3-639-OFAV_S1_R2_16S	(1.0, 3.1870644275258173)	(2.0, 1.4474004387016812)	(3.0, 0.8977979136286371)	(4.0, 0.6046590608702959)	(5.0, 0.42408412708694027)	(6.0, 0.27782105663032997)	(7.0, 0.21812541686288034)	(8.0, 0.15825471656825346)	(9.0, 0.13155798617371955)	('>10', 2.578904156111976)	('>50', 0.14039854279617175)	('>100', 15.893832792688073)	('>500', 52.855937440370006)	('>1k', 21.18416192398522)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T4-667-OFAV_S24_R2_16S	(1.0, 1.325765606734732)	(2.0, 0.3245704545609216)	(3.0, 0.2010242815345063)	(4.0, 0.15118701173740995)	(5.0, 0.1353249395225778)	(6.0, 0.12846707991814543)	(7.0, 0.10443839626597398)	(8.0, 0.0996745395941927)	(9.0, 0.10129739186699731)	('>10', 1.876750128388555)	('>50', 0.8724663218890838)	('>100', 3.17435139567913)	('>500', 1.2008059817287773)	('>1k', 3.737376434195696)	('>5k', 6.434295161230373)	('>10k+', 80.13220487515292)
022024-BEL-CBC-T1-774-MCAV_S80_R2_16S	(1.0, 3.8981711723138037)	(2.0, 1.4803299499769025)	(3.0, 0.9184282577556746)	(4.0, 0.6274122850397311)	(5.0, 0.4613667860130811)	(6.0, 0.3260402861055872)	(7.0, 0.29241229085772336)	(8.0, 0.24854462923680742)	(9.0, 0.2555262199457065)	('>10', 6.718501099018738)	('>50', 1.4254081030668964)	('>100', 38.36593542261314)	('>500', 41.680561971508126)	('>1k', 3.3013615265480807)	('>5k', 0.0)	('>10k+', 0.0)
022024-BEL-CBC-T2-807-SSID_S31_R2_16S	(1.0, 3.9292845074091263)	(2.0, 1.3893782567186812)	(3.0, 0.9687738748513)	(4.0, 0.8005088650193674)	(5.0, 0.6279412944660929)	(6.0, 0.5428203634384671)	(7.0, 0.49409677040489425)	(8.0, 0.4279303636361522)	(9.0, 0.3799044831519862)	('>10', 6.647921456172605)	('>50', 3.429722322033878)	('>100', 12.78151247800752)	('>500', 7.202486647526085)	('>1k', 22.20039932414911)	('>5k', 5.634959119858876)	('>10k+', 32.54235987315586)
022024-BEL-CBC-T3-842-MCAV_S22_R2_16S	(1.0, 1.9806171449433756)	(2.0, 0.6299388551730758)	(3.0, 0.4364565113221398)	(4.0, 0.36383178445169906)	(5.0, 0.313159710665606)	(6.0, 0.2813716395327153)	(7.0, 0.24620018459112597)	(8.0, 0.23227323263438918)	(9.0, 0.2202346809429727)	('>10', 3.869253460296778)	('>50', 1.800510969638458)	('>100', 4.454972275923605)	('>500', 2.4594839788908325)	('>1k', 7.863456071482244)	('>5k', 0.0)	('>10k+', 74.84823949951098)
022024-BEL-CBC-T3-843-MCAV_S73_R2_16S	(1.0, 4.590112035457375)	(2.0, 1.9149796858786077)	(3.0, 1.1629174947675747)	(4.0, 0.7865346395342702)	(5.0, 0.5135691295706772)	(6.0, 0.41577993914557576)	(7.0, 0.32995057776527076)	(8.0, 0.2842218196528132)	(9.0, 0.21527692280633873)	('>10', 0.7126651071987619)	('>50', 7.263837346324991)	('>100', 81.37186274337373)	('>500', 0.4382925585240164)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
022024-BEL-CBC-T3-852-OFAV_S18_R2_16S	(1.0, 1.9137564530822957)	(2.0, 0.5806255693896143)	(3.0, 0.3911327057394473)	(4.0, 0.3012450652900091)	(5.0, 0.23484158315618991)	(6.0, 0.20406923777710295)	(7.0, 0.20265209029253972)	(8.0, 0.1765360866484462)	(9.0, 0.20589128454296993)	('>10', 2.967506832675372)	('>50', 1.5501568984715053)	('>100', 4.270675169551574)	('>500', 2.039882579208422)	('>1k', 0.48527178864257514)	('>5k', 2.010932280595202)	('>10k+', 82.46482437493673)
042024-BEL-CBC-T1-924-MCAV_S38_R2_16S	(1.0, 8.513378602572237)	(2.0, 3.9166422578560884)	(3.0, 3.097762222872991)	(4.0, 2.6183366272885826)	(5.0, 2.2600209588647764)	(6.0, 1.9698082358947662)	(7.0, 1.7485089327119014)	(8.0, 1.5332823234466977)	(9.0, 1.3229978292210796)	('>10', 21.014060362892252)	('>50', 6.77065474593474)	('>100', 37.897642527457556)	('>500', 7.10014577446654)	('>1k', 0.236758598519788)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T1-931-SSID_S45_R2_16S	(1.0, 8.740726147020784)	(2.0, 4.227435828677025)	(3.0, 2.9212978924844166)	(4.0, 2.1481955777380097)	(5.0, 1.702904697536033)	(6.0, 1.378012006983095)	(7.0, 1.2105490704712496)	(8.0, 1.1456070166605556)	(9.0, 0.9982104450902165)	('>10', 18.92404151183642)	('>50', 7.996081586191423)	('>100', 12.300499287644044)	('>500', 27.317072280870736)	('>1k', 8.989366650795997)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T2-1016-MCAV_S68_R2_16S	(1.0, 4.269053507612183)	(2.0, 1.8359361638526552)	(3.0, 1.2461165748822518)	(4.0, 0.9348476894271195)	(5.0, 0.7454540316979695)	(6.0, 0.6322045064834052)	(7.0, 0.5574732045525863)	(8.0, 0.44437239834683956)	(9.0, 0.4169337412200015)	('>10', 5.837667253115292)	('>50', 0.20530659167262785)	('>100', 10.74189964738723)	('>500', 48.61408755682925)	('>1k', 23.518647132920588)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T2-1025-SSID_S59_R2_16S	(1.0, 6.20959657483859)	(2.0, 3.133124428919672)	(3.0, 2.178581554073051)	(4.0, 1.605346050274568)	(5.0, 1.265737628971015)	(6.0, 1.0562362283137436)	(7.0, 0.8554640526838584)	(8.0, 0.7565328357068136)	(9.0, 0.6574976993842045)	('>10', 12.680550303770948)	('>50', 9.120481363435234)	('>100', 3.6234597411298317)	('>500', 7.190699116309474)	('>1k', 49.666692422189)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T2-1035-SSID_S4_R2_16S	(1.0, 6.8775839735968916)	(2.0, 2.988093759426513)	(3.0, 2.1399293787816953)	(4.0, 1.549053356282272)	(5.0, 1.2243377042780843)	(6.0, 0.9182532782085633)	(7.0, 0.7390386287417712)	(8.0, 0.7204074028071047)	(9.0, 0.5429671558102809)	('>10', 10.869102329790444)	('>50', 4.548237131146086)	('>100', 16.434959277463314)	('>500', 6.172258991784516)	('>1k', 40.54820164309669)	('>5k', 3.7275759887857767)	('>10k+', 0.0)
