Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-561-OANN_S95_R2_16S	012024-BEL-CBC-T1-561-OANN_S95_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5678.0	1.4 Mbp	0.0	251.0	38.0	64.38886932018316	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
012024-BEL-CBC-T2-587-SSID_S63_R2_16S	012024-BEL-CBC-T2-587-SSID_S63_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	783999.0	196.7 Mbp	0.0	251.0	42.0	7.0738610635982955	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T2-589-SSID_S52_R2_16S	012024-BEL-CBC-T2-589-SSID_S52_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	727953.0	182.7 Mbp	0.0	251.0	45.0	12.621556611484532	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T2-603-MCAV_S39_R2_16S	012024-BEL-CBC-T2-603-MCAV_S39_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	991305.0	248.8 Mbp	0.0	251.0	41.0	5.803360217087576	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T3-629-OFAV_S35_R2_16S	012024-BEL-CBC-T3-629-OFAV_S35_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217430.0	54.5 Mbp	0.0	251.0	37.0	7.651658004875133	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T3-635-OFAV_S82_R2_16S	012024-BEL-CBC-T3-635-OFAV_S82_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1184025.0	297.1 Mbp	0.0	251.0	35.0	5.219399928210975	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T3-639-OFAV_S1_R2_16S	012024-BEL-CBC-T3-639-OFAV_S1_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1142462.0	286.7 Mbp	0.0	251.0	35.0	4.826331204013788	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T4-667-OFAV_S24_R2_16S	012024-BEL-CBC-T4-667-OFAV_S24_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1910217.0	479.4 Mbp	0.0	251.0	37.0	1.7993767200270965	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T1-774-MCAV_S80_R2_16S	022024-BEL-CBC-T1-774-MCAV_S80_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	859403.0	215.7 Mbp	0.0	251.0	36.0	5.854761968482772	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
022024-BEL-CBC-T2-807-SSID_S31_R2_16S	022024-BEL-CBC-T2-807-SSID_S31_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	859953.0	215.8 Mbp	0.0	251.0	46.0	5.993118228554351	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-842-MCAV_S22_R2_16S	022024-BEL-CBC-T3-842-MCAV_S22_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1270917.0	319 Mbp	0.0	251.0	38.0	2.979580885297781	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-843-MCAV_S73_R2_16S	022024-BEL-CBC-T3-843-MCAV_S73_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	284285.0	71.3 Mbp	0.0	251.0	35.0	6.990168317005821	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
022024-BEL-CBC-T3-852-OFAV_S18_R2_16S	022024-BEL-CBC-T3-852-OFAV_S18_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	493950.0	123.9 Mbp	0.0	251.0	36.0	2.770725781961737	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T1-924-MCAV_S38_R2_16S	042024-BEL-CBC-T1-924-MCAV_S38_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	871955.0	218.8 Mbp	0.0	251.0	49.0	14.843214611943825	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
