Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-559-MCAV_S19_R1_16S	(1.0, 0.8008071950697223)	(2.0, 0.3143124686957847)	(3.0, 0.25217586980350026)	(4.0, 0.21312272704176075)	(5.0, 0.18365139625873794)	(6.0, 0.14372717968075144)	(7.0, 0.14634040112949237)	(8.0, 0.11498174374460116)	(9.0, 0.11171521693367499)	('>10', 1.8961825190002977)	('>50', 0.7468732079470968)	('>100', 2.2743011447361736)	('>500', 0.3588824122937551)	('>1k', 0.8956816515559556)	('>5k', 7.067602587089235)	('>10k+', 84.47964227901946)
012024-BEL-CBC-T2-591-PAST_S16_R1_16S	(1.0, 2.859860481611083)	(2.0, 1.6465055829904822)	(3.0, 1.1995178559348614)	(4.0, 0.9323091871813637)	(5.0, 0.8015235096480061)	(6.0, 0.7047667074603184)	(7.0, 0.6227694174707527)	(8.0, 0.576440948626648)	(9.0, 0.5248851525457083)	('>10', 10.18867576426599)	('>50', 6.323221017545371)	('>100', 18.232507415629915)	('>500', 7.3705314039371)	('>1k', 13.085742516209839)	('>5k', 19.32409633861601)	('>10k+', 15.606646700326554)
012024-BEL-CBC-T2-595-PAST_S86_R1_16S	(1.0, 1.6578140435419362)	(2.0, 0.7938305905220367)	(3.0, 0.47650047540565277)	(4.0, 0.29341245251207043)	(5.0, 0.19117286659081512)	(6.0, 0.14906430566772808)	(7.0, 0.11672493087879723)	(8.0, 0.10510296806402522)	(9.0, 0.07731131785478779)	('>10', 2.07266758575619)	('>50', 1.167501960153511)	('>100', 6.013102499816828)	('>500', 1.4671464796821982)	('>1k', 45.35993134620227)	('>5k', 36.21344661097669)	('>10k+', 3.845269566374461)
012024-BEL-CBC-T2-599-MCAV_S81_R1_16S	(1.0, 0.6616740654312858)	(2.0, 0.2946152183365841)	(3.0, 0.20005458310277396)	(4.0, 0.15790708019626548)	(5.0, 0.1372923609528841)	(6.0, 0.12719365233568108)	(7.0, 0.1226867906387475)	(8.0, 0.09748174929663747)	(9.0, 0.0976486701002276)	('>10', 2.0229966791106127)	('>50', 0.6957259093636728)	('>100', 2.3476576420934205)	('>500', 1.2361320109867273)	('>1k', 0.22492578283770373)	('>5k', 0.0)	('>10k+', 91.57600780521678)
012024-BEL-CBC-T4-665-MCAV_S24_R1_16S	(1.0, 1.1830954516415022)	(2.0, 0.5860259944534982)	(3.0, 0.44896320462710765)	(4.0, 0.3063270784674151)	(5.0, 0.25028408533810026)	(6.0, 0.1808238010360213)	(7.0, 0.14666131351152184)	(8.0, 0.1469709433078164)	(9.0, 0.12632895688817927)	('>10', 2.4009726504000932)	('>50', 1.6805673243547574)	('>100', 3.3701139128020565)	('>500', 1.7750044122245974)	('>1k', 4.329243811790496)	('>5k', 14.25225952343846)	('>10k+', 68.81635753571838)
012024-BEL-CBC-T4-669-MCAV_S23_R1_16S	(1.0, 1.173784041119974)	(2.0, 0.6446132754935542)	(3.0, 0.4978013772504771)	(4.0, 0.41025154772769473)	(5.0, 0.32752169979416307)	(6.0, 0.26644226096644585)	(7.0, 0.21460770485909456)	(8.0, 0.19279926357002602)	(9.0, 0.18276421993338945)	('>10', 2.618119179971001)	('>50', 1.0197816785388345)	('>100', 3.2891238300679935)	('>500', 2.120238786628897)	('>1k', 2.313196082382177)	('>5k', 11.796233302912137)	('>10k+', 72.93272174878413)
022024-BEL-CBC-T2-805-SSID_S12_R1_16S	(1.0, 1.20244040464123)	(2.0, 0.49898591851824314)	(3.0, 0.3296281150476474)	(4.0, 0.25197136613917903)	(5.0, 0.22305661920517494)	(6.0, 0.1858805160043124)	(7.0, 0.19372880445782784)	(8.0, 0.21479526293831658)	(9.0, 0.1319751663630618)	('>10', 5.010512575849577)	('>50', 3.5294579311085506)	('>100', 9.378911235857592)	('>500', 2.6415686663279514)	('>1k', 13.310903751068812)	('>5k', 9.016031161835839)	('>10k+', 53.88015250463669)
022024-BEL-CBC-T2-806-SSID_S55_R1_16S	(1.0, 2.0716238922017594)	(2.0, 1.21415785369925)	(3.0, 0.9343392745362897)	(4.0, 0.7766393217584204)	(5.0, 0.6918591243040226)	(6.0, 0.6272856060356472)	(7.0, 0.48583885173349145)	(8.0, 0.48320319792661903)	(9.0, 0.38546436925509836)	('>10', 7.0088623859256085)	('>50', 3.376052888786391)	('>100', 12.19099704587136)	('>500', 6.185879484729681)	('>1k', 13.361007698305494)	('>5k', 3.609747526329083)	('>10k+', 46.59704147860179)
022024-BEL-CBC-T2-809-MCAV_S69_R1_16S	(1.0, 0.7248451141963318)	(2.0, 0.2918074830071068)	(3.0, 0.20812095259515875)	(4.0, 0.18577533452704695)	(5.0, 0.1628455172937558)	(6.0, 0.15247598211182156)	(7.0, 0.12165947614860859)	(8.0, 0.1074926463930083)	(9.0, 0.11698588282717344)	('>10', 1.6218829323292896)	('>50', 0.5416986759125921)	('>100', 3.5587952644815672)	('>500', 0.9030258595760466)	('>1k', 0.20198686136077512)	('>5k', 1.434793149680589)	('>10k+', 89.66580886755912)
022024-BEL-CBC-T2-810-SSID_S57_R1_16S	(1.0, 2.432059797176711)	(2.0, 1.3012977984318173)	(3.0, 1.0302135313508254)	(4.0, 0.8081203968748323)	(5.0, 0.6217208018681952)	(6.0, 0.5850940979682677)	(7.0, 0.46541575974748567)	(8.0, 0.40872602059027313)	(9.0, 0.39472855413170216)	('>10', 6.166583848323453)	('>50', 3.0857414807919765)	('>100', 8.833801082004157)	('>500', 6.488058994655301)	('>1k', 17.883163147470306)	('>5k', 7.870075516331545)	('>10k+', 41.62519917228315)
