,Tubelabel_species,X,Date_Extracted,Raw_ng_ul,Date_Enriched,Microbe_Location,Month_year,colony,CollectionDate,Species,Health_status,Sample_physical_location,Extraction_physical_location,immune_y.n,Condition,Date_16S,Date_ITS2,Seq_run,Transect
122,052022_BEL_CBC_T1_40_MCAV,17,2022,13.9,11_8_2024,UML_NARWHAL_R6_B27,052022,1_15,5/21/22,MCAV,Diseased_Margin,Depleted_UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,2_10_2026,2_17_2026,4,CBC30N
160,052022_BEL_CBC_T3_50_MCAV,33,6_14_2022,4.26,10_30_2024,UML_NARWHAL_R6_B27,052022,3_17,5/20/22,MCAV,Diseased_Margin,Depleted_UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,2_10_2026,2_17_2026,4,Lagoon
275,082024_BEL_CBC_T3_1564_PAST,220,1_15_2025,3.08,,,082024,3_34,8/24/24,PAST,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,2_10_2026,2_17_2026,4,Lagoon
436,122022_BEL_CBC_T4_13_PSTR,112,7_3_2024,6.21,8_2_2024,UML_NARWHAL_R6_B27,122022,4_96,12/5/22,PSTR,Diseased_Tissue,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,n,Diseased,2_10_2026,2_17_2026,4,Curlew
395,122022_BEL_CBC_T2_101_OFAV,94,6_28_2023,13.3,10_17_2023,UML_NARWHAL_R6_B1,122022,2_80,12/4/22,OFAV,Diseased_Margin,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,n,Diseased,2_10_2026,2_17_2026,4,SR30N
105,042024_BEL_CBC_T3_962_SSID,9,9_9_2024,19.4,,,042024,3_36,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,2_10_2026,2_17_2026,4,Lagoon
69,042024_BEL_CBC_T1_1146_OANN,1,9_9_2024,14.6,,,042024,1_22,4/30/24,OANN,Diseased_Tissue,UML_NARWHAL_R5_B25,UML_NARWHAL_R2_B11,n,CLP,2_10_2026,2_17_2026,4,CBC30N
5,012024_BEL_CBC_T1_565_PAST,5,2_17_2025,7.72,,,012024,1_21,1/10/24,PAST,Bleached_Tissue,UML_NARWHAL_R5_B18,UML_NARWHAL_R2_B16,y,CLP,2_10_2026,2_17_2026,4,CBC30N
17,012024_BEL_CBC_T3_625_SSID,17,2_20_2025,16.2,,,012024,3_33,1/10/24,SSID,Healthy,UML_NARWHAL_R5_B18,UML_NARWHAL_R2_B16,y,DC,2_10_2026,2_17_2026,4,Lagoon
225,062024_BEL_CBC_T2_1393_PAST,170,12_4_2024,42.9,,,062024,2_57,6/21/24,PAST,Healthy,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B15,y,Healthy,2_10_2026,2_17_2026,4,SR30N
398,122022_BEL_CBC_T2_117_PSTR,97,7_3_2024,22.5,8_2_2024,UML_NARWHAL_R6_B27,122022,2_28,12/4/22,PSTR,Diseased_Tissue,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,n,Diseased,2_10_2026,2_17_2026,4,SR30N
309,092023_BEL_CBC_T3_172_PSTR,247,11_12_2024,168,,,092023,3_20,9/25/23,PSTR,Bleached_Tissue,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B12,y,CLP,2_10_2026,2_17_2026,4,Lagoon
242,062024_BEL_CBC_T4_1458_MCAV,187,1_13_2025,20.6,,,062024,4_30,6/22/24,MCAV,Healthy,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B15,y,Healthy,2_10_2026,2_17_2026,4,Curlew
459,122023_BEL_CBC_T2_517_SSID,350,11_18_2024,36.6,,,122023,2_99,12/15/23,SSID,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,CLP,2_10_2026,2_17_2026,4,SR30N
189,062019_BEL_CBC_T2_22_PAST,48,9_11_2024,1.2,10_6_2024,UML_NARWHAL_R6_B30,062019,2_56,6/25/19,PAST,Healthy,UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",n,Healthy,2_10_2026,2_17_2026,4,SR30N
85,042024_BEL_CBC_T2_1028_PAST,81,12_2_2024,28.5,,,042024,2_63,4/26/24,PAST,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,2_10_2026,2_17_2026,4,SR30N
353,112023_BEL_CBC_T2_308_PAST,277,11_13_2024,12.1,,,112023,2_63,11/14/23,PAST,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,CLB,2_10_2026,2_17_2026,4,SR30N
307,092023_BEL_CBC_T2_196_SSID,65,9_11_2024,11,,,092023,2_52,9/26/23,SSID,Diseased_Tissue,UML_NARWHAL_R1_B10,UML_NARWHAL_R2_B11,n,Diseased,2_10_2026,2_17_2026,4,SR30N
305,092023_BEL_CBC_T2_192_OFAV,63,9_11_2024,56,,,092023,2_80,9/26/23,OFAV,Diseased_Tissue,UML_NARWHAL_R1_B10,UML_NARWHAL_R2_B11,n,"CLP,CLB",2_10_2026,2_17_2026,4,SR30N
334,102019_BEL_CBC_T1_25_PSTR,73,5_25_2023,23.2,10_17_2023,UML_NARWHAL_R2_B1,102019,1_4,10/15/19,PSTR,Healthy,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,n,Healthy,2_11_2026,2_23_2026,4,CBC30N
385,122022_BEL_CBC_T1_136_OANN,90,6_28_2023,12.1,10_17_2023,UML_NARWHAL_R6_B1,122022,1_22,12/2/22,OANN,Diseased_Tissue,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,n,Diseased,2_11_2026,2_23_2026,4,CBC30N
218,062024_BEL_CBC_T2_1372_OFAV,163,12_4_2024,98.6,,,062024,2_76,6/21/24,OFAV,Healthy,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B15,y,Healthy,2_11_2026,2_23_2026,4,SR30N
140,052022_BEL_CBC_T2_46_PSTR,24,10_10_2023,63.9,10_17_2023,UML_NARWHAL_R2_B1,052022,2_70,5/22/22,PSTR,Diseased_Tissue,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,n,Diseased,2_11_2026,2_23_2026,4,SR30N
176,062019_BEL_CBC_T1_24_MCAV,41,6_13_2022,21.2,11_5_2024,UML_NARWHAL_R6_B27,062019,1_15,6/26/19,MCAV,Healthy,Depleted_UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33",n,Healthy,2_11_2026,2_23_2026,4,CBC30N
97,042024_BEL_CBC_T3_947_MCAV,89,12_3_2024,134,,,042024,3_21,4/25/24,MCAV,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,2_11_2026,2_23_2026,4,Lagoon
327,092023_BEL_CBC_T4_88_OFAV,72,9_11_2024,14.8,,,092023,4_100,9/26/23,OFAV,Diseased_Tissue,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B11,n,Diseased,2_11_2026,2_23_2026,4,Curlew
339,102019_BEL_CBC_T2_33_PSTR,79,6_6_2023,19,9_28_2023,UML_NARWHAL_R6_B1,102019,2_427,10/13/19,PSTR,Healthy,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,n,Healthy,2_11_2026,2_23_2026,4,SR30N
417,122022_BEL_CBC_T3_121_OFAV,323,6_22_2023,103.2,10_16_2023,UML_NARWHAL_R6_B1,122022,3_38,12/3/22,OFAV,Healthy,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,y,Healthy,2_11_2026,2_23_2026,4,Lagoon
270,082024_BEL_CBC_T3_1559_PSTR,215,1_15_2025,17.5,,,082024,3_20,8/24/24,PSTR,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,2_11_2026,2_23_2026,4,Lagoon
116,052022_BEL_CBC_T1_13_MCAV,13,2022,4.3,11_8_2024,UML_NARWHAL_R6_B27,052022,1_8,5/21/22,MCAV,Diseased_Tissue,Depleted_UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,2_11_2026,2_23_2026,4,CBC30N
181,062019_BEL_CBC_T1_9_MCAV,46,2022,3.56,11_5_2024,UML_NARWHAL_R6_B27,062019,1_333,6/21/19,MCAV,Healthy,UML_NARWHAL_R1_B1,UML_NARWHAL_R2_B33,n,Healthy,2_11_2026,2_23_2026,4,CBC30N
120,052022_BEL_CBC_T1_39_MCAV,15,7_17_2024,7.32,10_29_2024,UML_NARWHAL_R6_B30,052022,1_14,5/21/22,MCAV,Diseased_Margin,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B26,n,Diseased,2_11_2026,2_23_2026,4,CBC30N
328,092023_BEL_CBC_T4_91_MCAV,259,11_12_2024,80.6,,,092023,4_28,9/26/23,MCAV,Healthy,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B12,y,Healthy,2_11_2026,2_23_2026,4,Curlew
318,092023_BEL_CBC_T3_183_SSID,256,11_12_2024,48.4,,,092023,3_33,9/25/23,SSID,Healthy,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B12,y,"CLP,DC",2_11_2026,2_23_2026,4,Lagoon
165,052022_BEL_CBC_T3_60_MCAV,37,6_14_2022,12,11_8_2024,UML_NARWHAL_R6_B27,052022,3_22,5/20/22,MCAV,Diseased_Tissue,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,2_11_2026,2_23_2026,4,Lagoon
360,112023_BEL_CBC_T3_347_MCAV,284,11_15_2024,10.1,,,112023,3_2,11/13/23,MCAV,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,CLP,2_11_2026,2_23_2026,4,Lagoon
75,042024_BEL_CBC_T1_933_SSID,2,9_9_2024,25.4,,,042024,1_5,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,2_11_2026,2_23_2026,4,CBC30N
342,102019_BEL_CBC_T3_36_PSTR,83,6_6_2023,14.8,10_4_2023,UML_NARWHAL_R6_B1,102019,3_16,10/14/19,PSTR,Healthy,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,n,Healthy,2_11_2026,2_23_2026,4,Lagoon
439,122022_BEL_CBC_T4_3_MCAV,335,8_12_2024,0.314,10_6_2024,UML_NARWHAL_R6_B30,122022,4_76,12/5/22,MCAV,Healthy,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,y,Healthy,2_11_2026,2_23_2026,4,Curlew
114,052022_BEL_CBC_T1_11_PSTR,11,6_15_2023,3.2,10_17_2023,UML_NARWHAL_R2_B1,052022,1_4,5/21/22,PSTR,Diseased_Tissue,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,n,Diseased,2_11_2026,2_23_2026,4,CBC30N
435,122022_BEL_CBC_T4_12_PSTR,111,7_11_2024,3.49,10_29_2024,UML_NARWHAL_R6_B30,122022,4_96,12/5/22,PSTR,Diseased_Margin,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,n,Diseased,2_11_2026,2_23_2026,4,Curlew
441,122022_BEL_CBC_T4_35_PSTR,115,7_11_2024,13,8_2_2024,UML_NARWHAL_R6_B27,122022,4_97,12/5/22,PSTR,Diseased_Margin,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,n,Diseased,2_11_2026,2_23_2026,4,Curlew
335,102019_BEL_CBC_T1_27_PSTR,75,5_30_2023,19.1,10_17_2023,UML_NARWHAL_R2_B1,102019,1_6,10/15/19,PSTR,Healthy,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,n,Healthy,2_11_2026,2_23_2026,4,CBC30N
65,022024_BEL_CBC_T4_872_PSTR,65,11_26_2024,23.4,,,022024,4_79,2/24/24,PSTR,Healthy,UML_NARWHAL_R5_B23,UML_NARWHAL_R2_B13,y,Healthy,2_11_2026,2_23_2026,4,Curlew
461,122023_BEL_CBC_T2_519_PAST,352,11_18_2024,14.4,,,122023,2_63,12/15/23,PAST,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,"CLP,CLB",2_11_2026,2_23_2026,4,SR30N
223,062024_BEL_CBC_T2_1384_MCAV,168,12_4_2024,24.1,,,062024,2_55,6/21/24,MCAV,Healthy,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B15,y,Healthy,2_11_2026,2_23_2026,4,SR30N
128,052022_BEL_CBC_T1_60_MCAV,20,7_19_2024,4.47,10_29_2024,UML_NARWHAL_R6_B30,052022,1_14,5/21/22,MCAV,Diseased_Tissue,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B26,n,Diseased,2_11_2026,2_23_2026,4,CBC30N
162,052022_BEL_CBC_T3_54_PAST,35,8_9_2024,1.41,10_29_2024,UML_NARWHAL_R6_B30,052022,3_18,5/20/22,PAST,Diseased_Margin,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B26,n,Diseased,2_11_2026,2_23_2026,4,Lagoon
80,042024_BEL_CBC_T2_1017_MCAV,76,12_2_2024,4.47,,,042024,2_60,4/26/24,MCAV,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,2_11_2026,2_23_2026,4,SR30N
228,062024_BEL_CBC_T2_1402_MCAV,173,12_4_2024,26.4,,,062024,2_60,6/21/24,MCAV,Healthy,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B15,y,Healthy,2_11_2026,2_23_2026,4,SR30N
487,Negative_4,NA,,,,,    NA,0_0,,Negative,Negative,,,,Negative,NA,NA,0,
157,052022_BEL_CBC_T3_40_MCAV,30,6_14_2022,23,10_30_2024,UML_NARWHAL_R6_B27,052022,3_22,5/20/22,MCAV,Diseased_Margin,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,3_9_2026,3_12_2026,5,Lagoon
159,052022_BEL_CBC_T3_49_MCAV,32,6_14_2022,32,10_30_2024,UML_NARWHAL_R6_B27,052022,3_15,5/20/22,MCAV,Diseased_Tissue,Depleted_UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,3_9_2026,3_12_2026,5,Lagoon
354,112023_BEL_CBC_T2_309_PAST,278,11_13_2024,5.92,,,112023,2_57,11/14/23,PAST,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,"CLP,CLB",3_9_2026,3_12_2026,5,SR30N
306,092023_BEL_CBC_T2_194_OANN,64,9_11_2024,28.4,,,092023,2_30,9/26/23,OANN,Diseased_Tissue,UML_NARWHAL_R1_B10,UML_NARWHAL_R2_B11,n,"CLP,CLB",3_9_2026,3_12_2026,5,SR30N
93,042024_BEL_CBC_T3_1057_SSID,8,9_9_2024,27.2,,,042024,3_28,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,3_9_2026,3_12_2026,5,Lagoon
384,122022_BEL_CBC_T1_134_PAST,89,8_9_2024,1.21,10_29_2024,UML_NARWHAL_R6_B30,122022,1_20,12/4/22,PAST,Diseased_Margin,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,n,Diseased,3_9_2026,3_12_2026,5,CBC30N
158,052022_BEL_CBC_T3_48_MCAV,31,6_14_2022,25.2,10_30_2024,UML_NARWHAL_R6_B27,052022,3_15,5/20/22,MCAV,Diseased_Margin,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,3_9_2026,3_12_2026,5,Lagoon
403,122022_BEL_CBC_T2_86_MCAV,312,8_12_2024,0.093,10_6_2024,UML_NARWHAL_R6_B30,122022,2_60,12/4/22,MCAV,Healthy,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,y,Healthy,3_9_2026,3_12_2026,5,SR30N
447,122022_BEL_CBC_T4_9_OFAV,119,6_28_2023,9,10_17_2023,UML_NARWHAL_R6_B1,122022,4_100,12/5/22,OFAV,Diseased_Margin,Depleted_UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,n,Diseased,3_9_2026,3_12_2026,5,Curlew
91,042024_BEL_CBC_T3_1011_SSID,6,9_9_2024,7.42,,,042024,3_19,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,3_9_2026,3_12_2026,5,Lagoon
382,122022_BEL_CBC_T1_132_PSTR,87,7_3_2024,29.4,8_2_2024,UML_NARWHAL_R6_B27,122022,1_6,12/4/22,PSTR,Diseased_Tissue,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,n,Diseased,3_9_2026,3_12_2026,5,CBC30N
146,052022_BEL_CBC_T2_62_PAST,28,11_2_2024,0.522,11_8_2024,UML_NARWHAL_R6_B27,052022,2_56,5/22/22,PAST,Diseased_Tissue,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B29,n,Diseased,3_9_2026,3_12_2026,5,SR30N
148,052022_BEL_CBC_T2_72_OFAV,29,10_3_2023,47.6,10_11_23,UML_NARWHAL_R6_B1,052022,2_80,5/24/22,OFAV,Healthy,Depleted_UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,n,Healthy,3_9_2026,3_12_2026,5,SR30N
453,122023_BEL_CBC_T1_511_OANN,344,11_18_2024,7.38,,,122023,1_25,12/16/23,OANN,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,CLP,3_9_2026,3_12_2026,5,CBC30N
390,122022_BEL_CBC_T1_152_PAST,307,8_19_2024,1.16,9_28_2024,UML_NARWHAL_R6_B30,122022,1_13,12/2/22,PAST,Healthy,UML_NARWHAL_R1_B4,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",y,Healthy,3_9_2026,3_12_2026,5,CBC30N
424,122022_BEL_CBC_T3_129_PAST,105,8_9_2024,0.976,11_8_2024,UML_NARWHAL_R6_B27,122022,3_18,12/3/22,PAST,Diseased_Margin,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B29,n,Diseased,3_9_2026,3_12_2026,5,Lagoon
76,042024_BEL_CBC_T1_938_SSID,3,9_9_2024,4.08,,,042024,1_16,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,3_9_2026,3_12_2026,5,CBC30N
74,042024_BEL_CBC_T1_932_SSID,73,11_4_2024,3.14,,,042024,1_3,4/25/24,SSID,Diseased_Margin,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,y,Diseased,3_9_2026,3_12_2026,5,CBC30N
323,092023_BEL_CBC_T3_220_SSID,68,9_11_2024,17.2,,,092023,3_28,9/25/23,SSID,Diseased_Tissue,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B11,n,Diseased,3_9_2026,3_12_2026,5,Lagoon
143,052022_BEL_CBC_T2_60_PAST,26,8_9_2024,2.44,10_29_2024,UML_NARWHAL_R6_B30,052022,2_56,5/22/22,PAST,Diseased_Margin,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B26,n,Diseased,3_9_2026,3_12_2026,5,SR30N
445,122022_BEL_CBC_T4_5_MCAV,117,7_17_2024,14.5,10_29_2024,UML_NARWHAL_R6_B30,122022,4_94,12/5/22,MCAV,Diseased_Margin,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,n,Diseased,3_9_2026,3_12_2026,5,Curlew
205,062019_BEL_CBC_T3_4_PAST,151,9_11_2024,33.7,10_6_2024,UML_NARWHAL_R6_B30,062019,3_6,6/23/19,PAST,Healthy,UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",y,Healthy,3_9_2026,3_12_2026,5,Lagoon
57,022024_BEL_CBC_T3_849_PSTR,57,11_26_2024,81,,,022024,3_20,2/24/24,PSTR,Healthy,UML_NARWHAL_R5_B23,UML_NARWHAL_R2_B13,y,Healthy,3_9_2026,3_12_2026,5,Lagoon
399,122022_BEL_CBC_T2_118_OANN,98,6_28_2023,16,10_17_2023,UML_NARWHAL_R6_B1,122022,2_30,12/4/22,OANN,Diseased_Margin,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,n,Diseased,3_9_2026,3_12_2026,5,SR30N
261,082024_BEL_CBC_T2_1515_MCAV,206,1_14_2025,RECHECK,,,082024,2_60,8/23/24,MCAV,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,3_9_2026,3_12_2026,5,SR30N
201,062019_BEL_CBC_T3_23_PAST,56,2022,4.22,10_6_2024,"UML_NARWHAL_R6_B30, (enrichment from 2022 extract - JF_TEMP)",062019,3_24,6/23/19,PAST,Healthy,UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",n,Healthy,3_9_2026,3_12_2026,5,Lagoon
92,042024_BEL_CBC_T3_1012_SSID,7,9_9_2024,32.2,,,042024,3_3,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,3_9_2026,3_12_2026,5,Lagoon
391,122022_BEL_CBC_T1_155_PAST,93,8_19_2024,3.08,9_28_2024,UML_NARWHAL_R6_B30,122022,1_19,12/2/22,PAST,Healthy,UML_NARWHAL_R1_B4,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",n,Healthy,3_9_2026,3_12_2026,5,CBC30N
465,122023_BEL_CBC_T3_479_PAST,356,11_19_2024,1.75,,,122023,3_34,12/16/23,PAST,Healthy,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,Healthy,3_9_2026,3_12_2026,5,Lagoon
221,062024_BEL_CBC_T2_1381_SSID,166,9_10_2024,36,,,062024,2_99,6/21/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B11,y,Diseased,3_9_2026,3_12_2026,5,SR30N
473,122023_BEL_CBC_T3_530_PSTR,364,11_19_2024,1.18,,,122023,3_20,12/16/23,PSTR,Healthy,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,Healthy,3_9_2026,3_12_2026,5,Lagoon
383,122022_BEL_CBC_T1_133_PSTR,88,7_11_2024,9.9,8_2_2024,UML_NARWHAL_R6_B27,122022,1_6,12/2/22,PSTR,Diseased_Margin,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,n,Diseased,3_10_2026,3_13_2026,5,CBC30N
161,052022_BEL_CBC_T3_51_MCAV,34,6_14_2022,18.6,10_30_2024,UML_NARWHAL_R6_B27,052022,3_17,5/20/22,MCAV,Diseased_Tissue,Depleted_UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",n,Diseased,3_10_2026,3_13_2026,5,Lagoon
94,042024_BEL_CBC_T3_942_PAST,86,12_3_2024,6.77,,,042024,3_34,4/25/24,PAST,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,3_10_2026,3_13_2026,5,Lagoon
77,042024_BEL_CBC_T1_940_SSID,4,9_9_2024,63.2,,,042024,1_17,4/25/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,"Diseased, CLP",3_10_2026,3_13_2026,5,CBC30N
197,062019_BEL_CBC_T3_12_PAST,53,2022,1.75,11_6_2024,UML_NARWHAL_R6_B27,062019,3_18,6/23/19,PAST,Healthy,UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B32",n,Healthy,3_10_2026,3_13_2026,5,Lagoon
319,092023_BEL_CBC_T3_184_PAST,257,11_12_2024,44.8,,,092023,3_34,9/25/23,PAST,Healthy,UML_NARWHAL_R1_B11,UML_NARWHAL_R2_B12,y,Healthy,3_10_2026,3_13_2026,5,Lagoon
113,052022_BEL_CBC_T1_10_PSTR,10,6_15_2023,11.1,10_17_2023,UML_NARWHAL_R2_B1,052022,1_4,5/21/22,PSTR,Diseased_Margin,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,n,Diseased,3_10_2026,3_13_2026,5,CBC30N
211,062024_BEL_CBC_T1_1344_SSID,156,9_10_2024,19.8,,,062024,1_3,6/21/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B26,UML_NARWHAL_R2_B11,y,Diseased,3_10_2026,3_13_2026,5,CBC30N
119,052022_BEL_CBC_T1_34_PAST,105,8_19_2024,1.31,10_6_2024,UML_NARWHAL_R6_B30,052022,1_21,5/21/22,PAST,Healthy,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",y,Healthy,3_10_2026,3_13_2026,5,CBC30N
100,042024_BEL_CBC_T3_953_MCAV,92,12_3_2024,129,,,042024,3_14,4/25/24,MCAV,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,3_10_2026,3_13_2026,5,Lagoon
204,062019_BEL_CBC_T3_31_PAST,150,2022,3.18,10_30_24,all_sent_for_sequencing,062019,3_34,6/23/19,PAST,Healthy,UML_NARWHAL_R1_B1,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B26, UML_NARWHAL_R2_B34",y,Healthy,3_10_2026,3_13_2026,5,Lagoon
58,022024_BEL_CBC_T3_850_MCAV,58,11_26_2024,91.5,,,022024,3_21,2/24/24,MCAV,Healthy,UML_NARWHAL_R5_B23,UML_NARWHAL_R2_B13,y,Healthy,3_10_2026,3_13_2026,5,Lagoon
193,062019_BEL_CBC_T2_26_SSID,146,1_13_2025,15.1,,,062019,2_72,6/25/19,SSID,Healthy,UML_NARWHAL_R1_B1,UML_NARWHAL_R2_B15,y,Healthy,3_10_2026,3_13_2026,5,SR30N
380,122022_BEL_CBC_T1_122_PSTR,303,7_12_2024,9.58,8_6_2024,UML_NARWHAL_R6_B27,122022,1_12,12/2/22,PSTR,Healthy,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,y,Healthy,3_10_2026,3_13_2026,5,CBC30N
340,102019_BEL_CBC_T2_35_PSTR,80,7_12_2024,19,8_6_2024,UML_NARWHAL_R6_B27,102019,2_70,10/13/19,PSTR,Healthy,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B26,n,Healthy,3_10_2026,3_13_2026,5,SR30N
402,122022_BEL_CBC_T2_85_MCAV,100,8_12_2024,0.162,11_6_2024,UML_NARWHAL_R6_B27,122022,2_59,12/4/22,MCAV,Healthy,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B29,n,Healthy,3_10_2026,3_13_2026,5,SR30N
86,042024_BEL_CBC_T2_1030_SSID,5,9_9_2024,24.6,,,042024,2_52,4/26/24,SSID,Diseased_Tissue,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B11,n,Diseased,3_10_2026,3_13_2026,5,SR30N
412,122022_BEL_CBC_T2_96_SSID,319,1_13_2025,12.1,,,122022,2_72,12/4/22,SSID,Healthy,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B15,y,CLB,3_10_2026,3_13_2026,5,SR30N
288,092023_BEL_CBC_T1_177_PSTR,233,11_8_2024,29,,,092023,1_12,9/25/23,PSTR,Healthy,UML_NARWHAL_R1_B10,UML_NARWHAL_R2_B12,y,Healthy,3_10_2026,3_13_2026,5,CBC30N
