Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
042024_BEL_CBC_T1_933_SSID_S82_R2_16S	(1.0, 3.039395117125393)	(2.0, 0.8064162809596156)	(3.0, 0.48503692188107267)	(4.0, 0.38893403526127973)	(5.0, 0.29608168745362684)	(6.0, 0.27219729357311945)	(7.0, 0.28293820443062573)	(8.0, 0.24534501642935377)	(9.0, 0.28110094336289443)	('>10', 7.3862134756032924)	('>50', 4.917075928346818)	('>100', 14.066353390099989)	('>500', 9.431650355086035)	('>1k', 16.61760237430661)	('>5k', 6.603398932975304)	('>10k+', 34.88026004310497)
042024_BEL_CBC_T2_1017_MCAV_S94_R2_16S	(1.0, 1.3021285531411404)	(2.0, 0.4147266317494034)	(3.0, 0.23744815917103135)	(4.0, 0.19787346597585942)	(5.0, 0.1524433334814019)	(6.0, 0.14053054318285527)	(7.0, 0.1257909890846535)	(8.0, 0.09853290958797899)	(9.0, 0.08904305968913676)	('>10', 1.1553387472590486)	('>50', 0.37656532045405905)	('>100', 0.36202767805583264)	('>500', 0.5001352808389835)	('>1k', 2.1172460859416957)	('>5k', 1.189058001154935)	('>10k+', 91.54111124123199)
042024_BEL_CBC_T2_1028_PAST_S61_R2_16S	(1.0, 1.606362239092972)	(2.0, 0.42783097017159816)	(3.0, 0.2395321139374422)	(4.0, 0.17432614958780515)	(5.0, 0.15053927993985083)	(6.0, 0.12575435981715716)	(7.0, 0.0884938087602217)	(8.0, 0.09581284557497688)	(9.0, 0.08982454272654082)	('>10', 1.2848236444811134)	('>50', 0.5713838967882735)	('>100', 1.3422115467786258)	('>500', 0.9398308637128809)	('>1k', 3.1275575043415196)	('>5k', 2.4144504401402593)	('>10k+', 87.32126579414876)
042024_BEL_CBC_T2_1040_SSID_S34_R2_16S	(1.0, 1.6431167628691319)	(2.0, 0.3646992770039991)	(3.0, 0.2123923878568192)	(4.0, 0.17336143889994288)	(5.0, 0.1305135832627411)	(6.0, 0.12706605464825357)	(7.0, 0.10773526920273438)	(8.0, 0.09259076850337858)	(9.0, 0.08089379641851027)	('>10', 1.9212584464451055)	('>50', 3.1799757687988808)	('>100', 6.417697641890428)	('>500', 3.029885148046729)	('>1k', 7.697469513996966)	('>5k', 7.931285829672387)	('>10k+', 66.89005831248399)
042024_BEL_CBC_T3_947_MCAV_S70_R2_16S	(1.0, 1.176516296256211)	(2.0, 0.27140769848769297)	(3.0, 0.14611058614904945)	(4.0, 0.09990467428994834)	(5.0, 0.0950481970675203)	(6.0, 0.08242135628920738)	(7.0, 0.05147865855773726)	(8.0, 0.057722700700859046)	(9.0, 0.057445187716720296)	('>10', 1.0810518297124827)	('>50', 0.7641320018260355)	('>100', 1.7838534620438555)	('>500', 0.6639498145519483)	('>1k', 1.492187315714034)	('>5k', 1.7709491082814037)	('>10k+', 90.40582111235528)
042024_BEL_CBC_T3_949_PSTR_S26_R2_16S	(1.0, 2.390084530206347)	(2.0, 0.810232306904711)	(3.0, 0.4670928784208129)	(4.0, 0.2769301466883266)	(5.0, 0.16930227308456647)	(6.0, 0.1463255360230896)	(7.0, 0.13614724460550556)	(8.0, 0.138666623669264)	(9.0, 0.12153484603570665)	('>10', 3.394510575345558)	('>50', 1.6798211845515707)	('>100', 4.483486981864502)	('>500', 1.0211547221225667)	('>1k', 4.657424912426384)	('>5k', 5.163920879404379)	('>10k+', 74.94336435864672)
042024_BEL_CBC_T3_962_SSID_S51_R2_16S	(1.0, 3.049848000760877)	(2.0, 0.9299605823525889)	(3.0, 0.4544125572859241)	(4.0, 0.30716879841343087)	(5.0, 0.28885139300345564)	(6.0, 0.21346822458548062)	(7.0, 0.14055086074192538)	(8.0, 0.11272249483061685)	(9.0, 0.12047216635022176)	('>10', 1.8606256802978691)	('>50', 1.087419817319107)	('>100', 3.9304924916250714)	('>500', 1.1370881666038475)	('>1k', 6.884878629576269)	('>5k', 5.143668342239584)	('>10k+', 74.33837179401374)
052022_BEL_CBC_T1_11_PSTR_S85_R2_16S	(1.0, 1.4526887417890126)	(2.0, 0.47713092705879967)	(3.0, 0.312974564003235)	(4.0, 0.22563577315745575)	(5.0, 0.17683253008688246)	(6.0, 0.13690260393823156)	(7.0, 0.11890244675376038)	(8.0, 0.12371939022566111)	(9.0, 0.09811353282239929)	('>10', 2.454866507284993)	('>50', 1.514928721912783)	('>100', 1.8413400229692147)	('>500', 0.671076282637961)	('>1k', 3.69269421789317)	('>5k', 4.7593936735785585)	('>10k+', 81.94280006388787)
052022_BEL_CBC_T1_12_MCAV_S24_R2_16S	(1.0, 3.4585324358732823)	(2.0, 1.9439258739102885)	(3.0, 1.2048914998201654)	(4.0, 0.7444579558234995)	(5.0, 0.45672267228435554)	(6.0, 0.2945861236234093)	(7.0, 0.15385845022579228)	(8.0, 0.10504621462540176)	(9.0, 0.1156079264219775)	('>10', 1.7957764570880503)	('>50', 0.862064043936721)	('>100', 1.508612076889262)	('>500', 1.4318255776114546)	('>1k', 2.5036965991288014)	('>5k', 0.0)	('>10k+', 83.42039609273753)
052022_BEL_CBC_T1_13_MCAV_S75_R2_16S	(1.0, 1.6182499600544475)	(2.0, 0.6002956982179227)	(3.0, 0.387117913203876)	(4.0, 0.27345006199145266)	(5.0, 0.21236876116200093)	(6.0, 0.16504086581732644)	(7.0, 0.12600546495612056)	(8.0, 0.15047843648050355)	(9.0, 0.11467913102748054)	('>10', 3.506916142655176)	('>50', 1.417005276858075)	('>100', 1.2992923063854231)	('>500', 1.3607781191408976)	('>1k', 1.765087789200745)	('>5k', 5.183820331982938)	('>10k+', 81.81941374086561)
052022_BEL_CBC_T1_39_MCAV_S77_R2_16S	(1.0, 0.9437020849752812)	(2.0, 0.2473669126603138)	(3.0, 0.15288027513075877)	(4.0, 0.10281579135917461)	(5.0, 0.07209643906283585)	(6.0, 0.07899262019058537)	(7.0, 0.06394640682095006)	(8.0, 0.04513864010890592)	(9.0, 0.04513864010890592)	('>10', 0.8347961596331589)	('>50', 0.36594540374005874)	('>100', 0.8731281794081823)	('>500', 0.616626065773447)	('>1k', 3.0798165794941608)	('>5k', 2.0909758544099732)	('>10k+', 90.3866339471233)
052022_BEL_CBC_T1_40_MCAV_S46_R2_16S	(1.0, 2.192407523733896)	(2.0, 0.743839853981724)	(3.0, 0.40392068552736066)	(4.0, 0.2522133857987745)	(5.0, 0.17067071219465943)	(6.0, 0.09955791544688466)	(7.0, 0.0879428253114148)	(8.0, 0.0701646261244711)	(9.0, 0.04906782975596459)	('>10', 0.9398741303497564)	('>50', 0.642148554632406)	('>100', 1.1814205966363647)	('>500', 1.2947269861211526)	('>1k', 5.654889597383049)	('>5k', 2.7058419162528295)	('>10k+', 83.51131286074929)
052022_BEL_CBC_T1_41_OANN_S4_R2_16S	(1.0, 2.16321111224594)	(2.0, 1.1127101883919368)	(3.0, 0.6518045329198429)	(4.0, 0.3959109014772379)	(5.0, 0.21541118466866602)	(6.0, 0.12256153610458584)	(7.0, 0.08189339003351873)	(8.0, 0.062394963835061885)	(9.0, 0.03342587348306887)	('>10', 0.5983231353469327)	('>50', 0.4137380340015413)	('>100', 0.9244111011039823)	('>500', 0.7175420841032116)	('>1k', 2.2295057613206932)	('>5k', 3.294676929647821)	('>10k+', 86.98247927131597)
052022_BEL_CBC_T1_52_PAST_S30_R2_16S	(1.0, 2.835190897849337)	(2.0, 1.1225525949265005)	(3.0, 0.9160175250484638)	(4.0, 0.7453927767503999)	(5.0, 0.6324882911048917)	(6.0, 0.5307423799616349)	(7.0, 0.4374161204882586)	(8.0, 0.3392206648684455)	(9.0, 0.28302202601165155)	('>10', 3.300604896179608)	('>50', 1.3925900978809866)	('>100', 3.9794519922620357)	('>500', 2.0248755058131103)	('>1k', 5.896596533335227)	('>5k', 3.3676577847795013)	('>10k+', 72.19617991273995)
