Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	97.37089472384558	46.0	231.1705704173183	230	45.45454545454545	1.2148999999999999
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	98.56603099516587	35.0	231.3583104333167	231	45.45454545454545	0.6270009999999999
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	98.3002859934869	34.0	228.68000148133635	228	45.45454545454545	0.418541
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	97.77398408084625	48.0	232.3894048055382	230	45.45454545454545	2.551015
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	98.29479761980451	40.0	232.54211966439902	230	45.45454545454545	0.8493419999999999
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	98.05583502474356	36.0	228.77572678746222	228	45.45454545454545	1.027742
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	97.9309292662503	43.0	228.79407699853581	228	45.45454545454545	1.4485729999999999
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	97.5496780046965	43.0	228.81716537394152	228	45.45454545454545	0.449696
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	97.73565161784155	37.0	229.6171560481937	229	45.45454545454545	0.412834
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	98.22396888864544	38.0	232.54515771728347	231	45.45454545454545	0.657252
042024_BEL_CBC_T1_929_PAST_S8_R2_16S	97.7514256787168	46.0	228.71947788086686	228	45.45454545454545	1.024249
042024_BEL_CBC_T1_933_SSID_S82_R2_16S	95.59156273186588	51.0	229.45636575628026	229	45.45454545454545	0.707575
042024_BEL_CBC_T2_1017_MCAV_S94_R2_16S	98.19369793202037	34.0	229.44715970811646	229	45.45454545454545	0.495266
042024_BEL_CBC_T2_1028_PAST_S61_R2_16S	97.88330128482365	45.0	231.5662905125322	231	45.45454545454545	0.6011719999999999
042024_BEL_CBC_T2_1040_SSID_S34_R2_16S	97.80466302870313	45.0	232.27267365694135	231	45.45454545454545	0.812176
042024_BEL_CBC_T3_947_MCAV_S70_R2_16S	98.48658294099936	36.0	229.1917434336959	229	45.45454545454545	0.720687
042024_BEL_CBC_T3_949_PSTR_S26_R2_16S	96.66041188824437	40.0	229.00661891267632	228	45.45454545454545	0.992308
042024_BEL_CBC_T3_962_SSID_S51_R2_16S	95.98426112165927	56.0	238.13632024460782	231	45.45454545454545	0.283883
052022_BEL_CBC_T1_11_PSTR_S85_R2_16S	97.90184083297629	38.0	229.80888269728553	229	45.45454545454545	0.788882
052022_BEL_CBC_T1_12_MCAV_S24_R2_16S	94.67775360953637	37.0	229.91232351950492	228	45.45454545454545	0.35032199999999997
052022_BEL_CBC_T1_13_MCAV_S75_R2_16S	97.57272618789983	37.0	229.47701360980375	228	45.45454545454545	0.494423
052022_BEL_CBC_T1_39_MCAV_S77_R2_16S	98.75438847889947	35.0	228.7516049294261	228	45.45454545454545	1.11656
052022_BEL_CBC_T1_40_MCAV_S46_R2_16S	97.09788676472331	37.0	232.1155369608761	231	45.45454545454545	0.421865
052022_BEL_CBC_T1_41_OANN_S4_R2_16S	96.83698387201605	37.0	229.30179385521026	228	45.45454545454545	0.538505
052022_BEL_CBC_T1_52_PAST_S30_R2_16S	95.5423523695233	45.0	229.7385571354519	228	45.45454545454545	0.9857889999999999
052022_BEL_CBC_T1_60_MCAV_S92_R2_16S	98.6338693858225	34.0	229.27820616883116	229	45.45454545454545	0.47308799999999995
052022_BEL_CBC_T1_70_MCAV_S36_R2_16S	97.68563289560625	36.0	231.88687431354444	231	45.45454545454545	0.45705799999999996
052022_BEL_CBC_T2_45_PSTR_S31_R2_16S	97.75848383239051	39.0	229.34036662917717	228	45.45454545454545	2.864802
052022_BEL_CBC_T2_46_PSTR_S68_R2_16S	98.24158083869516	40.0	228.76013365103265	228	45.45454545454545	0.644215
052022_BEL_CBC_T3_50_MCAV_S47_R2_16S	94.99110498882067	49.0	233.68241348995937	231	45.45454545454545	0.28892599999999996
052022_BEL_CBC_T3_54_PAST_S93_R2_16S	97.52669568458232	43.0	229.04044101305124	228	45.45454545454545	0.584926
052022_BEL_CBC_T3_60_MCAV_S80_R2_16S	98.23515006794756	36.0	229.37369320492837	228	45.45454545454545	0.951469
062019_BEL_CBC_T1_18_PAST_S42_R2_16S	96.00234610424005	49.0	233.7044746551915	231	45.45454545454545	0.334171
062019_BEL_CBC_T1_1_PAST_S7_R2_16S	95.87360344312071	45.0	229.56611667698425	228	45.45454545454545	0.47491799999999995
062019_BEL_CBC_T1_24_MCAV_S69_R2_16S	98.27955411165887	35.0	228.93388391159615	228	45.45454545454545	0.5996119999999999
062019_BEL_CBC_T1_3_MCAV_S23_R2_16S	96.65608380098541	36.0	229.2671549812124	228	45.45454545454545	0.470257
062019_BEL_CBC_T1_6_MCAV_S9_R2_16S	98.2561209205907	35.0	228.75078681327497	228	45.45454545454545	1.6951289999999999
062019_BEL_CBC_T1_8_PAST_S29_R2_16S	93.22588988292777	46.0	230.6371212758598	228	45.45454545454545	0.320913
062019_BEL_CBC_T1_9_MCAV_S76_R2_16S	98.35380660919948	35.0	228.98338043370208	228	45.45454545454545	0.70417
062019_BEL_CBC_T2_22_PAST_S60_R2_16S	98.0261941003881	51.0	233.2574109992822	231	45.45454545454545	1.178586
062019_BEL_CBC_T2_5_MCAV_S20_R2_16S	95.18052630580378	38.0	229.2146318325839	228	45.45454545454545	0.26353499999999996
062019_BEL_CBC_T3_11_MCAV_S13_R2_16S	95.66053461603413	36.0	229.0987710477145	228	45.45454545454545	0.36714199999999997
062019_BEL_CBC_T3_14_MCAV_S33_R2_16S	98.13982963224846	39.0	232.5527939911014	230	45.45454545454545	0.749555
062024_BEL_CBC_T1_1356_PAST_S37_R2_16S	97.34255119045655	48.0	230.9875766825614	230	45.45454545454545	1.515175
062024_BEL_CBC_T2_1372_OFAV_S67_R2_16S	98.11701970625138	37.0	228.72488480963275	228	45.45454545454545	0.758744
062024_BEL_CBC_T2_1384_MCAV_S91_R2_16S	96.75299645748059	39.0	229.22894678878876	229	45.45454545454545	0.21792399999999998
062024_BEL_CBC_T2_1393_PAST_S55_R2_16S	97.3459108696934	47.0	231.33876488703285	231	45.45454545454545	0.9666969999999999
062024_BEL_CBC_T2_1399_PAST_S44_R2_16S	97.62233206184666	45.0	231.52816440031447	231	45.45454545454545	0.549488
062024_BEL_CBC_T2_1402_MCAV_S95_R2_16S	97.9262745380348	36.0	228.74048736372757	228	45.45454545454545	0.22225699999999998
062024_BEL_CBC_T3_1418_SSID_S21_R2_16S	93.34794466573499	47.0	228.96806336228923	228	45.45454545454545	0.324862
062024_BEL_CBC_T4_1458_MCAV_S58_R2_16S	99.03672334066343	34.0	230.68721265797933	230	45.45454545454545	2.9235629999999997
082024_BEL_CBC_T2_1517_MCAV_S28_R2_16S	98.6329627993109	34.0	228.67455478822964	228	45.45454545454545	0.805684
082024_BEL_CBC_T3_1559_PSTR_S74_R2_16S	98.07546096835807	37.0	228.8095982791339	228	45.45454545454545	0.647116
082024_BEL_CBC_T3_1564_PAST_S48_R2_16S	95.88454206292393	49.0	231.77756303911215	231	45.45454545454545	0.6467809999999999
082024_BEL_CBC_T4_1608_MCAV_S11_R2_16S	98.58557892719857	34.0	228.66745984261615	228	45.45454545454545	0.767169
092023_BEL_CBC_T1_188_SSID_S3_R2_16S	93.22278666397912	50.0	230.2096644562436	228	45.45454545454545	0.391931
092023_BEL_CBC_T1_194_SSID_S39_R2_16S	97.04589124012352	54.0	234.22776891505657	231	45.45454545454545	0.47828299999999996
092023_BEL_CBC_T2_173_SSID_S14_R2_16S	94.95358911682482	45.0	229.10759634510566	228	45.45454545454545	1.172893
092023_BEL_CBC_T2_192_OFAV_S64_R2_16S	97.54735002072408	37.0	228.9796525562704	228	45.45454545454545	0.8323649999999999
092023_BEL_CBC_T2_196_SSID_S63_R2_16S	95.54993396073192	46.0	230.4124972036737	228	45.45454545454545	1.3052839999999999
092023_BEL_CBC_T3_172_PSTR_S57_R2_16S	95.03404715335706	55.0	230.8053210518397	230	36.36363636363637	0.717828
092023_BEL_CBC_T3_183_SSID_S79_R2_16S	95.37554803189575	48.0	229.4434998399241	229	45.45454545454545	0.602839
092023_BEL_CBC_T3_196_SSID_S25_R2_16S	92.67818772429501	47.0	230.7491645331952	228	45.45454545454545	0.534731
092023_BEL_CBC_T4_84_OANN_S12_R2_16S	96.46383192031907	36.0	228.4986596342872	228	54.54545454545454	0.183532
092023_BEL_CBC_T4_88_OFAV_S71_R2_16S	98.13830976468616	36.0	228.8454250740596	228	45.45454545454545	0.7156399999999999
092023_BEL_CBC_T4_91_MCAV_S78_R2_16S	98.02977766098589	40.0	228.71702111685	228	45.45454545454545	1.092161
102019_BEL_CBC_T1_25_PSTR_S65_R2_16S	98.52804966844501	36.0	228.82973415538038	228	45.45454545454545	0.949013
102019_BEL_CBC_T1_27_PSTR_S88_R2_16S	98.50364015426527	35.0	228.7722955285717	228	45.45454545454545	0.600524
102019_BEL_CBC_T1_28_PSTR_S19_R2_16S	95.9556183593615	39.0	229.68128583112858	228	45.45454545454545	0.520846
