Sample	Unique Reads	Duplicate Reads
122022_BEL_CBC_T2_102_OFAV_S27_R2_16S	19124.0	803051.0
122022_BEL_CBC_T2_116_PSTR_S32_R2_16S	30673.0	1243265.0
122022_BEL_CBC_T2_117_PSTR_S56_R2_16S	22412.0	1119605.0
122022_BEL_CBC_T2_119_OANN_S5_R2_16S	18422.0	557635.0
122022_BEL_CBC_T2_89_PAST_S17_R2_16S	17366.0	640429.0
122022_BEL_CBC_T3_121_OFAV_S73_R2_16S	9959.0	665460.0
122022_BEL_CBC_T4_12_PSTR_S86_R2_16S	17321.0	590135.0
122022_BEL_CBC_T4_13_PSTR_S49_R2_16S	44931.0	2555366.0
122022_BEL_CBC_T4_14_MCAV_S38_R2_16S	19806.0	892871.0
122022_BEL_CBC_T4_15_MCAV_S2_R2_16S	25078.0	330425.0
122022_BEL_CBC_T4_35_PSTR_S87_R2_16S	21256.0	770384.0
122022_BEL_CBC_T4_3_MCAV_S84_R2_16S	14645.0	413699.0
122022_BEL_CBC_T4_4_PSTR_S41_R2_16S	10468.0	605940.0
122023_BEL_CBC_T2_517_SSID_S59_R2_16S	45915.0	2451155.0
122023_BEL_CBC_T2_519_PAST_S90_R2_16S	13068.0	689776.0
122023_BEL_CBC_T4_538_OFAV_S45_R2_16S	8143.0	381880.0
Negative_S96_R2_16S	2482.0	23271.0
Undetermined_S0_R2_16S	782236.0	5514778.0
