Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
052022_BEL_CBC_T3_54_PAST_S93_R2_16S	(14.0, 2.0)	(15.0, 15.0)	(16.0, 209.0)	(17.0, 484.0)	(18.0, 777.0)	(19.0, 1435.0)	(20.0, 1047.0)	(21.0, 919.0)	(22.0, 924.0)	(23.0, 895.0)	(24.0, 987.0)	(25.0, 1077.0)	(26.0, 1040.0)	(27.0, 1302.0)	(28.0, 1551.0)	(29.0, 1743.0)	(30.0, 2098.0)	(31.0, 2560.0)	(32.0, 3220.0)	(33.0, 3999.0)	(34.0, 4841.0)	(35.0, 6104.0)	(36.0, 8571.0)	(37.0, 13201.0)	(38.0, 33953.0)	(39.0, 484361.0)	(40.0, 7611.0)												
052022_BEL_CBC_T3_60_MCAV_S80_R2_16S	(14.0, 1.0)	(15.0, 19.0)	(16.0, 227.0)	(17.0, 658.0)	(18.0, 547.0)	(19.0, 458.0)	(20.0, 537.0)	(21.0, 806.0)	(22.0, 1117.0)	(23.0, 889.0)	(24.0, 1984.0)	(25.0, 1316.0)	(26.0, 1199.0)	(27.0, 1317.0)	(28.0, 1508.0)	(29.0, 1544.0)	(30.0, 1944.0)	(31.0, 2236.0)	(32.0, 2820.0)	(33.0, 3548.0)	(34.0, 4185.0)	(35.0, 5518.0)	(36.0, 7915.0)	(37.0, 12399.0)	(38.0, 30990.0)	(39.0, 615382.0)	(40.0, 250405.0)												
062019_BEL_CBC_T1_18_PAST_S42_R2_16S	(12.0, 2.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 23.0)	(16.0, 118.0)	(17.0, 282.0)	(18.0, 330.0)	(19.0, 598.0)	(20.0, 615.0)	(21.0, 534.0)	(22.0, 507.0)	(23.0, 527.0)	(24.0, 571.0)	(25.0, 617.0)	(26.0, 609.0)	(27.0, 672.0)	(28.0, 783.0)	(29.0, 1011.0)	(30.0, 1157.0)	(31.0, 1300.0)	(32.0, 1800.0)	(33.0, 2273.0)	(34.0, 2900.0)	(35.0, 3516.0)	(36.0, 4595.0)	(37.0, 7064.0)	(38.0, 16481.0)	(39.0, 261226.0)	(40.0, 24059.0)										
062019_BEL_CBC_T1_1_PAST_S7_R2_16S	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 17.0)	(16.0, 162.0)	(17.0, 401.0)	(18.0, 608.0)	(19.0, 850.0)	(20.0, 784.0)	(21.0, 676.0)	(22.0, 660.0)	(23.0, 739.0)	(24.0, 729.0)	(25.0, 858.0)	(26.0, 935.0)	(27.0, 1127.0)	(28.0, 1264.0)	(29.0, 1434.0)	(30.0, 1788.0)	(31.0, 2313.0)	(32.0, 2951.0)	(33.0, 3773.0)	(34.0, 4510.0)	(35.0, 5570.0)	(36.0, 7195.0)	(37.0, 10650.0)	(38.0, 24372.0)	(39.0, 377849.0)	(40.0, 22701.0)					
062019_BEL_CBC_T1_24_MCAV_S69_R2_16S	(14.0, 1.0)	(15.0, 17.0)	(16.0, 146.0)	(17.0, 458.0)	(18.0, 392.0)	(19.0, 355.0)	(20.0, 367.0)	(21.0, 574.0)	(22.0, 658.0)	(23.0, 645.0)	(24.0, 1453.0)	(25.0, 926.0)	(26.0, 794.0)	(27.0, 899.0)	(28.0, 988.0)	(29.0, 1048.0)	(30.0, 1111.0)	(31.0, 1336.0)	(32.0, 1674.0)	(33.0, 2139.0)	(34.0, 2654.0)	(35.0, 3442.0)	(36.0, 5058.0)	(37.0, 8245.0)	(38.0, 20544.0)	(39.0, 388312.0)	(40.0, 155376.0)												
062019_BEL_CBC_T1_3_MCAV_S23_R2_16S	(14.0, 2.0)	(15.0, 19.0)	(16.0, 139.0)	(17.0, 396.0)	(18.0, 568.0)	(19.0, 727.0)	(20.0, 556.0)	(21.0, 686.0)	(22.0, 722.0)	(23.0, 623.0)	(24.0, 1181.0)	(25.0, 944.0)	(26.0, 873.0)	(27.0, 929.0)	(28.0, 1175.0)	(29.0, 1233.0)	(30.0, 1449.0)	(31.0, 1836.0)	(32.0, 2269.0)	(33.0, 3073.0)	(34.0, 3819.0)	(35.0, 4708.0)	(36.0, 5900.0)	(37.0, 8793.0)	(38.0, 19640.0)	(39.0, 307075.0)	(40.0, 100922.0)												
062019_BEL_CBC_T1_6_MCAV_S9_R2_16S	(13.0, 4.0)	(14.0, 4.0)	(15.0, 45.0)	(16.0, 469.0)	(17.0, 1359.0)	(18.0, 1703.0)	(19.0, 2033.0)	(20.0, 1751.0)	(21.0, 2290.0)	(22.0, 2615.0)	(23.0, 2344.0)	(24.0, 4353.0)	(25.0, 3338.0)	(26.0, 3023.0)	(27.0, 3385.0)	(28.0, 3822.0)	(29.0, 4254.0)	(30.0, 4791.0)	(31.0, 5784.0)	(32.0, 7317.0)	(33.0, 8946.0)	(34.0, 11102.0)	(35.0, 13990.0)	(36.0, 18588.0)	(37.0, 29814.0)	(38.0, 70001.0)	(39.0, 1125265.0)	(40.0, 362739.0)											
062019_BEL_CBC_T1_8_PAST_S29_R2_16S	(14.0, 3.0)	(15.0, 26.0)	(16.0, 164.0)	(17.0, 429.0)	(18.0, 502.0)	(19.0, 744.0)	(20.0, 552.0)	(21.0, 491.0)	(22.0, 534.0)	(23.0, 573.0)	(24.0, 688.0)	(25.0, 733.0)	(26.0, 842.0)	(27.0, 886.0)	(28.0, 1145.0)	(29.0, 1360.0)	(30.0, 1761.0)	(31.0, 2369.0)	(32.0, 3045.0)	(33.0, 3837.0)	(34.0, 4224.0)	(35.0, 4515.0)	(36.0, 5937.0)	(37.0, 8861.0)	(38.0, 19379.0)	(39.0, 251291.0)	(40.0, 6022.0)												
062019_BEL_CBC_T1_9_MCAV_S76_R2_16S	(14.0, 2.0)	(15.0, 18.0)	(16.0, 152.0)	(17.0, 403.0)	(18.0, 449.0)	(19.0, 370.0)	(20.0, 413.0)	(21.0, 644.0)	(22.0, 834.0)	(23.0, 671.0)	(24.0, 1490.0)	(25.0, 1027.0)	(26.0, 916.0)	(27.0, 1071.0)	(28.0, 1162.0)	(29.0, 1187.0)	(30.0, 1378.0)	(31.0, 1612.0)	(32.0, 1935.0)	(33.0, 2409.0)	(34.0, 3068.0)	(35.0, 4158.0)	(36.0, 5863.0)	(37.0, 9679.0)	(38.0, 23537.0)	(39.0, 471827.0)	(40.0, 167895.0)												
062019_BEL_CBC_T2_22_PAST_S60_R2_16S	(14.0, 3.0)	(15.0, 58.0)	(16.0, 425.0)	(17.0, 923.0)	(18.0, 1329.0)	(19.0, 2004.0)	(20.0, 2008.0)	(21.0, 1779.0)	(22.0, 1716.0)	(23.0, 1666.0)	(24.0, 1863.0)	(25.0, 1977.0)	(26.0, 2307.0)	(27.0, 2529.0)	(28.0, 3179.0)	(29.0, 3797.0)	(30.0, 4847.0)	(31.0, 6067.0)	(32.0, 8562.0)	(33.0, 11190.0)	(34.0, 13959.0)	(35.0, 16809.0)	(36.0, 22009.0)	(37.0, 31850.0)	(38.0, 68784.0)	(39.0, 908083.0)	(40.0, 58863.0)												
062019_BEL_CBC_T2_5_MCAV_S20_R2_16S	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 93.0)	(17.0, 241.0)	(18.0, 305.0)	(19.0, 284.0)	(20.0, 255.0)	(21.0, 367.0)	(22.0, 386.0)	(23.0, 330.0)	(24.0, 668.0)	(25.0, 442.0)	(26.0, 412.0)	(27.0, 469.0)	(28.0, 524.0)	(29.0, 559.0)	(30.0, 685.0)	(31.0, 772.0)	(32.0, 998.0)	(33.0, 1288.0)	(34.0, 1528.0)	(35.0, 2007.0)	(36.0, 2747.0)	(37.0, 4332.0)	(38.0, 10062.0)	(39.0, 182226.0)	(40.0, 51544.0)										
062019_BEL_CBC_T3_11_MCAV_S13_R2_16S	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 13.0)	(16.0, 149.0)	(17.0, 420.0)	(18.0, 405.0)	(19.0, 503.0)	(20.0, 394.0)	(21.0, 543.0)	(22.0, 585.0)	(23.0, 492.0)	(24.0, 1003.0)	(25.0, 775.0)	(26.0, 688.0)	(27.0, 738.0)	(28.0, 801.0)	(29.0, 866.0)	(30.0, 1061.0)	(31.0, 1169.0)	(32.0, 1502.0)	(33.0, 1764.0)	(34.0, 2143.0)	(35.0, 2799.0)	(36.0, 3893.0)	(37.0, 6174.0)	(38.0, 14049.0)	(39.0, 241683.0)	(40.0, 82528.0)										
062019_BEL_CBC_T3_14_MCAV_S33_R2_16S	(15.0, 24.0)	(16.0, 171.0)	(17.0, 656.0)	(18.0, 716.0)	(19.0, 964.0)	(20.0, 969.0)	(21.0, 1212.0)	(22.0, 1297.0)	(23.0, 1104.0)	(24.0, 2040.0)	(25.0, 1661.0)	(26.0, 1546.0)	(27.0, 1659.0)	(28.0, 1791.0)	(29.0, 2041.0)	(30.0, 2297.0)	(31.0, 2797.0)	(32.0, 3809.0)	(33.0, 4956.0)	(34.0, 6380.0)	(35.0, 7475.0)	(36.0, 9550.0)	(37.0, 14262.0)	(38.0, 33612.0)	(39.0, 504576.0)	(40.0, 141990.0)													
062024_BEL_CBC_T1_1356_PAST_S37_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 9.0)	(15.0, 73.0)	(16.0, 556.0)	(17.0, 1314.0)	(18.0, 1845.0)	(19.0, 2849.0)	(20.0, 2980.0)	(21.0, 2547.0)	(22.0, 2404.0)	(23.0, 2484.0)	(24.0, 2586.0)	(25.0, 2795.0)	(26.0, 3272.0)	(27.0, 3742.0)	(28.0, 4341.0)	(29.0, 5213.0)	(30.0, 6316.0)	(31.0, 7999.0)	(32.0, 10473.0)	(33.0, 14000.0)	(34.0, 18464.0)	(35.0, 22415.0)	(36.0, 27979.0)	(37.0, 37324.0)	(38.0, 86174.0)	(39.0, 1169209.0)	(40.0, 75811.0)									
062024_BEL_CBC_T2_1372_OFAV_S67_R2_16S	(14.0, 3.0)	(15.0, 36.0)	(16.0, 223.0)	(17.0, 687.0)	(18.0, 640.0)	(19.0, 609.0)	(20.0, 634.0)	(21.0, 762.0)	(22.0, 1069.0)	(23.0, 987.0)	(24.0, 2235.0)	(25.0, 2198.0)	(26.0, 1775.0)	(27.0, 1715.0)	(28.0, 1998.0)	(29.0, 2045.0)	(30.0, 2253.0)	(31.0, 2706.0)	(32.0, 3243.0)	(33.0, 3802.0)	(34.0, 4787.0)	(35.0, 6130.0)	(36.0, 8734.0)	(37.0, 13628.0)	(38.0, 32349.0)	(39.0, 563098.0)	(40.0, 100398.0)												
062024_BEL_CBC_T2_1384_MCAV_S91_R2_16S	(15.0, 6.0)	(16.0, 83.0)	(17.0, 238.0)	(18.0, 295.0)	(19.0, 331.0)	(20.0, 303.0)	(21.0, 344.0)	(22.0, 353.0)	(23.0, 428.0)	(24.0, 633.0)	(25.0, 579.0)	(26.0, 583.0)	(27.0, 791.0)	(28.0, 908.0)	(29.0, 1157.0)	(30.0, 1549.0)	(31.0, 2105.0)	(32.0, 3120.0)	(33.0, 3712.0)	(34.0, 4122.0)	(35.0, 4125.0)	(36.0, 4474.0)	(37.0, 6630.0)	(38.0, 13120.0)	(39.0, 134730.0)	(40.0, 33205.0)													
062024_BEL_CBC_T2_1393_PAST_S55_R2_16S	(8.0, 1.0)	(9.0, 2.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 8.0)	(15.0, 98.0)	(16.0, 549.0)	(17.0, 1015.0)	(18.0, 1552.0)	(19.0, 2359.0)	(20.0, 2220.0)	(21.0, 1894.0)	(22.0, 1663.0)	(23.0, 1609.0)	(24.0, 1617.0)	(25.0, 1730.0)	(26.0, 1903.0)	(27.0, 2077.0)	(28.0, 2475.0)	(29.0, 2696.0)	(30.0, 3082.0)	(31.0, 3534.0)	(32.0, 4464.0)	(33.0, 5350.0)	(34.0, 6648.0)	(35.0, 8615.0)	(36.0, 12175.0)	(37.0, 19107.0)	(38.0, 48113.0)	(39.0, 761526.0)	(40.0, 68613.0)						
062024_BEL_CBC_T2_1399_PAST_S44_R2_16S	(14.0, 1.0)	(15.0, 21.0)	(16.0, 185.0)	(17.0, 433.0)	(18.0, 600.0)	(19.0, 1030.0)	(20.0, 1079.0)	(21.0, 1000.0)	(22.0, 822.0)	(23.0, 877.0)	(24.0, 844.0)	(25.0, 932.0)	(26.0, 1072.0)	(27.0, 1279.0)	(28.0, 1513.0)	(29.0, 1693.0)	(30.0, 2138.0)	(31.0, 2785.0)	(32.0, 3603.0)	(33.0, 4684.0)	(34.0, 5418.0)	(35.0, 6006.0)	(36.0, 7674.0)	(37.0, 12016.0)	(38.0, 27899.0)	(39.0, 438162.0)	(40.0, 25722.0)												
062024_BEL_CBC_T2_1402_MCAV_S95_R2_16S	(15.0, 13.0)	(16.0, 85.0)	(17.0, 211.0)	(18.0, 293.0)	(19.0, 310.0)	(20.0, 223.0)	(21.0, 277.0)	(22.0, 304.0)	(23.0, 276.0)	(24.0, 538.0)	(25.0, 366.0)	(26.0, 383.0)	(27.0, 393.0)	(28.0, 455.0)	(29.0, 500.0)	(30.0, 533.0)	(31.0, 621.0)	(32.0, 745.0)	(33.0, 971.0)	(34.0, 1163.0)	(35.0, 1669.0)	(36.0, 2294.0)	(37.0, 3665.0)	(38.0, 8867.0)	(39.0, 148170.0)	(40.0, 48932.0)													
062024_BEL_CBC_T3_1418_SSID_S21_R2_16S	(14.0, 3.0)	(15.0, 25.0)	(16.0, 128.0)	(17.0, 321.0)	(18.0, 418.0)	(19.0, 487.0)	(20.0, 456.0)	(21.0, 446.0)	(22.0, 422.0)	(23.0, 453.0)	(24.0, 518.0)	(25.0, 576.0)	(26.0, 672.0)	(27.0, 724.0)	(28.0, 965.0)	(29.0, 1051.0)	(30.0, 1222.0)	(31.0, 1584.0)	(32.0, 1943.0)	(33.0, 2428.0)	(34.0, 2848.0)	(35.0, 3619.0)	(36.0, 4887.0)	(37.0, 7531.0)	(38.0, 19053.0)	(39.0, 256546.0)	(40.0, 15536.0)												
062024_BEL_CBC_T4_1458_MCAV_S58_R2_16S	(11.0, 2.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 108.0)	(16.0, 794.0)	(17.0, 2689.0)	(18.0, 3405.0)	(19.0, 4796.0)	(20.0, 4358.0)	(21.0, 4826.0)	(22.0, 4956.0)	(23.0, 4321.0)	(24.0, 8275.0)	(25.0, 6596.0)	(26.0, 5574.0)	(27.0, 6020.0)	(28.0, 6238.0)	(29.0, 6653.0)	(30.0, 7433.0)	(31.0, 8281.0)	(32.0, 10132.0)	(33.0, 12328.0)	(34.0, 15404.0)	(35.0, 20054.0)	(36.0, 29072.0)	(37.0, 47691.0)	(38.0, 116259.0)	(39.0, 1949244.0)	(40.0, 638047.0)									
082024_BEL_CBC_T2_1517_MCAV_S28_R2_16S	(14.0, 2.0)	(15.0, 30.0)	(16.0, 242.0)	(17.0, 755.0)	(18.0, 859.0)	(19.0, 918.0)	(20.0, 767.0)	(21.0, 968.0)	(22.0, 1145.0)	(23.0, 1082.0)	(24.0, 2168.0)	(25.0, 1437.0)	(26.0, 1233.0)	(27.0, 1387.0)	(28.0, 1482.0)	(29.0, 1556.0)	(30.0, 1758.0)	(31.0, 2029.0)	(32.0, 2421.0)	(33.0, 3038.0)	(34.0, 3827.0)	(35.0, 4960.0)	(36.0, 7328.0)	(37.0, 11657.0)	(38.0, 27450.0)	(39.0, 544929.0)	(40.0, 180256.0)												
082024_BEL_CBC_T3_1559_PSTR_S74_R2_16S	(15.0, 13.0)	(16.0, 179.0)	(17.0, 615.0)	(18.0, 597.0)	(19.0, 473.0)	(20.0, 507.0)	(21.0, 627.0)	(22.0, 844.0)	(23.0, 717.0)	(24.0, 1254.0)	(25.0, 1383.0)	(26.0, 1081.0)	(27.0, 1242.0)	(28.0, 1356.0)	(29.0, 1398.0)	(30.0, 1560.0)	(31.0, 1898.0)	(32.0, 2241.0)	(33.0, 2706.0)	(34.0, 3360.0)	(35.0, 4478.0)	(36.0, 6267.0)	(37.0, 10095.0)	(38.0, 24387.0)	(39.0, 425636.0)	(40.0, 152202.0)													
082024_BEL_CBC_T3_1564_PAST_S48_R2_16S	(13.0, 1.0)	(14.0, 1.0)	(15.0, 42.0)	(16.0, 245.0)	(17.0, 596.0)	(18.0, 801.0)	(19.0, 1151.0)	(20.0, 1191.0)	(21.0, 1074.0)	(22.0, 1003.0)	(23.0, 975.0)	(24.0, 1085.0)	(25.0, 1140.0)	(26.0, 1293.0)	(27.0, 1491.0)	(28.0, 1733.0)	(29.0, 2028.0)	(30.0, 2384.0)	(31.0, 2849.0)	(32.0, 3723.0)	(33.0, 5082.0)	(34.0, 6744.0)	(35.0, 8888.0)	(36.0, 11333.0)	(37.0, 15440.0)	(38.0, 35576.0)	(39.0, 505144.0)	(40.0, 33768.0)											
082024_BEL_CBC_T4_1608_MCAV_S11_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 19.0)	(16.0, 217.0)	(17.0, 644.0)	(18.0, 584.0)	(19.0, 718.0)	(20.0, 637.0)	(21.0, 936.0)	(22.0, 1048.0)	(23.0, 884.0)	(24.0, 1800.0)	(25.0, 1340.0)	(26.0, 1134.0)	(27.0, 1238.0)	(28.0, 1364.0)	(29.0, 1486.0)	(30.0, 1601.0)	(31.0, 1860.0)	(32.0, 2196.0)	(33.0, 2839.0)	(34.0, 3565.0)	(35.0, 4624.0)	(36.0, 7041.0)	(37.0, 11318.0)	(38.0, 28279.0)	(39.0, 525336.0)	(40.0, 164456.0)								
092023_BEL_CBC_T1_188_SSID_S3_R2_16S	(15.0, 22.0)	(16.0, 117.0)	(17.0, 243.0)	(18.0, 272.0)	(19.0, 341.0)	(20.0, 295.0)	(21.0, 302.0)	(22.0, 344.0)	(23.0, 330.0)	(24.0, 449.0)	(25.0, 476.0)	(26.0, 550.0)	(27.0, 668.0)	(28.0, 822.0)	(29.0, 997.0)	(30.0, 1427.0)	(31.0, 2079.0)	(32.0, 2969.0)	(33.0, 3992.0)	(34.0, 4487.0)	(35.0, 4973.0)	(36.0, 5621.0)	(37.0, 9046.0)	(38.0, 22771.0)	(39.0, 313116.0)	(40.0, 15222.0)													
092023_BEL_CBC_T1_194_SSID_S39_R2_16S	(13.0, 1.0)	(14.0, 5.0)	(15.0, 55.0)	(16.0, 224.0)	(17.0, 459.0)	(18.0, 640.0)	(19.0, 859.0)	(20.0, 863.0)	(21.0, 744.0)	(22.0, 654.0)	(23.0, 698.0)	(24.0, 755.0)	(25.0, 783.0)	(26.0, 837.0)	(27.0, 991.0)	(28.0, 1147.0)	(29.0, 1277.0)	(30.0, 1430.0)	(31.0, 1736.0)	(32.0, 2108.0)	(33.0, 2605.0)	(34.0, 3266.0)	(35.0, 4356.0)	(36.0, 5996.0)	(37.0, 9749.0)	(38.0, 25895.0)	(39.0, 386214.0)	(40.0, 23936.0)											
092023_BEL_CBC_T2_173_SSID_S14_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 53.0)	(16.0, 490.0)	(17.0, 1177.0)	(18.0, 1660.0)	(19.0, 1940.0)	(20.0, 1960.0)	(21.0, 1967.0)	(22.0, 1978.0)	(23.0, 2106.0)	(24.0, 2210.0)	(25.0, 2521.0)	(26.0, 2793.0)	(27.0, 3180.0)	(28.0, 3603.0)	(29.0, 4379.0)	(30.0, 5329.0)	(31.0, 6985.0)	(32.0, 9013.0)	(33.0, 11346.0)	(34.0, 13434.0)	(35.0, 15954.0)	(36.0, 20675.0)	(37.0, 33923.0)	(38.0, 100467.0)	(39.0, 870112.0)	(40.0, 53632.0)								
092023_BEL_CBC_T2_192_OFAV_S64_R2_16S	(14.0, 5.0)	(15.0, 71.0)	(16.0, 415.0)	(17.0, 1130.0)	(18.0, 1142.0)	(19.0, 1266.0)	(20.0, 1068.0)	(21.0, 1189.0)	(22.0, 1504.0)	(23.0, 1346.0)	(24.0, 2561.0)	(25.0, 2362.0)	(26.0, 2087.0)	(27.0, 2206.0)	(28.0, 2315.0)	(29.0, 2676.0)	(30.0, 3064.0)	(31.0, 3660.0)	(32.0, 4455.0)	(33.0, 5440.0)	(34.0, 6527.0)	(35.0, 7920.0)	(36.0, 10693.0)	(37.0, 16746.0)	(38.0, 37826.0)	(39.0, 621352.0)	(40.0, 91339.0)												
092023_BEL_CBC_T2_196_SSID_S63_R2_16S	(10.0, 1.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 132.0)	(16.0, 822.0)	(17.0, 1764.0)	(18.0, 2452.0)	(19.0, 3053.0)	(20.0, 2539.0)	(21.0, 2493.0)	(22.0, 2438.0)	(23.0, 2753.0)	(24.0, 3001.0)	(25.0, 3533.0)	(26.0, 4202.0)	(27.0, 4927.0)	(28.0, 6185.0)	(29.0, 7667.0)	(30.0, 10277.0)	(31.0, 14161.0)	(32.0, 19170.0)	(33.0, 23188.0)	(34.0, 25326.0)	(35.0, 26426.0)	(36.0, 30374.0)	(37.0, 45868.0)	(38.0, 91823.0)	(39.0, 909547.0)	(40.0, 61154.0)								
092023_BEL_CBC_T3_172_PSTR_S57_R2_16S	(14.0, 6.0)	(15.0, 65.0)	(16.0, 405.0)	(17.0, 972.0)	(18.0, 1388.0)	(19.0, 1610.0)	(20.0, 1682.0)	(21.0, 1461.0)	(22.0, 1585.0)	(23.0, 1432.0)	(24.0, 1513.0)	(25.0, 1516.0)	(26.0, 1605.0)	(27.0, 1870.0)	(28.0, 2060.0)	(29.0, 2414.0)	(30.0, 2738.0)	(31.0, 3311.0)	(32.0, 4037.0)	(33.0, 5088.0)	(34.0, 6487.0)	(35.0, 7801.0)	(36.0, 10363.0)	(37.0, 16059.0)	(38.0, 42670.0)	(39.0, 575782.0)	(40.0, 21908.0)												
092023_BEL_CBC_T3_183_SSID_S79_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 38.0)	(16.0, 330.0)	(17.0, 754.0)	(18.0, 980.0)	(19.0, 1254.0)	(20.0, 1171.0)	(21.0, 1171.0)	(22.0, 1362.0)	(23.0, 1479.0)	(24.0, 1722.0)	(25.0, 2048.0)	(26.0, 2408.0)	(27.0, 2922.0)	(28.0, 3759.0)	(29.0, 4825.0)	(30.0, 6520.0)	(31.0, 9333.0)	(32.0, 12895.0)	(33.0, 15592.0)	(34.0, 17330.0)	(35.0, 17387.0)	(36.0, 18835.0)	(37.0, 27427.0)	(38.0, 53815.0)	(39.0, 381479.0)	(40.0, 15997.0)									
092023_BEL_CBC_T3_196_SSID_S25_R2_16S	(14.0, 4.0)	(15.0, 38.0)	(16.0, 258.0)	(17.0, 697.0)	(18.0, 897.0)	(19.0, 1122.0)	(20.0, 830.0)	(21.0, 766.0)	(22.0, 789.0)	(23.0, 750.0)	(24.0, 856.0)	(25.0, 965.0)	(26.0, 1010.0)	(27.0, 1166.0)	(28.0, 1314.0)	(29.0, 1608.0)	(30.0, 1730.0)	(31.0, 2109.0)	(32.0, 2567.0)	(33.0, 3276.0)	(34.0, 4068.0)	(35.0, 5266.0)	(36.0, 7259.0)	(37.0, 11490.0)	(38.0, 29625.0)	(39.0, 423802.0)	(40.0, 30469.0)												
092023_BEL_CBC_T4_84_OANN_S12_R2_16S	(14.0, 1.0)	(15.0, 10.0)	(16.0, 85.0)	(17.0, 270.0)	(18.0, 262.0)	(19.0, 297.0)	(20.0, 279.0)	(21.0, 288.0)	(22.0, 349.0)	(23.0, 345.0)	(24.0, 654.0)	(25.0, 554.0)	(26.0, 479.0)	(27.0, 484.0)	(28.0, 470.0)	(29.0, 594.0)	(30.0, 631.0)	(31.0, 751.0)	(32.0, 840.0)	(33.0, 1082.0)	(34.0, 1324.0)	(35.0, 1730.0)	(36.0, 2290.0)	(37.0, 3700.0)	(38.0, 8544.0)	(39.0, 135701.0)	(40.0, 21518.0)												
092023_BEL_CBC_T4_88_OFAV_S71_R2_16S	(14.0, 3.0)	(15.0, 31.0)	(16.0, 232.0)	(17.0, 705.0)	(18.0, 644.0)	(19.0, 581.0)	(20.0, 542.0)	(21.0, 716.0)	(22.0, 1014.0)	(23.0, 1035.0)	(24.0, 2305.0)	(25.0, 2236.0)	(26.0, 1679.0)	(27.0, 1727.0)	(28.0, 1947.0)	(29.0, 1981.0)	(30.0, 2133.0)	(31.0, 2498.0)	(32.0, 2949.0)	(33.0, 3557.0)	(34.0, 4455.0)	(35.0, 5589.0)	(36.0, 8087.0)	(37.0, 13006.0)	(38.0, 30792.0)	(39.0, 511796.0)	(40.0, 113400.0)												
092023_BEL_CBC_T4_91_MCAV_S78_R2_16S	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 40.0)	(16.0, 415.0)	(17.0, 1004.0)	(18.0, 1233.0)	(19.0, 1229.0)	(20.0, 1276.0)	(21.0, 1634.0)	(22.0, 1889.0)	(23.0, 1817.0)	(24.0, 2811.0)	(25.0, 2644.0)	(26.0, 2885.0)	(27.0, 3356.0)	(28.0, 4083.0)	(29.0, 4842.0)	(30.0, 6348.0)	(31.0, 8847.0)	(32.0, 12437.0)	(33.0, 16051.0)	(34.0, 18636.0)	(35.0, 19795.0)	(36.0, 21443.0)	(37.0, 29709.0)	(38.0, 63296.0)	(39.0, 680672.0)	(40.0, 183766.0)								
102019_BEL_CBC_T1_25_PSTR_S65_R2_16S	(14.0, 1.0)	(15.0, 26.0)	(16.0, 254.0)	(17.0, 853.0)	(18.0, 755.0)	(19.0, 728.0)	(20.0, 645.0)	(21.0, 934.0)	(22.0, 1343.0)	(23.0, 1130.0)	(24.0, 2118.0)	(25.0, 2224.0)	(26.0, 1733.0)	(27.0, 1922.0)	(28.0, 2150.0)	(29.0, 2431.0)	(30.0, 2804.0)	(31.0, 3386.0)	(32.0, 4446.0)	(33.0, 5779.0)	(34.0, 6835.0)	(35.0, 8145.0)	(36.0, 10763.0)	(37.0, 16415.0)	(38.0, 37752.0)	(39.0, 609507.0)	(40.0, 223934.0)												
102019_BEL_CBC_T1_27_PSTR_S88_R2_16S	(15.0, 14.0)	(16.0, 152.0)	(17.0, 576.0)	(18.0, 512.0)	(19.0, 469.0)	(20.0, 454.0)	(21.0, 590.0)	(22.0, 823.0)	(23.0, 675.0)	(24.0, 1239.0)	(25.0, 1220.0)	(26.0, 952.0)	(27.0, 1084.0)	(28.0, 1219.0)	(29.0, 1269.0)	(30.0, 1543.0)	(31.0, 1857.0)	(32.0, 2315.0)	(33.0, 2901.0)	(34.0, 3479.0)	(35.0, 4289.0)	(36.0, 6019.0)	(37.0, 9357.0)	(38.0, 20932.0)	(39.0, 379345.0)	(40.0, 157239.0)													
