Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
042024_BEL_CBC_T1_929_PAST_S8_R2_16S	(14.0, 5.0)	(15.0, 52.0)	(16.0, 385.0)	(17.0, 1070.0)	(18.0, 1522.0)	(19.0, 1901.0)	(20.0, 1755.0)	(21.0, 1535.0)	(22.0, 1605.0)	(23.0, 1560.0)	(24.0, 1881.0)	(25.0, 2022.0)	(26.0, 2237.0)	(27.0, 2687.0)	(28.0, 2992.0)	(29.0, 3629.0)	(30.0, 4246.0)	(31.0, 5402.0)	(32.0, 7173.0)	(33.0, 9355.0)	(34.0, 11763.0)	(35.0, 14593.0)	(36.0, 17681.0)	(37.0, 25081.0)	(38.0, 57336.0)	(39.0, 815700.0)	(40.0, 29081.0)												
042024_BEL_CBC_T1_933_SSID_S82_R2_16S	(12.0, 1.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 39.0)	(16.0, 314.0)	(17.0, 817.0)	(18.0, 1166.0)	(19.0, 1331.0)	(20.0, 1320.0)	(21.0, 1154.0)	(22.0, 1131.0)	(23.0, 1195.0)	(24.0, 1452.0)	(25.0, 1529.0)	(26.0, 1707.0)	(27.0, 2139.0)	(28.0, 2395.0)	(29.0, 2738.0)	(30.0, 3069.0)	(31.0, 3556.0)	(32.0, 4443.0)	(33.0, 5475.0)	(34.0, 6666.0)	(35.0, 8494.0)	(36.0, 11505.0)	(37.0, 17477.0)	(38.0, 44586.0)	(39.0, 559574.0)	(40.0, 22297.0)										
042024_BEL_CBC_T2_1017_MCAV_S94_R2_16S	(15.0, 10.0)	(16.0, 109.0)	(17.0, 367.0)	(18.0, 406.0)	(19.0, 411.0)	(20.0, 396.0)	(21.0, 547.0)	(22.0, 649.0)	(23.0, 560.0)	(24.0, 1134.0)	(25.0, 812.0)	(26.0, 789.0)	(27.0, 806.0)	(28.0, 991.0)	(29.0, 962.0)	(30.0, 1149.0)	(31.0, 1231.0)	(32.0, 1646.0)	(33.0, 2059.0)	(34.0, 2596.0)	(35.0, 3381.0)	(36.0, 4853.0)	(37.0, 7836.0)	(38.0, 22389.0)	(39.0, 324514.0)	(40.0, 114663.0)													
042024_BEL_CBC_T2_1028_PAST_S61_R2_16S	(14.0, 5.0)	(15.0, 44.0)	(16.0, 253.0)	(17.0, 582.0)	(18.0, 675.0)	(19.0, 1121.0)	(20.0, 1221.0)	(21.0, 1093.0)	(22.0, 958.0)	(23.0, 906.0)	(24.0, 1050.0)	(25.0, 974.0)	(26.0, 1129.0)	(27.0, 1167.0)	(28.0, 1459.0)	(29.0, 1694.0)	(30.0, 2000.0)	(31.0, 2329.0)	(32.0, 3011.0)	(33.0, 3781.0)	(34.0, 4689.0)	(35.0, 5757.0)	(36.0, 7702.0)	(37.0, 12239.0)	(38.0, 30017.0)	(39.0, 488205.0)	(40.0, 27111.0)												
042024_BEL_CBC_T2_1040_SSID_S34_R2_16S	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 50.0)	(16.0, 314.0)	(17.0, 632.0)	(18.0, 870.0)	(19.0, 1438.0)	(20.0, 1463.0)	(21.0, 1317.0)	(22.0, 1227.0)	(23.0, 1176.0)	(24.0, 1423.0)	(25.0, 1419.0)	(26.0, 1584.0)	(27.0, 1724.0)	(28.0, 2124.0)	(29.0, 2324.0)	(30.0, 2800.0)	(31.0, 3470.0)	(32.0, 4477.0)	(33.0, 5804.0)	(34.0, 7116.0)	(35.0, 8660.0)	(36.0, 11124.0)	(37.0, 17296.0)	(38.0, 43435.0)	(39.0, 633066.0)	(40.0, 55841.0)										
042024_BEL_CBC_T3_947_MCAV_S70_R2_16S	(13.0, 2.0)	(14.0, 3.0)	(15.0, 16.0)	(16.0, 235.0)	(17.0, 650.0)	(18.0, 660.0)	(19.0, 591.0)	(20.0, 566.0)	(21.0, 829.0)	(22.0, 1038.0)	(23.0, 962.0)	(24.0, 1913.0)	(25.0, 1337.0)	(26.0, 1299.0)	(27.0, 1379.0)	(28.0, 1548.0)	(29.0, 1666.0)	(30.0, 1965.0)	(31.0, 2249.0)	(32.0, 2870.0)	(33.0, 3604.0)	(34.0, 4504.0)	(35.0, 5757.0)	(36.0, 8233.0)	(37.0, 13336.0)	(38.0, 36761.0)	(39.0, 479714.0)	(40.0, 147000.0)											
042024_BEL_CBC_T3_949_PSTR_S26_R2_16S	(14.0, 3.0)	(15.0, 61.0)	(16.0, 414.0)	(17.0, 1300.0)	(18.0, 1791.0)	(19.0, 1840.0)	(20.0, 1380.0)	(21.0, 1420.0)	(22.0, 1733.0)	(23.0, 1565.0)	(24.0, 2309.0)	(25.0, 2509.0)	(26.0, 2320.0)	(27.0, 2566.0)	(28.0, 2891.0)	(29.0, 3293.0)	(30.0, 3874.0)	(31.0, 4741.0)	(32.0, 6109.0)	(33.0, 7986.0)	(34.0, 10398.0)	(35.0, 12175.0)	(36.0, 15144.0)	(37.0, 21368.0)	(38.0, 51347.0)	(39.0, 666196.0)	(40.0, 165575.0)												
042024_BEL_CBC_T3_962_SSID_S51_R2_16S	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 13.0)	(16.0, 161.0)	(17.0, 340.0)	(18.0, 358.0)	(19.0, 548.0)	(20.0, 517.0)	(21.0, 516.0)	(22.0, 515.0)	(23.0, 517.0)	(24.0, 666.0)	(25.0, 747.0)	(26.0, 785.0)	(27.0, 930.0)	(28.0, 1215.0)	(29.0, 1459.0)	(30.0, 1786.0)	(31.0, 2568.0)	(32.0, 3404.0)	(33.0, 4557.0)	(34.0, 5534.0)	(35.0, 5475.0)	(36.0, 6161.0)	(37.0, 9454.0)	(38.0, 21299.0)	(39.0, 205135.0)	(40.0, 9218.0)						
052022_BEL_CBC_T1_11_PSTR_S85_R2_16S	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 21.0)	(16.0, 198.0)	(17.0, 581.0)	(18.0, 684.0)	(19.0, 706.0)	(20.0, 706.0)	(21.0, 910.0)	(22.0, 1215.0)	(23.0, 1077.0)	(24.0, 1675.0)	(25.0, 1824.0)	(26.0, 1598.0)	(27.0, 1717.0)	(28.0, 2006.0)	(29.0, 2060.0)	(30.0, 2466.0)	(31.0, 3057.0)	(32.0, 4123.0)	(33.0, 5288.0)	(34.0, 6741.0)	(35.0, 8612.0)	(36.0, 11151.0)	(37.0, 15016.0)	(38.0, 33264.0)	(39.0, 502336.0)	(40.0, 179847.0)										
052022_BEL_CBC_T1_12_MCAV_S24_R2_16S	(15.0, 13.0)	(16.0, 111.0)	(17.0, 385.0)	(18.0, 371.0)	(19.0, 352.0)	(20.0, 357.0)	(21.0, 414.0)	(22.0, 456.0)	(23.0, 421.0)	(24.0, 864.0)	(25.0, 646.0)	(26.0, 556.0)	(27.0, 663.0)	(28.0, 756.0)	(29.0, 765.0)	(30.0, 836.0)	(31.0, 1005.0)	(32.0, 1171.0)	(33.0, 1421.0)	(34.0, 1813.0)	(35.0, 2431.0)	(36.0, 3473.0)	(37.0, 5338.0)	(38.0, 12774.0)	(39.0, 237417.0)	(40.0, 75513.0)													
