Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
052022_BEL_CBC_T1_11_PSTR_S85_R2_16S	052022_BEL_CBC_T1_11_PSTR_S85_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	788882.0	181.2 Mbp	0.0	205-251	38.0	2.098159167023712	229.80888269728553	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_12_MCAV_S24_R2_16S	052022_BEL_CBC_T1_12_MCAV_S24_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	350322.0	80.3 Mbp	0.0	195-251	37.0	5.322246390463631	229.91232351950492	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_13_MCAV_S75_R2_16S	052022_BEL_CBC_T1_13_MCAV_S75_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	494423.0	113.7 Mbp	0.0	192-251	37.0	2.4272738121001654	229.47701360980375	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_39_MCAV_S77_R2_16S	052022_BEL_CBC_T1_39_MCAV_S77_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1116560.0	255.9 Mbp	0.0	195-251	35.0	1.245611521100523	228.7516049294261	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_40_MCAV_S46_R2_16S	052022_BEL_CBC_T1_40_MCAV_S46_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	421865.0	97.9 Mbp	0.0	213-251	37.0	2.902113235276688	232.1155369608761	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_41_OANN_S4_R2_16S	052022_BEL_CBC_T1_41_OANN_S4_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	538505.0	123.2 Mbp	0.0	197-251	37.0	3.1630161279839557	229.30179385521026	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_52_PAST_S30_R2_16S	052022_BEL_CBC_T1_52_PAST_S30_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	985789.0	226 Mbp	0.0	195-251	45.0	4.457647630476704	229.7385571354519	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_60_MCAV_S92_R2_16S	052022_BEL_CBC_T1_60_MCAV_S92_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	473088.0	108.4 Mbp	0.0	204-251	34.0	1.3661306141774892	229.27820616883116	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T1_70_MCAV_S36_R2_16S	052022_BEL_CBC_T1_70_MCAV_S36_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	457058.0	105.9 Mbp	0.0	207-251	36.0	2.314367104393753	231.88687431354444	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T2_45_PSTR_S31_R2_16S	052022_BEL_CBC_T2_45_PSTR_S31_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2864802.0	655.7 Mbp	0.0	195-251	39.0	2.2415161676094892	229.34036662917717	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T2_46_PSTR_S68_R2_16S	052022_BEL_CBC_T2_46_PSTR_S68_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644215.0	147.6 Mbp	0.0	202-251	40.0	1.7584191613048437	228.76013365103265	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T3_50_MCAV_S47_R2_16S	052022_BEL_CBC_T3_50_MCAV_S47_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	288926.0	67.5 Mbp	0.0	208-251	49.0	5.008895011179333	233.68241348995937	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
