Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
082024-BEL-CBC-T1-1482-OANN_S36_R1_16S	95.83766663515175	48.0	232.84181084743625	232	54.54545454545454	0.12692399999999998
082024-BEL-CBC-T2-1510-PAST_S94_R1_16S	98.08276045931484	49.0	229.17661912288386	229	54.54545454545454	0.7876949999999999
082024-BEL-CBC-T3-1554-OANN_S14_R1_16S	98.61972809826933	48.0	232.59627262037574	232	54.54545454545454	0.929527
082024-BEL-CBC-T3-1558-MCAV_S34_R1_16S	97.6764915081797	41.0	232.25457753981806	232	54.54545454545454	0.33320299999999997
082024-BEL-CBC-T3-1560-PSTR_S54_R1_16S	98.56815245946848	50.0	232.69051143978209	232	54.54545454545454	0.41338199999999997
082024-BEL-CBC-T3-1561-MCAV_S38_R1_16S	97.62036524626453	43.0	232.29398966034273	232	54.54545454545454	0.422838
082024-BEL-CBC-T3-1562-OFAV_S31_R1_16S	99.41840280857001	48.0	230.7493662348823	230	54.54545454545454	6.483868999999999
082024-BEL-CBC-T4-1606-PSTR_S25_R1_16S	98.06221794105966	41.0	230.9694961954295	230	54.54545454545454	0.319747
082024-BEL-CBC-T4-1607-PSTR_S90_R1_16S	96.40537998775919	45.0	229.4849602173491	229	54.54545454545454	0.06698899999999999
082024-BEL-CBC-T4-1609-OFAV_S12_R1_16S	99.21179593064373	47.0	232.08696257427835	232	54.54545454545454	0.984136
092023-BEL-CBC-T1-171-PAST_S42_R1_16S	96.99399040403225	48.0	232.5472246005719	232	45.45454545454545	0.495208
092023-BEL-CBC-T1-175-PAST_S7_R1_16S	96.99113594426336	47.0	229.76040966078602	229	45.45454545454545	0.463896
092023-BEL-CBC-T2-174-SSID_S46_R1_16S	97.72207948600001	51.0	230.50594630375514	230	45.45454545454545	0.534786
092023-BEL-CBC-T2-181-PAST_S63_R1_16S	98.03187435038689	51.0	232.63136620856912	232	54.54545454545454	0.8659
092023-BEL-CBC-T2-184-MCAV_S37_R1_16S	99.03934971281468	54.0	232.1986222036511	232	54.54545454545454	11.712326
092023-BEL-CBC-T3-171-OFAV_S78_R1_16S	98.72731750576037	52.0	231.09912058944064	231	54.54545454545454	2.054558
092023-BEL-CBC-T3-173-OFAV_S84_R1_16S	98.768239530036	45.0	228.64833049080917	228	54.54545454545454	2.1108
092023-BEL-CBC-T3-178-PAST_S74_R1_16S	99.05341925438758	50.0	231.22628714128822	231	54.54545454545454	0.791269
092023-BEL-CBC-T3-195-PSTR_S66_R1_16S	96.77221137858744	51.0	231.3677257283308	231	54.54545454545454	0.055332
092023-BEL-CBC-T4-92-PSTR_S43_R1_16S	96.23589586578898	44.0	231.08369278426642	230	54.54545454545454	0.111049
092023-BEL-CBC-T4-94-MCAV_S85_R1_16S	98.07194940848643	48.0	228.79740590568042	228	54.54545454545454	0.7191719999999999
102019-BEL-CBC-T1-29-PSTR_S22_R1_16S	99.28238597614177	54.0	229.1339749378017	229	45.45454545454545	0.524934
112023-BEL-CBC-T1-276-MCAV_S26_R1_16S	96.94737029287462	40.0	231.37365669474295	230	54.54545454545454	0.168707
112023-BEL-CBC-T2-304-OFAV_S72_R1_16S	98.94500561167227	49.0	231.1965524813351	231	54.54545454545454	0.81972
112023-BEL-CBC-T2-307-SSID_S62_R1_16S	99.02349215008077	52.0	232.16561718917166	232	45.45454545454545	0.850582
112023-BEL-CBC-T2-310-MCAV_S55_R1_16S	98.79365378398803	45.0	232.20038192043467	232	54.54545454545454	0.467113
112023-BEL-CBC-T3-352-PAST_S30_R1_16S	98.38968358871793	45.0	230.7168935487734	230	54.54545454545454	0.893489
112023-BEL-CBC-T3-355-PSTR_S10_R1_16S	97.81274742676167	52.0	232.61411322248614	232	54.54545454545454	0.10103999999999999
112023-BEL-CBC-T4-399-MCAV_S9_R1_16S	97.95353131250961	41.0	232.263612788459	232	54.54545454545454	0.266459
112023-BEL-CBC-T4-401-MCAV_S53_R1_16S	98.49092353540138	40.0	232.3691306958685	232	54.54545454545454	0.268111
122022-BEL-CBC-T3-123-PAST_S20_R1_16S	97.0825074697512	45.0	229.19138242167855	228	54.54545454545454	0.169015
122022-BEL-CBC-T3-124-PAST_S64_R1_16S	98.91846906167751	45.0	232.2374521182564	232	54.54545454545454	0.532301
122022-BEL-CBC-T3-126-SSID_S77_R1_16S	97.42754935603	50.0	231.26011501224926	231	45.45454545454545	0.466559
122022-BEL-CBC-T3-127-OFAV_S32_R1_16S	97.91205200308907	48.0	232.6565022517862	232	54.54545454545454	0.884409
122022-BEL-CBC-T3-141-PSTR_S80_R1_16S	98.32494901004875	55.0	232.11944240622825	232	54.54545454545454	0.643264
122022-BEL-CBC-T3-142-MCAV_S24_R1_16S	96.23613210689487	75.0	232.7000051243947	232	63.63636363636363	0.039029
122023-BEL-CBC-T1-507-PAST_S51_R1_16S	97.79477704465073	50.0	232.1924126011675	232	54.54545454545454	0.5363629999999999
122023-BEL-CBC-T1-508-SSID_S75_R1_16S	95.39060641112323	54.0	230.93563787307323	230	45.45454545454545	0.424481
122023-BEL-CBC-T2-513-SSID_S45_R1_16S	91.36547713293953	50.0	233.43377382619815	230	54.54545454545454	0.13136799999999998
122023-BEL-CBC-T2-515-PAST_S73_R1_16S	97.33858000005574	46.0	231.0457833910671	230	54.54545454545454	0.358831
122023-BEL-CBC-T2-518-MCAV_S27_R1_16S	97.69078759727824	41.0	231.59619341563786	231	54.54545454545454	0.196344
122023-BEL-CBC-T2-522-MCAV_S88_R1_16S	97.85325862685582	43.0	228.91998944118174	228	54.54545454545454	0.763343
122023-BEL-CBC-T3-524-OFAV_S39_R1_16S	97.09204508160968	47.0	232.52152094350674	232	54.54545454545454	0.481438
122023-BEL-CBC-T3-525-PAST_S29_R1_16S	98.41352003077567	48.0	232.22120175271243	232	54.54545454545454	0.639466
122023-BEL-CBC-T3-526-SSID_S11_R1_16S	97.01740224993085	55.0	232.55530844824764	232	45.45454545454545	0.17716099999999999
122023-BEL-CBC-T3-531-PSTR_S28_R1_16S	97.8268249602708	47.0	230.83739563396983	230	54.54545454545454	0.203251
122023-BEL-CBC-T3-532-MCAV_S52_R1_16S	98.58591012134468	44.0	232.69512124518067	232	54.54545454545454	0.552723
122023-BEL-CBC-T4-539-MCAV_S44_R1_16S	96.79048574596972	39.0	231.87887657571346	230	54.54545454545454	0.26511799999999996
Negative_S96_R1_16S	77.84779447406689	45.0	230.47212796897722	229	54.54545454545454	0.0020629999999999997
Undetermined_S0_R1_16S	93.21760562782367	47.0	239.88832848077823	232	36.36363636363637	3.2615119999999997
