Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-557-SSID_S56_R1_16S	(1.0, 1.5971213938513984)	(2.0, 0.8595837804852389)	(3.0, 0.613913263051575)	(4.0, 0.5281653094291185)	(5.0, 0.4971277065841803)	(6.0, 0.4008585316583549)	(7.0, 0.324053616143762)	(8.0, 0.3114281505797193)	(9.0, 0.3740294173347642)	('>10', 7.461650148349221)	('>50', 4.029101698125118)	('>100', 9.535382867243229)	('>500', 6.325884308650548)	('>1k', 13.588157313300927)	('>5k', 12.564442480483134)	('>10k+', 40.989100014729715)
012024-BEL-CBC-T1-563-PSTR_S68_R1_16S	(1.0, 1.3966793324200204)	(2.0, 0.6565512963010831)	(3.0, 0.48078165792126554)	(4.0, 0.40323622922428726)	(5.0, 0.31879787353202194)	(6.0, 0.24297567658386537)	(7.0, 0.23522113371416756)	(8.0, 0.19989488286332188)	(9.0, 0.16284540026365446)	('>10', 4.036670371614927)	('>50', 1.5612479644324968)	('>100', 4.252935956092055)	('>500', 2.628790032827565)	('>1k', 13.558387399729451)	('>5k', 0.0)	('>10k+', 69.86498479247982)
012024-BEL-CBC-T2-601-OFAV_S58_R1_16S	(1.0, 1.1075184764070494)	(2.0, 0.4057703240477544)	(3.0, 0.29739909039226836)	(4.0, 0.2529846503695281)	(5.0, 0.22029562251279136)	(6.0, 0.24729960204661738)	(7.0, 0.1367964752700398)	(8.0, 0.17339397384877772)	(9.0, 0.15029846503695282)	('>10', 3.625639567936328)	('>50', 1.793988061398522)	('>100', 4.977259806708357)	('>500', 2.668419556566231)	('>1k', 12.319499715747584)	('>5k', 9.048820352472996)	('>10k+', 62.574616259238205)
012024-BEL-CBC-T2-605-SSID_S83_R1_16S	(1.0, 2.324317019745381)	(2.0, 0.9101165615444325)	(3.0, 0.5355105735054259)	(4.0, 0.368949186206203)	(5.0, 0.2521990817125025)	(6.0, 0.20081646506453468)	(7.0, 0.18588879356130245)	(8.0, 0.14959098180081143)	(9.0, 0.13293484307088915)	('>10', 4.535026602681953)	('>50', 4.08562512374254)	('>100', 8.164964912115298)	('>500', 5.508782184845428)	('>1k', 14.631632207315501)	('>5k', 0.8735044830154526)	('>10k+', 57.14014098007234)
012024-BEL-CBC-T3-627-PAST_S81_R1_16S	(1.0, 1.2385615768079832)	(2.0, 0.552241438399597)	(3.0, 0.38577857371644564)	(4.0, 0.28738734115390263)	(5.0, 0.2424388284364819)	(6.0, 0.1900578844823223)	(7.0, 0.1763137854493052)	(8.0, 0.16044613463436275)	(9.0, 0.14227796938900106)	('>10', 2.9225971274243143)	('>50', 1.8340998765390588)	('>100', 5.570371261737785)	('>500', 3.7601023551958885)	('>1k', 11.662369423685742)	('>5k', 3.030662318104518)	('>10k+', 67.8442941048433)
012024-BEL-CBC-T3-631-MCAV_S61_R1_16S	(1.0, 0.7726187199154844)	(2.0, 0.25555563821951743)	(3.0, 0.17464828550809816)	(4.0, 0.14135537485213484)	(5.0, 0.11996607471003548)	(6.0, 0.10936442159612539)	(7.0, 0.05728612559797044)	(8.0, 0.05951805256931993)	(9.0, 0.04687046639833945)	('>10', 1.6996123886826424)	('>50', 0.8066556062285642)	('>100', 2.156599436066452)	('>500', 0.8665456466264423)	('>1k', 6.867081309099567)	('>5k', 6.972911846324388)	('>10k+', 78.89341060760492)
012024-BEL-CBC-T3-633-MCAV_S69_R1_16S	(1.0, 1.168252638078751)	(2.0, 0.5292697180536106)	(3.0, 0.3737967383753625)	(4.0, 0.32638299279972655)	(5.0, 0.26187824591194275)	(6.0, 0.24147930886195984)	(7.0, 0.274007343617338)	(8.0, 0.2558136970592451)	(9.0, 0.20839995148360918)	('>10', 4.126098510326273)	('>50', 1.6953170656404715)	('>100', 3.4810510414484344)	('>500', 1.0204981751221178)	('>1k', 8.777607480345347)	('>5k', 0.0)	('>10k+', 77.26014709287581)
012024-BEL-CBC-T3-637-SSID_S70_R1_16S	(1.0, 3.9973509933774833)	(2.0, 1.8596026490066224)	(3.0, 1.4781456953642385)	(4.0, 1.0701986754966888)	(5.0, 0.8741721854304637)	(6.0, 1.0172185430463576)	(7.0, 0.7973509933774834)	(8.0, 0.8900662251655629)	(9.0, 0.9536423841059603)	('>10', 14.548344370860928)	('>50', 5.496688741721854)	('>100', 14.898013245033113)	('>500', 15.332450331125827)	('>1k', 36.78675496688742)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T4-661-PSTR_S71_R1_16S	(1.0, 1.2016971538971954)	(2.0, 0.5902779958178176)	(3.0, 0.46280306693375695)	(4.0, 0.3499804287260252)	(5.0, 0.27211396970324925)	(6.0, 0.2335993770683278)	(7.0, 0.16996657184541414)	(8.0, 0.1842002256452764)	(9.0, 0.1375222139192575)	('>10', 1.8949598213257812)	('>50', 0.8071318978274838)	('>100', 2.6338539082892196)	('>500', 4.539488969964897)	('>1k', 29.20243395479978)	('>5k', 21.05450442813156)	('>10k+', 36.26546601610496)
012024-BEL-CBC-T4-663-PSTR_S82_R1_16S	(1.0, 4.389627239308704)	(2.0, 1.6733478600775131)	(3.0, 0.9680799747168116)	(4.0, 0.4990102962457792)	(5.0, 0.3326735308305195)	(6.0, 0.3093863836723831)	(7.0, 0.23287147158136362)	(8.0, 0.10645552986576622)	(9.0, 0.11976247109898701)	('>10', 6.7133518521598825)	('>50', 8.584640463081556)	('>100', 25.517723182354995)	('>500', 7.085946206690065)	('>1k', 11.883098521266156)	('>5k', 10.084998087127198)	('>10k+', 21.499026929922323)
022024-BEL-CBC-T1-775-OANN_S93_R1_16S	(1.0, 1.4422825233400227)	(2.0, 0.5435825844167176)	(3.0, 0.3494459471250327)	(4.0, 0.2512869732135067)	(5.0, 0.15487304772707444)	(6.0, 0.11779076869383126)	(7.0, 0.13436872873222233)	(8.0, 0.12215338975656573)	(9.0, 0.07067446121629875)	('>10', 1.8715644359130965)	('>50', 1.1024343425530059)	('>100', 12.42081842771137)	('>500', 6.933077392897653)	('>1k', 17.85097286449699)	('>5k', 2.6446208882296487)	('>10k+', 53.990053223976965)
022024-BEL-CBC-T1-776-PSTR_S59_R1_16S	(1.0, 1.3870416112483375)	(2.0, 0.5216520131967596)	(3.0, 0.3756930889744874)	(4.0, 0.32819166393173616)	(5.0, 0.2504620593163249)	(6.0, 0.18136907743595945)	(7.0, 0.15114089786329954)	(8.0, 0.14509526194876754)	(9.0, 0.14768624876928127)	('>10', 3.927936019898779)	('>50', 1.6262760610091032)	('>100', 2.261931494308466)	('>500', 3.1273210923600434)	('>1k', 6.533605099062063)	('>5k', 0.0)	('>10k+', 79.0345983106766)
022024-BEL-CBC-T2-804-OFAV_S87_R1_16S	(1.0, 0.8873464506486816)	(2.0, 0.34580717422295115)	(3.0, 0.25283787409280795)	(4.0, 0.16993794919931224)	(5.0, 0.122073932663467)	(6.0, 0.10303867536679079)	(7.0, 0.07965841368717762)	(8.0, 0.06731308377375356)	(9.0, 0.0664164955677507)	('>10', 1.66289524884116)	('>50', 1.3901944975692115)	('>100', 4.078303875812877)	('>500', 1.4942676977890823)	('>1k', 3.5453856398294827)	('>5k', 0.36187679360746405)	('>10k+', 85.37264619732802)
