Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-557-SSID_S56_R1_16S	012024-BEL-CBC-T1-557-SSID_S56_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	190092.0	44.2 Mbp	0.0	209-251	54.0	3.13216758201292	232.89921722113502	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T1-563-PSTR_S68_R1_16S	012024-BEL-CBC-T1-563-PSTR_S68_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116061.0	26.8 Mbp	0.0	214-251	43.0	2.4271719182154214	231.5105763348584	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T2-601-OFAV_S58_R1_16S	012024-BEL-CBC-T2-601-OFAV_S58_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281440.0	65.4 Mbp	0.0	202-251	42.0	1.8405343945423536	232.85542211483798	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T2-605-SSID_S83_R1_16S	012024-BEL-CBC-T2-605-SSID_S83_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636402.0	146 Mbp	0.0	203-251	48.0	3.496689199593967	229.52213223717084	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-627-PAST_S81_R1_16S	012024-BEL-CBC-T3-627-PAST_S81_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1695273.0	388.6 Mbp	0.0	194-251	49.0	2.063974356932482	228.7459167343549	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-631-MCAV_S61_R1_16S	012024-BEL-CBC-T3-631-MCAV_S61_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537652.0	124.8 Mbp	0.0	210-251	42.0	1.1650658790444377	232.18260324522183	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-633-MCAV_S69_R1_16S	012024-BEL-CBC-T3-633-MCAV_S69_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181382.0	41.9 Mbp	0.0	210-251	38.0	2.0696651266388066	231.49633370455723	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-637-SSID_S70_R1_16S	012024-BEL-CBC-T3-637-SSID_S70_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37750.0	8.8 Mbp	0.0	217-251	55.0	7.245033112582782	234.8685298013245	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T4-661-PSTR_S71_R1_16S	012024-BEL-CBC-T4-661-PSTR_S71_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	477741.0	110.4 Mbp	0.0	220-251	54.0	2.03959886214497	231.20926192225494	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	warn
012024-BEL-CBC-T4-663-PSTR_S82_R1_16S	012024-BEL-CBC-T4-663-PSTR_S82_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60119.0	13.8 Mbp	0.0	220-251	54.0	6.428915983299789	229.94853540478053	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T1-775-OANN_S93_R1_16S	022024-BEL-CBC-T1-775-OANN_S93_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	229220.0	52.5 Mbp	0.0	213-251	48.0	2.1542622807782914	229.28770177122416	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T1-776-PSTR_S59_R1_16S	022024-BEL-CBC-T1-776-PSTR_S59_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115786.0	26.9 Mbp	0.0	205-251	44.0	2.21356640699221	232.43538942531913	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T2-804-OFAV_S87_R1_16S	022024-BEL-CBC-T2-804-OFAV_S87_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1449941.0	332.3 Mbp	0.0	206-251	45.0	1.3755732129790108	229.23528543575222	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T2-814-MCAV_S1_R1_16S	022024-BEL-CBC-T2-814-MCAV_S1_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	351097.0	81 Mbp	0.0	195-251	37.0	3.8063555085916425	230.31964528321234	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-851-PSTR_S13_R1_16S	022024-BEL-CBC-T3-851-PSTR_S13_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	648105.0	150.4 Mbp	0.0	217-251	49.0	0.9876486063215065	232.0629789926015	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T4-874-OFAV_S89_R1_16S	022024-BEL-CBC-T4-874-OFAV_S89_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	565291.0	129.6 Mbp	0.0	206-251	45.0	1.756263588134253	229.3143602144736	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T4-875-MCAV_S76_R1_16S	022024-BEL-CBC-T4-875-MCAV_S76_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216199.0	50 Mbp	0.0	209-251	37.0	1.5878889356565018	231.3429479322291	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T1-927-PSTR_S67_R1_16S	042024-BEL-CBC-T1-927-PSTR_S67_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74612.0	17.2 Mbp	0.0	221-251	44.0	3.7969763576904523	231.79609178148286	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1014-OFAV_S95_R1_16S	042024-BEL-CBC-T2-1014-OFAV_S95_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	477722.0	109.5 Mbp	0.0	198-251	42.0	1.7706950904500944	228.76801361461267	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1018-PAST_S15_R1_16S	042024-BEL-CBC-T2-1018-PAST_S15_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2383520.0	553 Mbp	0.0	206-251	52.0	0.4636000537020877	232.04686765791772	232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	warn
042024-BEL-CBC-T2-1026-OFAV_S91_R1_16S	042024-BEL-CBC-T2-1026-OFAV_S91_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	651977.0	149.4 Mbp	0.0	205-251	47.0	1.8097264167294247	229.2054152217026	229	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1144-MCAV_S3_R1_16S	042024-BEL-CBC-T2-1144-MCAV_S3_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	370035.0	84.9 Mbp	0.0	197-251	39.0	2.580836947856284	229.19358844433634	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
