Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
062024-BEL-CBC-T2-1375-SSID_S33_R1_16S	(14.0, 1.0)	(15.0, 21.0)	(16.0, 244.0)	(17.0, 1349.0)	(18.0, 3427.0)	(19.0, 4489.0)	(20.0, 4825.0)	(21.0, 5569.0)	(22.0, 5961.0)	(23.0, 7131.0)	(24.0, 9451.0)	(25.0, 11076.0)	(26.0, 11225.0)	(27.0, 12836.0)	(28.0, 16677.0)	(29.0, 21937.0)	(30.0, 23845.0)	(31.0, 27187.0)	(32.0, 32410.0)	(33.0, 42567.0)	(34.0, 65757.0)	(35.0, 164747.0)	(36.0, 401139.0)	(37.0, 217090.0)	(38.0, 486299.0)	(39.0, 7015820.0)	(40.0, 1231380.0)											
062024-BEL-CBC-T2-1396-MCAV_S49_R1_16S	(15.0, 1.0)	(16.0, 17.0)	(17.0, 99.0)	(18.0, 227.0)	(19.0, 356.0)	(20.0, 402.0)	(21.0, 406.0)	(22.0, 485.0)	(23.0, 646.0)	(24.0, 797.0)	(25.0, 863.0)	(26.0, 915.0)	(27.0, 1068.0)	(28.0, 1558.0)	(29.0, 1889.0)	(30.0, 2230.0)	(31.0, 2626.0)	(32.0, 3003.0)	(33.0, 3781.0)	(34.0, 5381.0)	(35.0, 9344.0)	(36.0, 15949.0)	(37.0, 21417.0)	(38.0, 53568.0)	(39.0, 681223.0)	(40.0, 112026.0)												
062024-BEL-CBC-T3-1415-MCAV_S50_R1_16S	(15.0, 1.0)	(16.0, 3.0)	(17.0, 26.0)	(18.0, 73.0)	(19.0, 139.0)	(20.0, 168.0)	(21.0, 154.0)	(22.0, 146.0)	(23.0, 163.0)	(24.0, 230.0)	(25.0, 250.0)	(26.0, 227.0)	(27.0, 288.0)	(28.0, 458.0)	(29.0, 582.0)	(30.0, 622.0)	(31.0, 696.0)	(32.0, 749.0)	(33.0, 930.0)	(34.0, 1363.0)	(35.0, 3722.0)	(36.0, 10723.0)	(37.0, 4544.0)	(38.0, 6397.0)	(39.0, 148719.0)	(40.0, 15009.0)												
062024-BEL-CBC-T3-1433-PSTR_S2_R1_16S	(15.0, 3.0)	(16.0, 36.0)	(17.0, 205.0)	(18.0, 389.0)	(19.0, 365.0)	(20.0, 379.0)	(21.0, 387.0)	(22.0, 494.0)	(23.0, 600.0)	(24.0, 851.0)	(25.0, 852.0)	(26.0, 928.0)	(27.0, 958.0)	(28.0, 1384.0)	(29.0, 1748.0)	(30.0, 1646.0)	(31.0, 1927.0)	(32.0, 2229.0)	(33.0, 2889.0)	(34.0, 3920.0)	(35.0, 7575.0)	(36.0, 11258.0)	(37.0, 13734.0)	(38.0, 29090.0)	(39.0, 631434.0)	(40.0, 263316.0)												
062024-BEL-CBC-T3-1439-OFAV_S41_R1_16S	(16.0, 7.0)	(17.0, 25.0)	(18.0, 40.0)	(19.0, 49.0)	(20.0, 85.0)	(21.0, 112.0)	(22.0, 98.0)	(23.0, 142.0)	(24.0, 192.0)	(25.0, 208.0)	(26.0, 265.0)	(27.0, 283.0)	(28.0, 534.0)	(29.0, 681.0)	(30.0, 694.0)	(31.0, 881.0)	(32.0, 957.0)	(33.0, 1212.0)	(34.0, 2398.0)	(35.0, 8971.0)	(36.0, 7399.0)	(37.0, 4247.0)	(38.0, 13854.0)	(39.0, 198817.0)	(40.0, 5258.0)													
062024-BEL-CBC-T3-1442-OFAV_S35_R1_16S	(15.0, 2.0)	(16.0, 17.0)	(17.0, 121.0)	(18.0, 368.0)	(19.0, 401.0)	(20.0, 398.0)	(21.0, 365.0)	(22.0, 428.0)	(23.0, 529.0)	(24.0, 674.0)	(25.0, 728.0)	(26.0, 792.0)	(27.0, 897.0)	(28.0, 1418.0)	(29.0, 1742.0)	(30.0, 1825.0)	(31.0, 2309.0)	(32.0, 2790.0)	(33.0, 3668.0)	(34.0, 6558.0)	(35.0, 21153.0)	(36.0, 45066.0)	(37.0, 15455.0)	(38.0, 37322.0)	(39.0, 441202.0)	(40.0, 44372.0)												
082024-BEL-CBC-T1-1479-PAST_S47_R1_16S	(15.0, 1.0)	(16.0, 16.0)	(17.0, 66.0)	(18.0, 128.0)	(19.0, 166.0)	(20.0, 191.0)	(21.0, 247.0)	(22.0, 264.0)	(23.0, 390.0)	(24.0, 464.0)	(25.0, 544.0)	(26.0, 628.0)	(27.0, 758.0)	(28.0, 1057.0)	(29.0, 1238.0)	(30.0, 1418.0)	(31.0, 1671.0)	(32.0, 2019.0)	(33.0, 2744.0)	(34.0, 4562.0)	(35.0, 10561.0)	(36.0, 17139.0)	(37.0, 29270.0)	(38.0, 79880.0)	(39.0, 300391.0)	(40.0, 38980.0)												
082024-BEL-CBC-T1-1482-OANN_S36_R1_16S	(15.0, 1.0)	(16.0, 4.0)	(17.0, 26.0)	(18.0, 76.0)	(19.0, 118.0)	(20.0, 125.0)	(21.0, 111.0)	(22.0, 130.0)	(23.0, 140.0)	(24.0, 183.0)	(25.0, 189.0)	(26.0, 215.0)	(27.0, 232.0)	(28.0, 366.0)	(29.0, 392.0)	(30.0, 392.0)	(31.0, 543.0)	(32.0, 576.0)	(33.0, 746.0)	(34.0, 1206.0)	(35.0, 2840.0)	(36.0, 15248.0)	(37.0, 3848.0)	(38.0, 4316.0)	(39.0, 80390.0)	(40.0, 14511.0)												
082024-BEL-CBC-T2-1510-PAST_S94_R1_16S	(16.0, 30.0)	(17.0, 139.0)	(18.0, 234.0)	(19.0, 260.0)	(20.0, 306.0)	(21.0, 349.0)	(22.0, 399.0)	(23.0, 533.0)	(24.0, 755.0)	(25.0, 689.0)	(26.0, 781.0)	(27.0, 876.0)	(28.0, 1238.0)	(29.0, 1467.0)	(30.0, 1411.0)	(31.0, 1598.0)	(32.0, 2012.0)	(33.0, 2351.0)	(34.0, 3136.0)	(35.0, 4791.0)	(36.0, 8348.0)	(37.0, 14516.0)	(38.0, 38157.0)	(39.0, 488151.0)	(40.0, 215168.0)													
082024-BEL-CBC-T3-1554-OANN_S14_R1_16S	(15.0, 1.0)	(16.0, 18.0)	(17.0, 110.0)	(18.0, 274.0)	(19.0, 351.0)	(20.0, 374.0)	(21.0, 387.0)	(22.0, 490.0)	(23.0, 607.0)	(24.0, 770.0)	(25.0, 859.0)	(26.0, 880.0)	(27.0, 987.0)	(28.0, 1366.0)	(29.0, 1898.0)	(30.0, 1716.0)	(31.0, 2025.0)	(32.0, 2199.0)	(33.0, 2727.0)	(34.0, 3600.0)	(35.0, 5951.0)	(36.0, 9379.0)	(37.0, 12155.0)	(38.0, 26538.0)	(39.0, 593339.0)	(40.0, 260526.0)												
082024-BEL-CBC-T3-1558-MCAV_S34_R1_16S	(15.0, 1.0)	(16.0, 7.0)	(17.0, 57.0)	(18.0, 162.0)	(19.0, 301.0)	(20.0, 305.0)	(21.0, 246.0)	(22.0, 257.0)	(23.0, 299.0)	(24.0, 356.0)	(25.0, 443.0)	(26.0, 404.0)	(27.0, 509.0)	(28.0, 736.0)	(29.0, 936.0)	(30.0, 915.0)	(31.0, 1213.0)	(32.0, 1218.0)	(33.0, 1451.0)	(34.0, 1986.0)	(35.0, 4010.0)	(36.0, 13761.0)	(37.0, 5710.0)	(38.0, 10917.0)	(39.0, 247392.0)	(40.0, 39611.0)												
082024-BEL-CBC-T3-1560-PSTR_S54_R1_16S	(15.0, 1.0)	(16.0, 3.0)	(17.0, 46.0)	(18.0, 110.0)	(19.0, 165.0)	(20.0, 154.0)	(21.0, 185.0)	(22.0, 223.0)	(23.0, 220.0)	(24.0, 326.0)	(25.0, 381.0)	(26.0, 394.0)	(27.0, 421.0)	(28.0, 630.0)	(29.0, 779.0)	(30.0, 771.0)	(31.0, 858.0)	(32.0, 1017.0)	(33.0, 1320.0)	(34.0, 1922.0)	(35.0, 4803.0)	(36.0, 15495.0)	(37.0, 7795.0)	(38.0, 9549.0)	(39.0, 237497.0)	(40.0, 128317.0)												
082024-BEL-CBC-T3-1561-MCAV_S38_R1_16S	(15.0, 1.0)	(16.0, 9.0)	(17.0, 86.0)	(18.0, 234.0)	(19.0, 386.0)	(20.0, 387.0)	(21.0, 330.0)	(22.0, 333.0)	(23.0, 398.0)	(24.0, 459.0)	(25.0, 569.0)	(26.0, 564.0)	(27.0, 576.0)	(28.0, 927.0)	(29.0, 1179.0)	(30.0, 1153.0)	(31.0, 1574.0)	(32.0, 1551.0)	(33.0, 1891.0)	(34.0, 2690.0)	(35.0, 5428.0)	(36.0, 24790.0)	(37.0, 9213.0)	(38.0, 13683.0)	(39.0, 292133.0)	(40.0, 62294.0)												
082024-BEL-CBC-T3-1562-OFAV_S31_R1_16S	(15.0, 10.0)	(16.0, 215.0)	(17.0, 977.0)	(18.0, 2183.0)	(19.0, 2457.0)	(20.0, 2656.0)	(21.0, 2823.0)	(22.0, 3085.0)	(23.0, 3931.0)	(24.0, 5193.0)	(25.0, 6029.0)	(26.0, 6243.0)	(27.0, 6864.0)	(28.0, 10894.0)	(29.0, 14018.0)	(30.0, 12643.0)	(31.0, 14879.0)	(32.0, 16306.0)	(33.0, 20305.0)	(34.0, 28473.0)	(35.0, 61529.0)	(36.0, 152738.0)	(37.0, 108485.0)	(38.0, 188439.0)	(39.0, 4077139.0)	(40.0, 1735355.0)												
082024-BEL-CBC-T4-1606-PSTR_S25_R1_16S	(16.0, 7.0)	(17.0, 40.0)	(18.0, 105.0)	(19.0, 151.0)	(20.0, 187.0)	(21.0, 193.0)	(22.0, 221.0)	(23.0, 259.0)	(24.0, 339.0)	(25.0, 388.0)	(26.0, 393.0)	(27.0, 467.0)	(28.0, 828.0)	(29.0, 1058.0)	(30.0, 1112.0)	(31.0, 1391.0)	(32.0, 1399.0)	(33.0, 1883.0)	(34.0, 2968.0)	(35.0, 8780.0)	(36.0, 27121.0)	(37.0, 10286.0)	(38.0, 14112.0)	(39.0, 235936.0)	(40.0, 10123.0)													
082024-BEL-CBC-T4-1607-PSTR_S90_R1_16S	(16.0, 2.0)	(17.0, 15.0)	(18.0, 31.0)	(19.0, 27.0)	(20.0, 22.0)	(21.0, 25.0)	(22.0, 23.0)	(23.0, 55.0)	(24.0, 79.0)	(25.0, 59.0)	(26.0, 67.0)	(27.0, 87.0)	(28.0, 133.0)	(29.0, 174.0)	(30.0, 170.0)	(31.0, 192.0)	(32.0, 223.0)	(33.0, 311.0)	(34.0, 394.0)	(35.0, 1306.0)	(36.0, 3027.0)	(37.0, 1879.0)	(38.0, 2106.0)	(39.0, 47201.0)	(40.0, 9381.0)													
082024-BEL-CBC-T4-1609-OFAV_S12_R1_16S	(15.0, 2.0)	(16.0, 31.0)	(17.0, 109.0)	(18.0, 257.0)	(19.0, 352.0)	(20.0, 354.0)	(21.0, 418.0)	(22.0, 424.0)	(23.0, 596.0)	(24.0, 858.0)	(25.0, 867.0)	(26.0, 919.0)	(27.0, 965.0)	(28.0, 1446.0)	(29.0, 1920.0)	(30.0, 1861.0)	(31.0, 2007.0)	(32.0, 2287.0)	(33.0, 2932.0)	(34.0, 3861.0)	(35.0, 6083.0)	(36.0, 10764.0)	(37.0, 12093.0)	(38.0, 25357.0)	(39.0, 635284.0)	(40.0, 272089.0)												
092023-BEL-CBC-T1-171-PAST_S42_R1_16S	(16.0, 13.0)	(17.0, 43.0)	(18.0, 89.0)	(19.0, 108.0)	(20.0, 131.0)	(21.0, 177.0)	(22.0, 229.0)	(23.0, 312.0)	(24.0, 387.0)	(25.0, 347.0)	(26.0, 401.0)	(27.0, 438.0)	(28.0, 737.0)	(29.0, 771.0)	(30.0, 853.0)	(31.0, 1027.0)	(32.0, 1235.0)	(33.0, 1686.0)	(34.0, 2736.0)	(35.0, 6551.0)	(36.0, 6376.0)	(37.0, 8378.0)	(38.0, 24225.0)	(39.0, 395297.0)	(40.0, 42661.0)													
092023-BEL-CBC-T1-175-PAST_S7_R1_16S	(16.0, 13.0)	(17.0, 64.0)	(18.0, 101.0)	(19.0, 146.0)	(20.0, 143.0)	(21.0, 194.0)	(22.0, 216.0)	(23.0, 250.0)	(24.0, 363.0)	(25.0, 442.0)	(26.0, 406.0)	(27.0, 479.0)	(28.0, 632.0)	(29.0, 812.0)	(30.0, 814.0)	(31.0, 964.0)	(32.0, 1125.0)	(33.0, 1378.0)	(34.0, 1964.0)	(35.0, 5068.0)	(36.0, 8079.0)	(37.0, 8306.0)	(38.0, 22123.0)	(39.0, 267093.0)	(40.0, 142721.0)													
092023-BEL-CBC-T2-174-SSID_S46_R1_16S	(15.0, 1.0)	(16.0, 23.0)	(17.0, 73.0)	(18.0, 107.0)	(19.0, 119.0)	(20.0, 165.0)	(21.0, 227.0)	(22.0, 267.0)	(23.0, 368.0)	(24.0, 455.0)	(25.0, 441.0)	(26.0, 491.0)	(27.0, 501.0)	(28.0, 813.0)	(29.0, 1073.0)	(30.0, 1060.0)	(31.0, 1117.0)	(32.0, 1393.0)	(33.0, 1861.0)	(34.0, 2853.0)	(35.0, 7246.0)	(36.0, 6926.0)	(37.0, 6762.0)	(38.0, 16039.0)	(39.0, 366794.0)	(40.0, 117611.0)												
092023-BEL-CBC-T2-181-PAST_S63_R1_16S	(16.0, 24.0)	(17.0, 129.0)	(18.0, 355.0)	(19.0, 375.0)	(20.0, 351.0)	(21.0, 402.0)	(22.0, 464.0)	(23.0, 618.0)	(24.0, 781.0)	(25.0, 802.0)	(26.0, 870.0)	(27.0, 931.0)	(28.0, 1263.0)	(29.0, 1705.0)	(30.0, 1700.0)	(31.0, 1920.0)	(32.0, 2293.0)	(33.0, 2983.0)	(34.0, 4262.0)	(35.0, 7679.0)	(36.0, 20076.0)	(37.0, 15666.0)	(38.0, 37601.0)	(39.0, 560350.0)	(40.0, 202300.0)													
092023-BEL-CBC-T2-184-MCAV_S37_R1_16S	(14.0, 1.0)	(15.0, 20.0)	(16.0, 588.0)	(17.0, 2998.0)	(18.0, 6934.0)	(19.0, 8011.0)	(20.0, 6636.0)	(21.0, 6523.0)	(22.0, 6994.0)	(23.0, 8732.0)	(24.0, 11969.0)	(25.0, 13105.0)	(26.0, 12502.0)	(27.0, 13598.0)	(28.0, 18833.0)	(29.0, 24847.0)	(30.0, 26245.0)	(31.0, 45050.0)	(32.0, 47192.0)	(33.0, 46071.0)	(34.0, 58110.0)	(35.0, 108653.0)	(36.0, 431756.0)	(37.0, 185807.0)	(38.0, 307201.0)	(39.0, 7931238.0)	(40.0, 2382712.0)											
092023-BEL-CBC-T3-171-OFAV_S78_R1_16S	(15.0, 3.0)	(16.0, 97.0)	(17.0, 322.0)	(18.0, 603.0)	(19.0, 632.0)	(20.0, 755.0)	(21.0, 864.0)	(22.0, 965.0)	(23.0, 1215.0)	(24.0, 1657.0)	(25.0, 1901.0)	(26.0, 1922.0)	(27.0, 2136.0)	(28.0, 3026.0)	(29.0, 3654.0)	(30.0, 3521.0)	(31.0, 4035.0)	(32.0, 4736.0)	(33.0, 5727.0)	(34.0, 7795.0)	(35.0, 12035.0)	(36.0, 20407.0)	(37.0, 24166.0)	(38.0, 50632.0)	(39.0, 1236994.0)	(40.0, 664758.0)												
092023-BEL-CBC-T3-173-OFAV_S84_R1_16S	(16.0, 101.0)	(17.0, 416.0)	(18.0, 563.0)	(19.0, 562.0)	(20.0, 621.0)	(21.0, 774.0)	(22.0, 978.0)	(23.0, 1327.0)	(24.0, 1710.0)	(25.0, 1799.0)	(26.0, 1741.0)	(27.0, 2059.0)	(28.0, 3226.0)	(29.0, 3931.0)	(30.0, 3564.0)	(31.0, 4262.0)	(32.0, 4845.0)	(33.0, 5760.0)	(34.0, 7181.0)	(35.0, 11047.0)	(36.0, 16078.0)	(37.0, 23134.0)	(38.0, 55265.0)	(39.0, 1379787.0)	(40.0, 580069.0)													
092023-BEL-CBC-T3-178-PAST_S74_R1_16S	(15.0, 1.0)	(16.0, 35.0)	(17.0, 155.0)	(18.0, 294.0)	(19.0, 344.0)	(20.0, 378.0)	(21.0, 518.0)	(22.0, 568.0)	(23.0, 708.0)	(24.0, 894.0)	(25.0, 1015.0)	(26.0, 1193.0)	(27.0, 1389.0)	(28.0, 1926.0)	(29.0, 2270.0)	(30.0, 2449.0)	(31.0, 2998.0)	(32.0, 3559.0)	(33.0, 4860.0)	(34.0, 6793.0)	(35.0, 12516.0)	(36.0, 28591.0)	(37.0, 54096.0)	(38.0, 168197.0)	(39.0, 462951.0)	(40.0, 32571.0)												
092023-BEL-CBC-T3-195-PSTR_S66_R1_16S	(16.0, 2.0)	(17.0, 13.0)	(18.0, 22.0)	(19.0, 29.0)	(20.0, 34.0)	(21.0, 38.0)	(22.0, 38.0)	(23.0, 45.0)	(24.0, 72.0)	(25.0, 52.0)	(26.0, 63.0)	(27.0, 83.0)	(28.0, 123.0)	(29.0, 136.0)	(30.0, 171.0)	(31.0, 171.0)	(32.0, 196.0)	(33.0, 252.0)	(34.0, 400.0)	(35.0, 1443.0)	(36.0, 5998.0)	(37.0, 1583.0)	(38.0, 1519.0)	(39.0, 33560.0)	(40.0, 9289.0)													
092023-BEL-CBC-T4-92-PSTR_S43_R1_16S	(16.0, 1.0)	(17.0, 15.0)	(18.0, 18.0)	(19.0, 23.0)	(20.0, 46.0)	(21.0, 46.0)	(22.0, 46.0)	(23.0, 66.0)	(24.0, 93.0)	(25.0, 109.0)	(26.0, 101.0)	(27.0, 130.0)	(28.0, 181.0)	(29.0, 248.0)	(30.0, 273.0)	(31.0, 304.0)	(32.0, 374.0)	(33.0, 513.0)	(34.0, 1202.0)	(35.0, 6349.0)	(36.0, 6484.0)	(37.0, 1487.0)	(38.0, 3856.0)	(39.0, 79222.0)	(40.0, 9862.0)													
092023-BEL-CBC-T4-94-MCAV_S85_R1_16S	(15.0, 3.0)	(16.0, 37.0)	(17.0, 141.0)	(18.0, 273.0)	(19.0, 281.0)	(20.0, 301.0)	(21.0, 342.0)	(22.0, 383.0)	(23.0, 537.0)	(24.0, 906.0)	(25.0, 815.0)	(26.0, 754.0)	(27.0, 724.0)	(28.0, 1172.0)	(29.0, 1508.0)	(30.0, 1451.0)	(31.0, 1755.0)	(32.0, 1978.0)	(33.0, 2479.0)	(34.0, 3288.0)	(35.0, 7555.0)	(36.0, 11753.0)	(37.0, 10264.0)	(38.0, 26437.0)	(39.0, 489843.0)	(40.0, 154192.0)												
102019-BEL-CBC-T1-29-PSTR_S22_R1_16S	(15.0, 2.0)	(16.0, 29.0)	(17.0, 84.0)	(18.0, 117.0)	(19.0, 148.0)	(20.0, 181.0)	(21.0, 198.0)	(22.0, 225.0)	(23.0, 300.0)	(24.0, 416.0)	(25.0, 444.0)	(26.0, 437.0)	(27.0, 494.0)	(28.0, 730.0)	(29.0, 785.0)	(30.0, 743.0)	(31.0, 816.0)	(32.0, 1054.0)	(33.0, 1312.0)	(34.0, 1657.0)	(35.0, 3471.0)	(36.0, 5550.0)	(37.0, 4877.0)	(38.0, 10081.0)	(39.0, 266396.0)	(40.0, 224387.0)												
112023-BEL-CBC-T1-276-MCAV_S26_R1_16S	(15.0, 1.0)	(16.0, 4.0)	(17.0, 20.0)	(18.0, 32.0)	(19.0, 86.0)	(20.0, 78.0)	(21.0, 88.0)	(22.0, 109.0)	(23.0, 126.0)	(24.0, 135.0)	(25.0, 167.0)	(26.0, 207.0)	(27.0, 280.0)	(28.0, 514.0)	(29.0, 577.0)	(30.0, 693.0)	(31.0, 858.0)	(32.0, 1138.0)	(33.0, 1853.0)	(34.0, 4075.0)	(35.0, 7989.0)	(36.0, 9287.0)	(37.0, 11000.0)	(38.0, 37088.0)	(39.0, 91577.0)	(40.0, 725.0)												
112023-BEL-CBC-T2-304-OFAV_S72_R1_16S	(15.0, 2.0)	(16.0, 25.0)	(17.0, 141.0)	(18.0, 233.0)	(19.0, 291.0)	(20.0, 350.0)	(21.0, 403.0)	(22.0, 487.0)	(23.0, 594.0)	(24.0, 802.0)	(25.0, 868.0)	(26.0, 886.0)	(27.0, 973.0)	(28.0, 1502.0)	(29.0, 1995.0)	(30.0, 1903.0)	(31.0, 2086.0)	(32.0, 2437.0)	(33.0, 3112.0)	(34.0, 4355.0)	(35.0, 8251.0)	(36.0, 18120.0)	(37.0, 19371.0)	(38.0, 41553.0)	(39.0, 570785.0)	(40.0, 138195.0)												
112023-BEL-CBC-T2-307-SSID_S62_R1_16S	(16.0, 14.0)	(17.0, 99.0)	(18.0, 217.0)	(19.0, 293.0)	(20.0, 353.0)	(21.0, 388.0)	(22.0, 486.0)	(23.0, 580.0)	(24.0, 762.0)	(25.0, 923.0)	(26.0, 919.0)	(27.0, 1084.0)	(28.0, 1463.0)	(29.0, 1961.0)	(30.0, 1964.0)	(31.0, 2152.0)	(32.0, 2573.0)	(33.0, 3260.0)	(34.0, 4691.0)	(35.0, 8241.0)	(36.0, 19229.0)	(37.0, 21864.0)	(38.0, 50585.0)	(39.0, 547124.0)	(40.0, 179357.0)													
112023-BEL-CBC-T2-310-MCAV_S55_R1_16S	(16.0, 13.0)	(17.0, 53.0)	(18.0, 128.0)	(19.0, 193.0)	(20.0, 218.0)	(21.0, 246.0)	(22.0, 268.0)	(23.0, 342.0)	(24.0, 410.0)	(25.0, 474.0)	(26.0, 483.0)	(27.0, 554.0)	(28.0, 838.0)	(29.0, 998.0)	(30.0, 1020.0)	(31.0, 1163.0)	(32.0, 1225.0)	(33.0, 1663.0)	(34.0, 2283.0)	(35.0, 4672.0)	(36.0, 13349.0)	(37.0, 9226.0)	(38.0, 15850.0)	(39.0, 309695.0)	(40.0, 101749.0)													
112023-BEL-CBC-T3-352-PAST_S30_R1_16S	(16.0, 36.0)	(17.0, 184.0)	(18.0, 409.0)	(19.0, 493.0)	(20.0, 438.0)	(21.0, 489.0)	(22.0, 496.0)	(23.0, 672.0)	(24.0, 794.0)	(25.0, 958.0)	(26.0, 985.0)	(27.0, 1053.0)	(28.0, 1345.0)	(29.0, 1766.0)	(30.0, 1876.0)	(31.0, 1949.0)	(32.0, 2391.0)	(33.0, 3035.0)	(34.0, 4016.0)	(35.0, 7825.0)	(36.0, 22027.0)	(37.0, 15818.0)	(38.0, 25203.0)	(39.0, 653806.0)	(40.0, 145425.0)													
112023-BEL-CBC-T3-355-PSTR_S10_R1_16S	(16.0, 3.0)	(17.0, 17.0)	(18.0, 37.0)	(19.0, 53.0)	(20.0, 47.0)	(21.0, 55.0)	(22.0, 70.0)	(23.0, 70.0)	(24.0, 83.0)	(25.0, 99.0)	(26.0, 112.0)	(27.0, 133.0)	(28.0, 195.0)	(29.0, 250.0)	(30.0, 223.0)	(31.0, 314.0)	(32.0, 342.0)	(33.0, 465.0)	(34.0, 755.0)	(35.0, 2475.0)	(36.0, 8745.0)	(37.0, 3171.0)	(38.0, 2559.0)	(39.0, 58170.0)	(40.0, 22597.0)													
112023-BEL-CBC-T4-399-MCAV_S9_R1_16S	(16.0, 11.0)	(17.0, 45.0)	(18.0, 128.0)	(19.0, 193.0)	(20.0, 210.0)	(21.0, 195.0)	(22.0, 193.0)	(23.0, 242.0)	(24.0, 285.0)	(25.0, 326.0)	(26.0, 352.0)	(27.0, 427.0)	(28.0, 619.0)	(29.0, 710.0)	(30.0, 810.0)	(31.0, 929.0)	(32.0, 972.0)	(33.0, 1204.0)	(34.0, 1744.0)	(35.0, 4336.0)	(36.0, 10125.0)	(37.0, 5354.0)	(38.0, 9499.0)	(39.0, 200531.0)	(40.0, 27019.0)													
112023-BEL-CBC-T4-401-MCAV_S53_R1_16S	(15.0, 1.0)	(16.0, 10.0)	(17.0, 36.0)	(18.0, 110.0)	(19.0, 177.0)	(20.0, 180.0)	(21.0, 190.0)	(22.0, 209.0)	(23.0, 220.0)	(24.0, 271.0)	(25.0, 317.0)	(26.0, 319.0)	(27.0, 367.0)	(28.0, 582.0)	(29.0, 677.0)	(30.0, 688.0)	(31.0, 880.0)	(32.0, 869.0)	(33.0, 1128.0)	(34.0, 1545.0)	(35.0, 4036.0)	(36.0, 13555.0)	(37.0, 6261.0)	(38.0, 7295.0)	(39.0, 193429.0)	(40.0, 34759.0)												
122022-BEL-CBC-T3-123-PAST_S20_R1_16S	(16.0, 3.0)	(17.0, 31.0)	(18.0, 81.0)	(19.0, 132.0)	(20.0, 99.0)	(21.0, 98.0)	(22.0, 122.0)	(23.0, 133.0)	(24.0, 188.0)	(25.0, 206.0)	(26.0, 218.0)	(27.0, 227.0)	(28.0, 319.0)	(29.0, 426.0)	(30.0, 418.0)	(31.0, 467.0)	(32.0, 593.0)	(33.0, 799.0)	(34.0, 1249.0)	(35.0, 6953.0)	(36.0, 12498.0)	(37.0, 3484.0)	(38.0, 7476.0)	(39.0, 111407.0)	(40.0, 21388.0)													
122022-BEL-CBC-T3-124-PAST_S64_R1_16S	(16.0, 7.0)	(17.0, 54.0)	(18.0, 150.0)	(19.0, 209.0)	(20.0, 193.0)	(21.0, 211.0)	(22.0, 245.0)	(23.0, 317.0)	(24.0, 387.0)	(25.0, 451.0)	(26.0, 473.0)	(27.0, 514.0)	(28.0, 623.0)	(29.0, 866.0)	(30.0, 794.0)	(31.0, 807.0)	(32.0, 962.0)	(33.0, 1254.0)	(34.0, 1847.0)	(35.0, 4639.0)	(36.0, 16251.0)	(37.0, 4783.0)	(38.0, 9633.0)	(39.0, 283695.0)	(40.0, 202936.0)													
122022-BEL-CBC-T3-126-SSID_S77_R1_16S	(16.0, 22.0)	(17.0, 73.0)	(18.0, 165.0)	(19.0, 194.0)	(20.0, 223.0)	(21.0, 214.0)	(22.0, 251.0)	(23.0, 331.0)	(24.0, 413.0)	(25.0, 455.0)	(26.0, 467.0)	(27.0, 499.0)	(28.0, 730.0)	(29.0, 908.0)	(30.0, 957.0)	(31.0, 1101.0)	(32.0, 1213.0)	(33.0, 1527.0)	(34.0, 2162.0)	(35.0, 4303.0)	(36.0, 10216.0)	(37.0, 7021.0)	(38.0, 14801.0)	(39.0, 306934.0)	(40.0, 111379.0)													
122022-BEL-CBC-T3-127-OFAV_S32_R1_16S	(15.0, 1.0)	(16.0, 13.0)	(17.0, 118.0)	(18.0, 248.0)	(19.0, 339.0)	(20.0, 344.0)	(21.0, 393.0)	(22.0, 431.0)	(23.0, 561.0)	(24.0, 771.0)	(25.0, 860.0)	(26.0, 839.0)	(27.0, 907.0)	(28.0, 1281.0)	(29.0, 1768.0)	(30.0, 2262.0)	(31.0, 2736.0)	(32.0, 2840.0)	(33.0, 3323.0)	(34.0, 4561.0)	(35.0, 10755.0)	(36.0, 26961.0)	(37.0, 12798.0)	(38.0, 26988.0)	(39.0, 524990.0)	(40.0, 257321.0)												
122022-BEL-CBC-T3-141-PSTR_S80_R1_16S	(15.0, 3.0)	(16.0, 17.0)	(17.0, 123.0)	(18.0, 238.0)	(19.0, 246.0)	(20.0, 222.0)	(21.0, 266.0)	(22.0, 317.0)	(23.0, 390.0)	(24.0, 520.0)	(25.0, 619.0)	(26.0, 597.0)	(27.0, 615.0)	(28.0, 909.0)	(29.0, 1081.0)	(30.0, 1094.0)	(31.0, 1446.0)	(32.0, 1611.0)	(33.0, 1904.0)	(34.0, 2693.0)	(35.0, 6245.0)	(36.0, 12833.0)	(37.0, 7464.0)	(38.0, 15644.0)	(39.0, 375435.0)	(40.0, 210732.0)												
