Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
022024-BEL-CBC-T3-843-MCAV_S73_R1_16S	(1.0, 3.3543802873876567)	(2.0, 1.4379935627978964)	(3.0, 0.8083437395571346)	(4.0, 0.47557908436955876)	(5.0, 0.379900452011186)	(6.0, 0.3144731519425928)	(7.0, 0.26593031640783016)	(8.0, 0.1941713421390506)	(9.0, 0.15196018080447438)	('>10', 1.1685456496121849)	('>50', 0.03869356455669487)	('>100', 3.949557662205182)	('>500', 30.380428091527868)	('>1k', 57.080042914680696)	('>5k', 0.0)	('>10k+', 0.0)
022024-BEL-CBC-T3-852-OFAV_S18_R1_16S	(1.0, 0.714647231501164)	(2.0, 0.23443668387488611)	(3.0, 0.14211964773762525)	(4.0, 0.1182305901407025)	(5.0, 0.10223706852920335)	(6.0, 0.10932280595201944)	(7.0, 0.09920032391942503)	(8.0, 0.063164287883389)	(9.0, 0.08017005769814758)	('>10', 2.0417046259742886)	('>50', 1.1509262071059825)	('>100', 1.7937038161757264)	('>500', 1.0436278975604818)	('>1k', 2.73995343658265)	('>5k', 0.0)	('>10k+', 89.56655531936431)
042024-BEL-CBC-T1-924-MCAV_S38_R1_16S	(1.0, 4.4826854596854195)	(2.0, 2.5476085348441146)	(3.0, 2.0220080164687397)	(4.0, 1.6092573584645997)	(5.0, 1.4111966787276866)	(6.0, 1.2152003257048816)	(7.0, 1.1102637177377273)	(8.0, 1.0009690867074563)	(9.0, 0.9299791847056328)	('>10', 18.592587920248178)	('>50', 8.106037582214679)	('>100', 21.7265799267164)	('>500', 10.340671250236538)	('>1k', 23.144657694491112)	('>5k', 1.7602972630468314)	('>10k+', 0.0)
042024-BEL-CBC-T1-931-SSID_S45_R1_16S	(1.0, 4.067817016642313)	(2.0, 2.418179396951007)	(3.0, 1.836072392147849)	(4.0, 1.4666688557246603)	(5.0, 1.1510796616446028)	(6.0, 0.9237824733071741)	(7.0, 0.8466181790321081)	(8.0, 0.7121735339240142)	(9.0, 0.6288069086670279)	('>10', 9.693696060242877)	('>50', 4.273770889541958)	('>100', 14.449606972879394)	('>500', 8.211338955563948)	('>1k', 23.90797929880824)	('>5k', 17.49258000550913)	('>10k+', 7.919829399413697)
042024-BEL-CBC-T2-1016-MCAV_S68_R1_16S	(1.0, 2.1250459169939724)	(2.0, 1.0907052106679118)	(3.0, 0.6989049819380764)	(4.0, 0.4654904975989316)	(5.0, 0.3353613648835753)	(6.0, 0.2494017777870314)	(7.0, 0.21028867846801577)	(8.0, 0.19214495939227466)	(9.0, 0.1773474180149284)	('>10', 4.55266065742725)	('>50', 2.408429988295814)	('>100', 2.4647944926376653)	('>500', 0.10142636401356912)	('>1k', 40.85177325110163)	('>5k', 37.29939664698122)	('>10k+', 6.77682779379812)
042024-BEL-CBC-T2-1025-SSID_S59_R1_16S	(1.0, 3.183282912932703)	(2.0, 1.8296638005739103)	(3.0, 1.3755169604541468)	(4.0, 1.0403034564352172)	(5.0, 0.8956323652270474)	(6.0, 0.7627923388666047)	(7.0, 0.6189514978231878)	(8.0, 0.5512861093958373)	(9.0, 0.5034429436519592)	('>10', 6.97679969695869)	('>50', 2.72332432165967)	('>100', 8.213976223710908)	('>500', 7.602704539911683)	('>1k', 12.700751895305453)	('>5k', 15.83878617425913)	('>10k+', 35.182784762833855)
042024-BEL-CBC-T2-1035-SSID_S4_R1_16S	(1.0, 3.15533119222102)	(2.0, 1.2926521993718616)	(3.0, 0.9115992689461825)	(4.0, 0.7612186596163741)	(5.0, 0.6897989602001526)	(6.0, 0.6041840410241851)	(7.0, 0.5340951434604396)	(8.0, 0.5749064002697092)	(9.0, 0.39924055574285355)	('>10', 7.998562733999326)	('>50', 3.024912610678354)	('>100', 7.240892879322888)	('>500', 5.5977961921323)	('>1k', 17.154479479035434)	('>5k', 12.64572280284614)	('>10k+', 37.41460688113278)
042024-BEL-CBC-T3-950-PSTR_S84_R1_16S	(1.0, 1.939831350154652)	(2.0, 1.0792400711805)	(3.0, 0.9131454857129228)	(4.0, 0.7661691015210876)	(5.0, 0.623016182694416)	(6.0, 0.5457816349246385)	(7.0, 0.46146234671573816)	(8.0, 0.4006629162563116)	(9.0, 0.3634671941657517)	('>10', 5.142017972019934)	('>50', 2.1744923294563603)	('>100', 5.783255697080873)	('>500', 2.5707554919516395)	('>1k', 3.8460101410138394)	('>5k', 22.375366485801166)	('>10k+', 51.01532559935017)
042024-BEL-CBC-T3-956-MCAV_S94_R1_16S	(1.0, 2.252182915161338)	(2.0, 0.8656205575827818)	(3.0, 0.4952870763575121)	(4.0, 0.22817613024148642)	(5.0, 0.13431002375325587)	(6.0, 0.10503345677782708)	(7.0, 0.07605871008049547)	(8.0, 0.04829124449555268)	(9.0, 0.029880207531623217)	('>10', 0.30182027809720424)	('>50', 0.016600115295346232)	('>100', 3.096374232999218)	('>500', 20.45556752775992)	('>1k', 71.89479752386644)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T3-959-SSID_S7_R1_16S	(1.0, 3.7257989223745733)	(2.0, 1.3466361787813812)	(3.0, 1.065757304828743)	(4.0, 0.9178013909438322)	(5.0, 0.8347245409015025)	(6.0, 0.6978455403555689)	(7.0, 0.7698454770589213)	(8.0, 0.5886588231570785)	(9.0, 0.7192081589378823)	('>10', 12.814406317005437)	('>50', 6.418280071841695)	('>100', 14.775811186100057)	('>500', 7.885971089256186)	('>1k', 25.237164626668463)	('>5k', 10.256430543797324)	('>10k+', 11.94565982799136)
