Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	4.191616766467066	73.28284607256062
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	3.309698099104718	74.69154935146604
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	1.5683704854571656	54.955883140807224
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	2.3153318100887215	72.6190223997659
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	3.237363749252633	80.26767235432091
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	1.0904330567344438	90.52764933172864
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	1.2091430612134146	91.34036843238549
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	39.42714361771464	56.134355416164745
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	1.0603872688366227	85.16993773584676
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	18.48496371313316	64.36293611395047
022024-BEL-CBC-T3-842-MCAV_S22_R1_16S	37.800265477603965	51.87765998881124
022024-BEL-CBC-T3-843-MCAV_S73_R1_16S	1.174525564134583	89.98469845401625
022024-BEL-CBC-T3-852-OFAV_S18_R1_16S	41.654013564125925	51.69612308938152
042024-BEL-CBC-T1-924-MCAV_S38_R1_16S	0.5971638444644506	26.554466686927654
042024-BEL-CBC-T1-931-SSID_S45_R1_16S	2.022872007603328	53.892418744903615
042024-BEL-CBC-T2-1016-MCAV_S68_R1_16S	1.059622937825044	83.49189258323432
042024-BEL-CBC-T2-1025-SSID_S59_R1_16S	2.5323667837665336	61.39264087010215
042024-BEL-CBC-T2-1035-SSID_S4_R1_16S	16.852387458523342	59.39723548095175
042024-BEL-CBC-T3-950-PSTR_S84_R1_16S	1.0066076254304992	74.77828353683859
042024-BEL-CBC-T3-956-MCAV_S94_R1_16S	1.2896780483093537	93.67897791581022
042024-BEL-CBC-T3-959-SSID_S7_R1_16S	11.94565982799136	55.97243430994787
052022-BEL-CBC-T1-53-PAST_S53_R1_16S	1.8936449276228975	54.00236805281477
052022-BEL-CBC-T1-54-MCAV_S19_R1_16S	26.385922952079955	55.6397881609293
052022-BEL-CBC-T1-55-PSTR_S67_R1_16S	1.088010192305917	74.97345753667474
052022-BEL-CBC-T1-62-MCAV_S92_R1_16S	1.2202542196290893	89.03215947766894
052022-BEL-CBC-T1-63-OFAV_S60_R1_16S	3.8000323732273413	85.29161383535816
052022-BEL-CBC-T2-10-MCAV_S3_R1_16S	4.8363005753436346	72.36759919149281
052022-BEL-CBC-T2-11-PAST_S86_R1_16S	0.9461945915807081	75.41606595244737
052022-BEL-CBC-T2-59-OFAV_S61_R1_16S	2.0919257927283894	47.73869567124248
052022-BEL-CBC-T3-16-SSID_S12_R1_16S	11.645464272975865	64.41614156065467
052022-BEL-CBC-T3-25-PAST_S69_R1_16S	0.34046165090891944	13.803197132954518
052022-BEL-CBC-T3-6-SSID_S77_R1_16S	0.2553535924556664	18.098788114334173
052022-BEL-CBC-T3-65-OFAV_S5_R1_16S	34.24625870314203	57.33797084427894
062019-BEL-CBC-T1-12-PAST_S36_R1_16S	1.9565046489855136	73.04860530434594
062019-BEL-CBC-T2-16-MCAV_S33_R1_16S	3.6620766934143534	79.75047190740835
062019-BEL-CBC-T2-2-PAST_S76_R1_16S	0.10020421848329676	0.0
