Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
042024-BEL-CBC-T3-950-PSTR_S84_R1_16S	042024-BEL-CBC-T3-950-PSTR_S84_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3527591.0	885.4 Mbp	0.0	251.0	39.0	3.672893664266956	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-956-MCAV_S94_R1_16S	042024-BEL-CBC-T3-956-MCAV_S94_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	331323.0	83.1 Mbp	0.0	251.0	34.0	3.071021329639053	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-959-SSID_S7_R1_16S	042024-BEL-CBC-T3-959-SSID_S7_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	126389.0	31.7 Mbp	0.0	251.0	51.0	6.345488927042702	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-53-PAST_S53_R1_16S	052022-BEL-CBC-T1-53-PAST_S53_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1003356.0	251.8 Mbp	0.0	251.0	48.0	4.949888175283747	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-54-MCAV_S19_R1_16S	052022-BEL-CBC-T1-54-MCAV_S19_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46828.0	11.7 Mbp	0.0	251.0	46.0	6.959511403433844	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-55-PSTR_S67_R1_16S	052022-BEL-CBC-T1-55-PSTR_S67_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216634.0	54.3 Mbp	0.0	251.0	40.0	11.138602435444113	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-62-MCAV_S92_R1_16S	052022-BEL-CBC-T1-62-MCAV_S92_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	359925.0	90.3 Mbp	0.0	251.0	35.0	4.574008473987636	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-63-OFAV_S60_R1_16S	052022-BEL-CBC-T1-63-OFAV_S60_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1334436.0	334.9 Mbp	0.0	251.0	37.0	1.7883210584846332	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T2-10-MCAV_S3_R1_16S	052022-BEL-CBC-T2-10-MCAV_S3_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	515518.0	129.3 Mbp	0.0	251.0	54.0	3.4037608774087422	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T2-11-PAST_S86_R1_16S	052022-BEL-CBC-T2-11-PAST_S86_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1255450.0	315.1 Mbp	0.0	251.0	44.0	3.2742044685172647	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
052022-BEL-CBC-T2-59-OFAV_S61_R1_16S	052022-BEL-CBC-T2-59-OFAV_S61_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1140050.0	286.1 Mbp	0.0	251.0	43.0	4.485066444454191	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T3-16-SSID_S12_R1_16S	052022-BEL-CBC-T3-16-SSID_S12_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	807456.0	202.6 Mbp	0.0	251.0	50.0	2.4567282923156184	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T3-25-PAST_S69_R1_16S	052022-BEL-CBC-T3-25-PAST_S69_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	848260.0	212.9 Mbp	0.0	251.0	52.0	8.250772168910474	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
052022-BEL-CBC-T3-6-SSID_S77_R1_16S	052022-BEL-CBC-T3-6-SSID_S77_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	622666.0	156.2 Mbp	0.0	251.0	50.0	12.388664227691892	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
052022-BEL-CBC-T3-65-OFAV_S5_R1_16S	052022-BEL-CBC-T3-65-OFAV_S5_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	640286.0	160.7 Mbp	0.0	251.0	41.0	1.7001777330755319	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T1-12-PAST_S36_R1_16S	062019-BEL-CBC-T1-12-PAST_S36_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	699615.0	175.6 Mbp	0.0	251.0	47.0	4.294790706317046	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T2-16-MCAV_S33_R1_16S	062019-BEL-CBC-T2-16-MCAV_S33_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265942.0	66.7 Mbp	0.0	251.0	38.0	5.236480134766227	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T2-2-PAST_S76_R1_16S	062019-BEL-CBC-T2-2-PAST_S76_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	787392.0	197.6 Mbp	0.0	251.0	56.0	8.365337722506707	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
062019-BEL-CBC-T3-16-MCAV_S47_R1_16S	062019-BEL-CBC-T3-16-MCAV_S47_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1193084.0	299.4 Mbp	0.0	251.0	36.0	1.6091909706273826	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T3-27-SSID_S17_R1_16S	062019-BEL-CBC-T3-27-SSID_S17_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119265.0	29.9 Mbp	0.0	251.0	45.0	4.043097304322307	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T1-1341-SSID_S56_R1_16S	062024-BEL-CBC-T1-1341-SSID_S56_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1426615.0	358 Mbp	0.0	251.0	49.0	3.6680533991301085	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T2-1369-SSID_S10_R1_16S	062024-BEL-CBC-T2-1369-SSID_S10_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	821232.0	206.1 Mbp	0.0	251.0	54.0	1.4940966742650066	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
062024-BEL-CBC-T2-1378-PAST_S54_R1_16S	062024-BEL-CBC-T2-1378-PAST_S54_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1095022.0	274.8 Mbp	0.0	251.0	45.0	3.2683361612826043	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T2-1387-OFAV_S44_R1_16S	062024-BEL-CBC-T2-1387-OFAV_S44_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265807.0	66.7 Mbp	0.0	251.0	39.0	5.876820399763738	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T3-1412-MCAV_S13_R1_16S	062024-BEL-CBC-T3-1412-MCAV_S13_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	400799.0	100.6 Mbp	0.0	251.0	36.0	1.8108827616835372	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T3-1421-OFAV_S55_R1_16S	062024-BEL-CBC-T3-1421-OFAV_S55_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1757456.0	441.1 Mbp	0.0	251.0	36.0	1.550707386130862	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T3-1445-SSID_S58_R1_16S	062024-BEL-CBC-T3-1445-SSID_S58_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1176675.0	295.3 Mbp	0.0	251.0	45.0	5.158433722140778	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T3-1448-PAST_S40_R1_16S	062024-BEL-CBC-T3-1448-PAST_S40_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	532710.0	133.7 Mbp	0.0	251.0	44.0	3.887105554616958	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T4-1464-MCAV_S43_R1_16S	062024-BEL-CBC-T4-1464-MCAV_S43_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	325867.0	81.7 Mbp	0.0	251.0	35.0	3.288458174654077	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
