Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
082024-BEL-CBC-T1-1483-MCAV_S91_R1_16S	95.4127794126855	37.0	251.0	251	36.36363636363637	0.255536
082024-BEL-CBC-T2-1507-OFAV_S28_R1_16S	99.04229612105824	36.0	251.0	251	45.45454545454545	1.182307
082024-BEL-CBC-T2-1509-SSID_S48_R1_16S	93.0902513491093	45.0	251.0	251	45.45454545454545	0.7015739999999999
082024-BEL-CBC-T2-1516-OFAV_S41_R1_16S	97.83957179945556	36.0	251.0	251	45.45454545454545	0.380943
082024-BEL-CBC-T3-1555-SSID_S65_R1_16S	81.96947668515826	47.0	251.0	251	36.36363636363637	0.24623799999999998
082024-BEL-CBC-T3-1563-SSID_S8_R1_16S	98.24401042434525	48.0	251.0	251	45.45454545454545	0.881782
082024-BEL-CBC-T4-1605-MCAV_S42_R1_16S	97.1887649506816	36.0	251.0	251	45.45454545454545	0.40441299999999997
082024-BEL-CBC-T4-1610-MCAV_S72_R1_16S	97.28651259661278	35.0	251.0	251	45.45454545454545	1.4106569999999998
092023-BEL-CBC-T1-172-PAST_S83_R1_16S	90.96841955191428	46.0	251.0	251	36.36363636363637	1.449512
092023-BEL-CBC-T1-178-OANN_S87_R1_16S	91.17355856187079	56.0	251.0	251	27.27272727272727	1.1781169999999999
092023-BEL-CBC-T2-171-OFAV_S66_R1_16S	92.80803396039654	43.0	251.0	251	36.36363636363637	0.783972
092023-BEL-CBC-T2-172-OFAV_S71_R1_16S	90.04033734174155	53.0	251.0	251	36.36363636363637	0.868674
092023-BEL-CBC-T2-176-MCAV_S51_R1_16S	95.77629418128068	38.0	251.0	251	45.45454545454545	0.792219
092023-BEL-CBC-T2-182-PAST_S32_R1_16S	98.33088874402434	47.0	251.0	251	45.45454545454545	0.73632
092023-BEL-CBC-T3-176-MCAV_S34_R1_16S	95.32555043337288	39.0	251.0	251	45.45454545454545	0.552065
092023-BEL-CBC-T3-181-PAST_S37_R1_16S	95.34567283893226	47.0	251.0	251	45.45454545454545	0.7959259999999999
092023-BEL-CBC-T4-93-PSTR_S6_R1_16S	81.04808838213032	53.0	251.0	251	45.45454545454545	0.031046999999999998
102019-BEL-CBC-T3-35-PSTR_S21_R1_16S	99.26831391372471	37.0	251.0	251	45.45454545454545	1.2062549999999999
112023-BEL-CBC-T1-273-PAST_S29_R1_16S	98.77697396645223	44.0	251.0	251	45.45454545454545	0.9859969999999999
112023-BEL-CBC-T1-277-OFAV-OANN_S23_R1_16S	98.17521636057239	38.0	251.0	251	45.45454545454545	0.280088
112023-BEL-CBC-T1-278-PSTR_S14_R1_16S	97.14610323543377	39.0	251.0	251	45.45454545454545	0.176916
112023-BEL-CBC-T2-311-MCAV_S79_R1_16S	95.75919949793408	36.0	251.0	251	45.45454545454545	0.313903
112023-BEL-CBC-T2-312-OFAV_S74_R1_16S	95.23936711050678	42.0	251.0	251	36.36363636363637	0.6589459999999999
112023-BEL-CBC-T3-348-SSID_S85_R1_16S	90.92888275868549	45.0	251.0	251	36.36363636363637	1.261169
112023-BEL-CBC-T3-350-OFAV_S93_R1_16S	96.60886069085191	36.0	251.0	251	45.45454545454545	1.3830749999999998
112023-BEL-CBC-T3-356-MCAV_S49_R1_16S	96.97740474655542	37.0	251.0	251	45.45454545454545	0.8826189999999999
112023-BEL-CBC-T3-358-SSID_S46_R1_16S	92.82110125317968	47.0	251.0	251	45.45454545454545	0.888061
112023-BEL-CBC-T4-400-OFAV_S88_R1_16S	96.6893139553964	37.0	251.0	251	45.45454545454545	0.9628819999999999
122022-BEL-CBC-T1-123-OANN_S30_R1_16S	99.05016297078578	38.0	251.0	251	45.45454545454545	1.261269
122022-BEL-CBC-T1-151-MCAV_S62_R1_16S	92.79615727991751	50.0	251.0	251	45.45454545454545	0.159054
122022-BEL-CBC-T2-100-PAST_S15_R1_16S	97.68005020327523	46.0	251.0	251	45.45454545454545	0.666092
