Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	23637.0	899597.0
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	16453.0	949187.0
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	33087.0	847743.0
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	37269.0	898731.0
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	23455.0	1268945.0
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	11264.0	443555.0
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	11826.0	737327.0
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	23094.0	430566.0
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	18853.0	1434584.0
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	31923.0	412924.0
042024-BEL-CBC-T1-938-SSID_S17_R2_16S	16345.0	291001.0
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	35714.0	576715.0
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	23538.0	528055.0
042024-BEL-CBC-T3-1011-SSID_S10_R2_16S	32633.0	559703.0
042024-BEL-CBC-T3-1012-SSID_S27_R2_16S	15480.0	429369.0
042024-BEL-CBC-T3-1057-SSID_S5_R2_16S	20983.0	382862.0
042024-BEL-CBC-T3-942-PAST_S34_R2_16S	49793.0	989461.0
042024-BEL-CBC-T3-953-MCAV_S41_R2_16S	7169.0	437670.0
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	21367.0	641956.0
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	30274.0	897790.0
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	26590.0	414815.0
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	21196.0	1105239.0
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	17574.0	507413.0
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	8070.0	551967.0
052022-BEL-CBC-T2-60-PAST_S20_R2_16S	19075.0	420516.0
052022-BEL-CBC-T2-62-PAST_S12_R2_16S	25594.0	714226.0
052022-BEL-CBC-T2-72-OFAV_S13_R2_16S	23304.0	605318.0
052022-BEL-CBC-T3-40-MCAV_S1_R2_16S	17437.0	429846.0
052022-BEL-CBC-T3-48-MCAV_S7_R2_16S	19872.0	718347.0
052022-BEL-CBC-T3-49-MCAV_S2_R2_16S	8191.0	408984.0
052022-BEL-CBC-T3-51-MCAV_S33_R2_16S	13473.0	530211.0
052022-BEL-CBC-T3-55-PAST_S88_R2_16S	25930.0	1118759.0
062019-BEL-CBC-T1-16-MCAV_S78_R2_16S	10991.0	583596.0
062019-BEL-CBC-T1-17-MCAV_S65_R2_16S	13263.0	783878.0
062019-BEL-CBC-T2-25-PAST_S79_R2_16S	10643.0	380380.0
062019-BEL-CBC-T2-26-SSID_S44_R2_16S	22655.0	631763.0
062019-BEL-CBC-T3-12-PAST_S36_R2_16S	24454.0	613676.0
062019-BEL-CBC-T3-15-MCAV_S60_R2_16S	22267.0	943881.0
062019-BEL-CBC-T3-23-PAST_S26_R2_16S	5874.0	441899.0
062019-BEL-CBC-T3-28-SSID_S95_R2_16S	44122.0	1188657.0
062019-BEL-CBC-T3-31-PAST_S42_R2_16S	24423.0	886060.0
062019-BEL-CBC-T3-4-PAST_S22_R2_16S	16617.0	617884.0
062019-BEL-CBC-T3-7-PAST_S58_R2_16S	23006.0	715865.0
062019-BEL-CBC-T3-8-MCAV_S77_R2_16S	6553.0	249554.0
062019-BEL-CBC-T3-9-MCAV_S80_R2_16S	11236.0	650124.0
062024-BEL-CBC-T1-1344-SSID_S39_R2_16S	52089.0	813509.0
062024-BEL-CBC-T2-1381-SSID_S30_R2_16S	18049.0	462301.0
062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S	16545.0	612447.0
062024-BEL-CBC-T4-1461-OFAV_S72_R2_16S	27264.0	1242781.0
082024-BEL-CBC-T2-1513-PAST_S53_R2_16S	24583.0	987467.0
082024-BEL-CBC-T2-1514-MCAV_S71_R2_16S	16935.0	912561.0
082024-BEL-CBC-T2-1515-MCAV_S25_R2_16S	13848.0	521859.0
092023-BEL-CBC-T1-177-PSTR_S50_R2_16S	34394.0	590288.0
092023-BEL-CBC-T1-190-OANN_S81_R2_16S	9973.0	580718.0
092023-BEL-CBC-T1-196-SSID_S82_R2_16S	21544.0	590398.0
092023-BEL-CBC-T2-194-OANN_S4_R2_16S	9585.0	609533.0
092023-BEL-CBC-T3-184-PAST_S37_R2_16S	38108.0	1027214.0
092023-BEL-CBC-T3-198-SSID_S76_R2_16S	20640.0	430989.0
092023-BEL-CBC-T3-220-SSID_S19_R2_16S	18298.0	430814.0
092023-BEL-CBC-T3-264-SSID_S59_R2_16S	31914.0	629463.0
092023-BEL-CBC-T3-90-SSID_S67_R2_16S	40169.0	873599.0
102019-BEL-CBC-T2-35-PSTR_S46_R2_16S	16077.0	770372.0
112023-BEL-CBC-T2-309-PAST_S3_R2_16S	11422.0	352487.0
112023-BEL-CBC-T3-349-PAST_S73_R2_16S	13988.0	476798.0
112023-BEL-CBC-T3-351-OFAV_S61_R2_16S	18149.0	948003.0
122022-BEL-CBC-T1-122-PSTR_S45_R2_16S	24912.0	652546.0
122022-BEL-CBC-T1-132-PSTR_S11_R2_16S	8139.0	380674.0
122022-BEL-CBC-T1-133-PSTR_S32_R2_16S	32070.0	746766.0
122022-BEL-CBC-T1-134-PAST_S6_R2_16S	16414.0	710876.0
122022-BEL-CBC-T1-144-MCAV_S84_R2_16S	17082.0	688799.0
122022-BEL-CBC-T1-152-PAST_S15_R2_16S	27823.0	438525.0
122022-BEL-CBC-T1-155-PAST_S28_R2_16S	26775.0	471823.0
122022-BEL-CBC-T2-118-OANN_S24_R2_16S	14182.0	867418.0
122022-BEL-CBC-T2-85-MCAV_S47_R2_16S	10150.0	94394.0
122022-BEL-CBC-T2-86-MCAV_S8_R2_16S	7877.0	262775.0
122022-BEL-CBC-T2-96-SSID_S49_R2_16S	19934.0	420131.0
122022-BEL-CBC-T3-115-PAST_S90_R2_16S	11480.0	510943.0
122022-BEL-CBC-T3-119-MCAV_S74_R2_16S	6284.0	265095.0
122022-BEL-CBC-T3-120-SSID_S85_R2_16S	31009.0	666414.0
122022-BEL-CBC-T3-122-PAST_S51_R2_16S	22494.0	480771.0
122022-BEL-CBC-T3-128-MCAV_S68_R2_16S	19102.0	1021895.0
122022-BEL-CBC-T3-129-PAST_S16_R2_16S	21272.0	509309.0
122022-BEL-CBC-T3-132-MCAV_S55_R2_16S	18976.0	832657.0
122022-BEL-CBC-T3-133-MCAV_S57_R2_16S	17930.0	558877.0
122022-BEL-CBC-T3-145-MCAV_S93_R2_16S	9714.0	540768.0
122022-BEL-CBC-T3-147-OFAV_S92_R2_16S	39285.0	1284038.0
122022-BEL-CBC-T4-10-OFAV_S64_R2_16S	27770.0	1469631.0
122022-BEL-CBC-T4-36-PSTR_S86_R2_16S	11956.0	770511.0
122022-BEL-CBC-T4-38-MCAV_S66_R2_16S	15190.0	972467.0
122022-BEL-CBC-T4-5-MCAV_S21_R2_16S	12173.0	483745.0
122022-BEL-CBC-T4-6-MCAV_S87_R2_16S	13206.0	824471.0
122022-BEL-CBC-T4-9-OFAV_S9_R2_16S	7930.0	444043.0
122023-BEL-CBC-T1-511-OANN_S14_R2_16S	11842.0	557563.0
122023-BEL-CBC-T3-479-PAST_S29_R2_16S	26706.0	517414.0
122023-BEL-CBC-T3-530-PSTR_S31_R2_16S	10354.0	442070.0
Negative_S96_R2_16S	2554.0	25178.0
Undetermined_S0_R2_16S	514784.0	2447518.0
