Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	052022-BEL-CBC-T1-10-PSTR_S38_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663323.0	153.1 Mbp	0.0	196-251	42.0	3.221055202367474	230.36400893682264	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	052022-BEL-CBC-T1-17-SSID_S69_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	928064.0	214.8 Mbp	0.0	202-251	44.0	3.262059513137025	231.9343946107165	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	052022-BEL-CBC-T1-34-PAST_S40_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	441405.0	102.4 Mbp	0.0	188-251	50.0	6.02394626250269	231.55196814716643	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	052022-BEL-CBC-T1-4-PSTR_S52_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1126435.0	259.5 Mbp	0.0	206-251	37.0	1.8816886904259902	230.39483503264725	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	052022-BEL-CBC-T1-61-PAST_S89_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	524987.0	121.7 Mbp	0.0	212-251	49.0	3.3475114621885877	231.86338328377656	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	052022-BEL-CBC-T2-4-MCAV_S83_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	560037.0	130 Mbp	0.0	214-251	40.0	1.4409762212139556	232.13619278726227	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T2-60-PAST_S20_R2_16S	052022-BEL-CBC-T2-60-PAST_S20_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	439591.0	102.6 Mbp	0.0	207-251	56.0	4.339260812891984	233.49021931750195	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T2-62-PAST_S12_R2_16S	052022-BEL-CBC-T2-62-PAST_S12_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	739820.0	172 Mbp	0.0	207-251	48.0	3.459490146251791	232.58549106539428	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T2-72-OFAV_S13_R2_16S	052022-BEL-CBC-T2-72-OFAV_S13_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628622.0	146.2 Mbp	0.0	206-251	51.0	3.7071562878804754	232.69636124729965	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-40-MCAV_S1_R2_16S	052022-BEL-CBC-T3-40-MCAV_S1_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	447283.0	104 Mbp	0.0	204-251	53.0	3.8984267231260743	232.58563370394134	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
