Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	(1.0, 3.7733353580578317)	(2.0, 1.3506871816977968)	(3.0, 0.9365983648716831)	(4.0, 0.7367384627442528)	(5.0, 0.6776295701215977)	(6.0, 0.5682291334995567)	(7.0, 0.5383481187207007)	(8.0, 0.48854642742260734)	(9.0, 0.4129458271897641)	('>10', 7.839439347254946)	('>50', 4.164237813689423)	('>100', 6.910841909837711)	('>500', 2.7111714174214483)	('>1k', 8.207808578627073)	('>5k', 4.8278249397072965)	('>10k+', 55.855617549136305)
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	(1.0, 3.087965220733403)	(2.0, 0.8908742496732193)	(3.0, 0.49873729362047736)	(4.0, 0.3386554941777724)	(5.0, 0.27193963665238685)	(6.0, 0.2284292947880049)	(7.0, 0.19543395220751533)	(8.0, 0.18999515947446757)	(9.0, 0.17295360891091802)	('>10', 4.879503546999327)	('>50', 3.959803695840955)	('>100', 6.291595433589621)	('>500', 2.0477054639924726)	('>1k', 9.14442351516426)	('>5k', 1.3257963752259365)	('>10k+', 66.47618805894926)
042024-BEL-CBC-T3-1011-SSID_S10_R2_16S	(1.0, 3.83937494935307)	(2.0, 1.0848572431862997)	(3.0, 0.6665136003889685)	(4.0, 0.5712973717619729)	(5.0, 0.4853664136571135)	(6.0, 0.4173307041949164)	(7.0, 0.3994354555522541)	(8.0, 0.37816374490154236)	(9.0, 0.33882796250776587)	('>10', 6.288154020690959)	('>50', 4.245732152021826)	('>100', 14.08221009697199)	('>500', 7.641102347316388)	('>1k', 17.552368925744847)	('>5k', 8.564733529618325)	('>10k+', 33.444531482131765)
042024-BEL-CBC-T3-1012-SSID_S27_R2_16S	(1.0, 2.521304982140007)	(2.0, 0.5921110309340922)	(3.0, 0.35675026806849064)	(4.0, 0.30752007984731894)	(5.0, 0.25289480250601887)	(6.0, 0.21040847568500773)	(7.0, 0.15263606302363272)	(8.0, 0.16724776272398048)	(9.0, 0.12341266362293722)	('>10', 5.069585409880656)	('>50', 4.716207072512246)	('>100', 7.844234785286693)	('>500', 4.1459011934386725)	('>1k', 9.373068164703078)	('>5k', 14.171775141677287)	('>10k+', 49.99494210394988)
042024-BEL-CBC-T3-1057-SSID_S5_R2_16S	(1.0, 3.708105832683332)	(2.0, 0.8978692320073296)	(3.0, 0.5846302418006909)	(4.0, 0.5021728633510382)	(5.0, 0.39371541061545884)	(6.0, 0.34617241763547896)	(7.0, 0.30506753828820465)	(8.0, 0.2793150837573822)	(9.0, 0.2629721799205141)	('>10', 7.354059106835543)	('>50', 4.874642498978568)	('>100', 10.859364360088648)	('>500', 3.27823793782268)	('>1k', 11.592071215441567)	('>5k', 5.700206762495512)	('>10k+', 49.061397318278054)
042024-BEL-CBC-T3-942-PAST_S34_R2_16S	(1.0, 3.4477615674320234)	(2.0, 0.955300629105108)	(3.0, 0.5975440075284771)	(4.0, 0.4410856248809242)	(5.0, 0.3829670128765441)	(6.0, 0.315226114116472)	(7.0, 0.2822216705444482)	(8.0, 0.25710750211209193)	(9.0, 0.27279182952387)	('>10', 5.171209348244029)	('>50', 2.7951780796609875)	('>100', 6.590015530370824)	('>500', 3.6400148568107507)	('>1k', 8.558639177717863)	('>5k', 6.335313599947654)	('>10k+', 59.95762344912793)
042024-BEL-CBC-T3-953-MCAV_S41_R2_16S	(1.0, 1.2615800323263024)	(2.0, 0.3030309842437376)	(3.0, 0.18006514716560373)	(4.0, 0.15286429472236024)	(5.0, 0.1034081993710084)	(6.0, 0.0890209716324333)	(7.0, 0.07710654866142581)	(8.0, 0.04675849015036901)	(9.0, 0.048556893617690895)	('>10', 0.5680706952403004)	('>50', 0.5451410510319464)	('>100', 0.8985273323606968)	('>500', 1.3575698173946078)	('>1k', 2.0522031566476864)	('>5k', 1.2854088782683173)	('>10k+', 91.03068750716551)
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	(1.0, 2.39928360693056)	(2.0, 0.5611142686142347)	(3.0, 0.33558311712393507)	(4.0, 0.2406067632209346)	(5.0, 0.19372161073865976)	(6.0, 0.144725872614096)	(7.0, 0.13191160264305626)	(8.0, 0.1495500683678992)	(9.0, 0.09904676907027195)	('>10', 3.9874993027529575)	('>50', 3.4771898456709622)	('>100', 4.7652501119364175)	('>500', 2.1674206985133937)	('>1k', 8.576214001323638)	('>5k', 2.913814235297133)	('>10k+', 69.85706812518185)
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	(1.0, 2.4806478863526653)	(2.0, 0.5508240810978554)	(3.0, 0.3274558651127509)	(4.0, 0.26937797393283225)	(5.0, 0.20095596855389283)	(6.0, 0.194598648369078)	(7.0, 0.17800496517481554)	(8.0, 0.17843596993310806)	(9.0, 0.1493431487483622)	('>10', 2.8927961864698983)	('>50', 1.1803065305840976)	('>100', 4.293669402110199)	('>500', 3.7257128818702157)	('>1k', 8.192969450382732)	('>5k', 1.4630456520239983)	('>10k+', 73.72185538928349)
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	(1.0, 4.267962528743444)	(2.0, 1.116888118621221)	(3.0, 0.7020763244639276)	(4.0, 0.4630667980652688)	(5.0, 0.4338419365435371)	(6.0, 0.4268189078057566)	(7.0, 0.37584531212831757)	(8.0, 0.31716903977073213)	(9.0, 0.30176368641043944)	('>10', 8.44553188115223)	('>50', 6.981343663982058)	('>100', 11.497604241003161)	('>500', 3.0006456655452474)	('>1k', 13.209410858508624)	('>5k', 8.751826553845108)	('>10k+', 39.708204483410924)
