Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
122022-BEL-CBC-T1-144-MCAV_S84_R2_16S	73.02831497093703	11.777622573776654
122022-BEL-CBC-T1-152-PAST_S15_R2_16S	7.226148712978291	57.254024891282945
122022-BEL-CBC-T1-155-PAST_S28_R2_16S	25.668775245789195	44.51622349066788
122022-BEL-CBC-T2-118-OANN_S24_R2_16S	72.4176497277677	21.295939201451887
122022-BEL-CBC-T2-85-MCAV_S47_R2_16S	22.761707988980717	31.533134374043463
122022-BEL-CBC-T2-86-MCAV_S8_R2_16S	32.26726571390568	57.24509702496194
122022-BEL-CBC-T2-96-SSID_S49_R2_16S	52.32408848692807	20.876461431833967
122022-BEL-CBC-T3-115-PAST_S90_R2_16S	66.39906742237612	25.094224412018633
122022-BEL-CBC-T3-119-MCAV_S74_R2_16S	67.19200822465999	24.697931674890114
122022-BEL-CBC-T3-120-SSID_S85_R2_16S	35.46527717038297	35.91392884949307
122022-BEL-CBC-T3-122-PAST_S51_R2_16S	40.25255084299524	30.787954656095742
122022-BEL-CBC-T3-128-MCAV_S68_R2_16S	75.24786334638812	15.381888708613005
122022-BEL-CBC-T3-129-PAST_S16_R2_16S	41.414788693903475	34.260932826467595
122022-BEL-CBC-T3-132-MCAV_S55_R2_16S	79.91705347256388	7.520258139362852
122022-BEL-CBC-T3-133-MCAV_S57_R2_16S	65.00458558928723	14.567437635118836
122022-BEL-CBC-T3-145-MCAV_S93_R2_16S	74.73432373810589	17.215095134809104
122022-BEL-CBC-T3-147-OFAV_S92_R2_16S	51.38972117918301	29.55672953617517
122022-BEL-CBC-T4-10-OFAV_S64_R2_16S	62.297808001998135	26.583393493125783
122022-BEL-CBC-T4-36-PSTR_S86_R2_16S	85.38098092315714	6.900227102229252
122022-BEL-CBC-T4-38-MCAV_S66_R2_16S	79.03452311885604	13.363141252479366
122022-BEL-CBC-T4-5-MCAV_S21_R2_16S	54.228723296996684	37.06661181888938
122022-BEL-CBC-T4-6-MCAV_S87_R2_16S	83.87636284629994	8.487758408073745
122022-BEL-CBC-T4-9-OFAV_S9_R2_16S	73.43005002511211	20.57822038042093
122023-BEL-CBC-T1-511-OANN_S14_R2_16S	76.11524310464432	14.739420974526041
122023-BEL-CBC-T3-479-PAST_S29_R2_16S	29.55873704329927	48.922664118209184
122023-BEL-CBC-T3-530-PSTR_S31_R2_16S	56.75759906636253	34.32267076901317
Negative_S96_R2_16S	22.91937112361171	61.40920236549826
Undetermined_S0_R2_16S	6.3474959676629865	26.973178291747438
