Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S	97.36960088522588	40.0	231.13282521876272	228	45.45454545454545	0.628992
062024-BEL-CBC-T4-1461-OFAV_S72_R2_16S	97.85330441047364	36.0	230.76386309146525	230	45.45454545454545	1.2700449999999999
082024-BEL-CBC-T2-1513-PAST_S53_R2_16S	97.57096981374438	43.0	229.02661232152562	228	45.45454545454545	1.01205
082024-BEL-CBC-T2-1514-MCAV_S71_R2_16S	98.17804487593277	34.0	230.67595987502904	230	45.45454545454545	0.929496
082024-BEL-CBC-T2-1515-MCAV_S25_R2_16S	97.41500484406588	39.0	231.4463559371074	231	45.45454545454545	0.5357069999999999
092023-BEL-CBC-T1-177-PSTR_S50_R2_16S	94.49415862790988	53.0	229.3885641014148	229	45.45454545454545	0.624682
092023-BEL-CBC-T1-190-OANN_S81_R2_16S	98.31163840315834	40.0	231.40329884829802	230	45.45454545454545	0.590691
092023-BEL-CBC-T1-196-SSID_S82_R2_16S	96.47940491092294	49.0	231.39080174264882	230	45.45454545454545	0.611942
092023-BEL-CBC-T2-194-OANN_S4_R2_16S	98.45182986118962	40.0	232.352965024438	231	45.45454545454545	0.619118
092023-BEL-CBC-T3-184-PAST_S37_R2_16S	96.42286557491538	44.0	229.5158365264211	229	45.45454545454545	1.0653219999999999
092023-BEL-CBC-T3-198-SSID_S76_R2_16S	95.42987717794915	52.0	232.60987004820328	230	45.45454545454545	0.451629
092023-BEL-CBC-T3-220-SSID_S19_R2_16S	95.92573790056824	50.0	234.29089180427155	231	45.45454545454545	0.44911199999999996
092023-BEL-CBC-T3-264-SSID_S59_R2_16S	95.17461296658335	50.0	231.90940870335677	229	45.45454545454545	0.661377
092023-BEL-CBC-T3-90-SSID_S67_R2_16S	95.60413584192048	53.0	231.69894765410913	230	45.45454545454545	0.9137679999999999
102019-BEL-CBC-T2-35-PSTR_S46_R2_16S	97.95574792516743	37.0	230.06692995985753	229	45.45454545454545	0.786449
112023-BEL-CBC-T2-309-PAST_S3_R2_16S	96.86130323789739	44.0	231.60399715313443	231	45.45454545454545	0.363909
112023-BEL-CBC-T3-349-PAST_S73_R2_16S	97.14987795087879	46.0	230.90826551694627	230	45.45454545454545	0.490786
112023-BEL-CBC-T3-351-OFAV_S61_R2_16S	98.12151711117919	36.0	229.52566573375617	229	45.45454545454545	0.966152
122022-BEL-CBC-T1-122-PSTR_S45_R2_16S	96.32272406555093	42.0	230.07453893820724	228	45.45454545454545	0.677458
122022-BEL-CBC-T1-132-PSTR_S11_R2_16S	97.90670579430214	39.0	232.25195145224055	231	45.45454545454545	0.38881299999999996
122022-BEL-CBC-T1-133-PSTR_S32_R2_16S	95.88231668798052	43.0	230.59325968496577	229	45.45454545454545	0.778836
122022-BEL-CBC-T1-134-PAST_S6_R2_16S	97.74312860069574	49.0	233.71467090156608	231	45.45454545454545	0.72729
122022-BEL-CBC-T1-144-MCAV_S84_R2_16S	97.5800453617536	39.0	231.9050810264053	230	45.45454545454545	0.705881
122022-BEL-CBC-T1-152-PAST_S15_R2_16S	94.03385454639024	52.0	232.90845891909046	230	45.45454545454545	0.466348
122022-BEL-CBC-T1-155-PAST_S28_R2_16S	94.62994235837287	51.0	233.67330394425971	231	45.45454545454545	0.498598
122022-BEL-CBC-T2-118-OANN_S24_R2_16S	98.39133393829401	43.0	234.54745689655172	231	45.45454545454545	0.8815999999999999
122022-BEL-CBC-T2-85-MCAV_S47_R2_16S	90.29116926844199	65.0	242.19375573921027	250	45.45454545454545	0.104544
122022-BEL-CBC-T2-86-MCAV_S8_R2_16S	97.08962061983654	67.0	243.50324401814876	251	45.45454545454545	0.270652
122022-BEL-CBC-T2-96-SSID_S49_R2_16S	95.47021462738459	47.0	231.87652278640655	229	45.45454545454545	0.440065
122022-BEL-CBC-T3-115-PAST_S90_R2_16S	97.80254697821498	47.0	232.66608859104596	230	45.45454545454545	0.522423
122022-BEL-CBC-T3-119-MCAV_S74_R2_16S	97.68441920708676	45.0	234.5022496213782	230	45.45454545454545	0.271379
122022-BEL-CBC-T3-120-SSID_S85_R2_16S	95.5537743951662	49.0	232.3282197461225	230	45.45454545454545	0.697423
122022-BEL-CBC-T3-122-PAST_S51_R2_16S	95.53038657566094	48.0	231.06740583986567	229	45.45454545454545	0.503265
122022-BEL-CBC-T3-128-MCAV_S68_R2_16S	98.16502833341498	40.0	232.73159336674362	230	45.45454545454545	1.040997
122022-BEL-CBC-T3-129-PAST_S16_R2_16S	95.99081007423938	53.0	234.51055446764963	230	45.45454545454545	0.530581
122022-BEL-CBC-T3-132-MCAV_S55_R2_16S	97.7718101576618	38.0	230.50049786703897	228	45.45454545454545	0.851633
122022-BEL-CBC-T3-133-MCAV_S57_R2_16S	96.89150790472377	41.0	231.43517849124578	229	45.45454545454545	0.576807
122022-BEL-CBC-T3-145-MCAV_S93_R2_16S	98.23536464407556	38.0	231.14460236665323	230	45.45454545454545	0.550482
122022-BEL-CBC-T3-147-OFAV_S92_R2_16S	97.03133702051578	41.0	230.9605239990539	230	45.45454545454545	1.323323
122022-BEL-CBC-T4-10-OFAV_S64_R2_16S	98.145453355514	42.0	232.6229463583903	230	45.45454545454545	1.497401
122022-BEL-CBC-T4-36-PSTR_S86_R2_16S	98.4720122382158	36.0	230.68046959168885	230	45.45454545454545	0.7824669999999999
122022-BEL-CBC-T4-38-MCAV_S66_R2_16S	98.46201667177978	39.0	232.47898460700426	230	45.45454545454545	0.987657
122022-BEL-CBC-T4-5-MCAV_S21_R2_16S	97.54536032166608	43.0	232.95630325981313	231	45.45454545454545	0.49591799999999997
122022-BEL-CBC-T4-6-MCAV_S87_R2_16S	98.4234973623485	36.0	231.32470689776608	230	45.45454545454545	0.837677
122022-BEL-CBC-T4-9-OFAV_S9_R2_16S	98.24547041526817	40.0	232.2941337203771	230	45.45454545454545	0.45197299999999996
122023-BEL-CBC-T1-511-OANN_S14_R2_16S	97.92028520999992	40.0	232.74767169238064	231	45.45454545454545	0.5694049999999999
122023-BEL-CBC-T3-479-PAST_S29_R2_16S	95.09189149452327	48.0	232.37270822612658	230	45.45454545454545	0.5441199999999999
122023-BEL-CBC-T3-530-PSTR_S31_R2_16S	97.71143882729476	46.0	234.3695206266688	231	45.45454545454545	0.452424
Negative_S96_R2_16S	90.79042261647194	55.0	236.81721476994088	230	45.45454545454545	0.027732
Undetermined_S0_R2_16S	82.62216765441569	46.0	242.21587704427165	248	45.45454545454545	2.9623019999999998
