.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
122022_BEL_CBC_T2_101_OFAV_S50_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T2_102_OFAV_S27_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T2_116_PSTR_S32_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T2_117_PSTR_S56_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T2_119_OANN_S5_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T2_89_PAST_S17_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T3_121_OFAV_S73_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_12_PSTR_S86_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_13_PSTR_S49_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_14_MCAV_S38_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_15_MCAV_S2_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_35_PSTR_S87_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_3_MCAV_S84_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122022_BEL_CBC_T4_4_PSTR_S41_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023_BEL_CBC_T2_517_SSID_S59_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023_BEL_CBC_T2_519_PAST_S90_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
122023_BEL_CBC_T4_538_OFAV_S45_R1_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Negative_S96_R1_16S	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Undetermined_S0_R1_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
