Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
102019_BEL_CBC_T1_31_PSTR_S22_R1_16S	81.15945911105233	9.885102115641189
102019_BEL_CBC_T2_33_PSTR_S72_R1_16S	91.34785712349438	2.714617462884817
102019_BEL_CBC_T3_36_PSTR_S83_R1_16S	88.33071903608534	6.568443374091871
112023_BEL_CBC_T2_308_PAST_S62_R1_16S	80.7834639484471	11.657864519817394
112023_BEL_CBC_T3_347_MCAV_S81_R1_16S	74.44200721268275	14.604730514522458
112023_BEL_CBC_T4_396_MCAV_S1_R1_16S	61.49447781767439	30.347327399894475
122022_BEL_CBC_T1_120_OANN_S35_R1_16S	74.18468407549182	15.55396794596642
122022_BEL_CBC_T1_136_OANN_S66_R1_16S	81.60306690310368	5.837612025992129
122022_BEL_CBC_T1_139_PAST_S18_R1_16S	62.678877770313846	25.165328958461004
122022_BEL_CBC_T2_101_OFAV_S50_R1_16S	50.77485351114219	38.51661606471023
122022_BEL_CBC_T2_102_OFAV_S27_R1_16S	85.60136224039894	6.353878432207253
122022_BEL_CBC_T2_116_PSTR_S32_R1_16S	42.92571538018334	47.05597917638068
122022_BEL_CBC_T2_117_PSTR_S56_R1_16S	70.61654949094454	22.60999617343701
122022_BEL_CBC_T2_119_OANN_S5_R1_16S	87.15213945842166	2.9049208672058313
122022_BEL_CBC_T2_89_PAST_S17_R1_16S	69.31718848577444	23.449250906437413
122022_BEL_CBC_T3_121_OFAV_S73_R1_16S	83.25187772330953	9.383804719736958
122022_BEL_CBC_T4_12_PSTR_S86_R1_16S	35.04879365748301	52.346836643312436
122022_BEL_CBC_T4_13_PSTR_S49_R1_16S	47.63686609644975	42.44122882886073
122022_BEL_CBC_T4_14_MCAV_S38_R1_16S	49.80129881655832	42.74129840020071
122022_BEL_CBC_T4_15_MCAV_S2_R1_16S	67.37889694320441	18.416440930174943
122022_BEL_CBC_T4_35_PSTR_S87_R1_16S	29.956419584659695	58.060608357334175
122022_BEL_CBC_T4_3_MCAV_S84_R1_16S	49.74179631324356	39.69986739629831
122022_BEL_CBC_T4_4_PSTR_S41_R1_16S	83.79157960312001	9.52632022945842
122023_BEL_CBC_T2_517_SSID_S59_R1_16S	30.099556680429462	56.24692139187128
122023_BEL_CBC_T2_519_PAST_S90_R1_16S	85.77564865034061	8.55452988145305
122023_BEL_CBC_T4_538_OFAV_S45_R1_16S	72.81775690151606	19.612689508054657
Negative_S96_R1_16S	43.52114316778628	43.35028928668501
Undetermined_S0_R1_16S	36.277432446553235	21.879306604685972
