Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024_BEL_CBC_T1_565_PAST_S53_R1_16S	012024_BEL_CBC_T1_565_PAST_S53_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1214900.0	282.1 Mbp	0.0	194-251	44.0	2.407194007737262	232.75798008066508	232	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S	012024_BEL_CBC_T2_585_OFAV_S43_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	627001.0	145.7 Mbp	0.0	193-251	33.0	1.5693754874394141	232.9395399688358	232	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S	012024_BEL_CBC_T2_593_MCAV_S6_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418541.0	96 Mbp	0.0	200-251	33.0	2.211252899954843	228.8905184916173	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_625_SSID_S54_R1_16S	012024_BEL_CBC_T3_625_SSID_S54_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2551015.0	593.1 Mbp	0.0	201-251	47.0	1.4261774234961377	232.96530185043991	232	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_642_PSTR_S40_R1_16S	012024_BEL_CBC_T3_642_PSTR_S40_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	849342.0	197.3 Mbp	0.0	192-251	39.0	1.8221164148246525	232.82247080681282	232	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_644_PSTR_S16_R1_16S	012024_BEL_CBC_T3_644_PSTR_S16_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1027742.0	235.8 Mbp	0.0	187-251	35.0	2.2487161174691703	228.9671016655931	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T1_771_PAST_S10_R1_16S	022024_BEL_CBC_T1_771_PAST_S10_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1448573.0	332.3 Mbp	0.0	104-251	41.0	2.133478947902522	227.49964896487785	227	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T2_808_PAST_S15_R1_16S	022024_BEL_CBC_T2_808_PAST_S15_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	449696.0	103.2 Mbp	0.0	193-251	41.0	3.3978509926706044	229.0773455845727	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T4_872_PSTR_S89_R1_16S	022024_BEL_CBC_T4_872_PSTR_S89_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412834.0	95.1 Mbp	0.0	198-251	35.0	2.829224337142774	230.97861852463703	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024_BEL_CBC_T1_1146_OANN_S52_R1_16S	042024_BEL_CBC_T1_1146_OANN_S52_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	657252.0	152.8 Mbp	0.0	197-251	36.0	1.9100740659594797	233.0737616621935	232	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
