Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024_BEL_CBC_T1_565_PAST_S53_R1_16S	(1.0, 1.6706724833319613)	(2.0, 0.5210305374927978)	(3.0, 0.327187422833155)	(4.0, 0.23244711498888798)	(5.0, 0.20330891431393527)	(6.0, 0.1768046752819162)	(7.0, 0.1509589266606305)	(8.0, 0.13959996707547945)	(9.0, 0.13408510988558728)	('>10', 2.800230471643757)	('>50', 1.7117458227014568)	('>100', 4.512223228249239)	('>500', 2.0101242900650256)	('>1k', 7.616100090542431)	('>5k', 6.627047493620875)	('>10k+', 71.16643345131286)
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S	(1.0, 1.1673027634724666)	(2.0, 0.31674590630636956)	(3.0, 0.17559780606410516)	(4.0, 0.13205720565038973)	(5.0, 0.0956936272828911)	(6.0, 0.0880381371002598)	(7.0, 0.07368409300782615)	(8.0, 0.07017532667412013)	(9.0, 0.06889941164368159)	('>10', 1.5086100341147781)	('>50', 0.948164356994646)	('>100', 2.0776681376903703)	('>500', 0.6749590511019918)	('>1k', 4.036038220034737)	('>5k', 1.0239218119269347)	('>10k+', 87.54244411093444)
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S	(1.0, 1.6987583056379183)	(2.0, 0.5199012760995936)	(3.0, 0.22865143438755103)	(4.0, 0.1586463452803907)	(5.0, 0.09676471361228649)	(6.0, 0.10178214320699765)	(7.0, 0.08864125617323033)	(8.0, 0.07072186476354766)	(9.0, 0.07526144392066728)	('>10', 1.1614154885662336)	('>50', 0.5015040342523194)	('>100', 1.397951455174045)	('>500', 1.016148955538406)	('>1k', 1.6932630256056156)	('>5k', 1.505706728850937)	('>10k+', 89.68488152893026)
012024_BEL_CBC_T3_625_SSID_S54_R1_16S	(1.0, 1.0431142114021281)	(2.0, 0.27487098272648336)	(3.0, 0.1652283502841026)	(4.0, 0.11634584665319489)	(5.0, 0.09094419280168874)	(6.0, 0.07479375856276815)	(7.0, 0.06311213379772365)	(8.0, 0.05550731767551347)	(9.0, 0.050803307703012335)	('>10', 1.3261780114973845)	('>50', 1.3291180177301976)	('>100', 5.202125428505909)	('>500', 2.171175002891006)	('>1k', 5.980090277791389)	('>5k', 2.854706851978526)	('>10k+', 79.20188630799898)
012024_BEL_CBC_T3_642_PSTR_S40_R1_16S	(1.0, 1.3866028054658783)	(2.0, 0.39395202403743135)	(3.0, 0.21051590525371405)	(4.0, 0.14128584245215708)	(5.0, 0.09890008971650997)	(6.0, 0.0819457886222511)	(7.0, 0.07417506728738248)	(8.0, 0.0612238650626014)	(9.0, 0.04874361564599419)	('>10', 1.1348785294969517)	('>50', 0.9281302467086286)	('>100', 1.7254533509469685)	('>500', 0.539947394571327)	('>1k', 2.8097044535652307)	('>5k', 0.0)	('>10k+', 90.36454102116697)
012024_BEL_CBC_T3_644_PSTR_S16_R1_16S	(1.0, 1.7015943690147917)	(2.0, 0.5553923066294849)	(3.0, 0.29131824913256443)	(4.0, 0.165021960764472)	(5.0, 0.1367074616002849)	(6.0, 0.10741995559196763)	(7.0, 0.0905869371885162)	(8.0, 0.06772127635145786)	(9.0, 0.058672312701047544)	('>10', 0.9063558753072268)	('>50', 0.5728091291394144)	('>100', 1.016694851431585)	('>500', 0.6678718978109291)	('>1k', 2.485740584699273)	('>5k', 3.5398961996298683)	('>10k+', 87.63619663300712)
022024_BEL_CBC_T1_771_PAST_S10_R1_16S	(1.0, 1.5687852804104452)	(2.0, 0.5515773109121874)	(3.0, 0.3168635615878523)	(4.0, 0.19025620386407865)	(5.0, 0.13565074041832895)	(6.0, 0.1093489938028667)	(7.0, 0.09181449605922519)	(8.0, 0.06627211745628284)	(9.0, 0.057159701306043954)	('>10', 0.8879773404585064)	('>50', 0.6002458971691451)	('>100', 1.700984348044593)	('>500', 0.4645951567508162)	('>1k', 0.6112222166228419)	('>5k', 0.8513896089461835)	('>10k+', 91.7958570261906)
022024_BEL_CBC_T2_808_PAST_S15_R1_16S	(1.0, 2.627997580587775)	(2.0, 0.74717142247207)	(3.0, 0.3675816551625987)	(4.0, 0.2535045897673095)	(5.0, 0.1801216822030883)	(6.0, 0.15877392727531486)	(7.0, 0.11051910624066034)	(8.0, 0.10673877463886715)	(9.0, 0.09406354515050168)	('>10', 1.8347950615526933)	('>50', 0.666672596598591)	('>100', 1.554605778125667)	('>500', 0.14454209065679927)	('>1k', 3.9244289475556817)	('>5k', 0.0)	('>10k+', 87.22848324201237)
022024_BEL_CBC_T4_872_PSTR_S89_R1_16S	(1.0, 2.1773884902890748)	(2.0, 0.6559537247416637)	(3.0, 0.30666078859783835)	(4.0, 0.19475140128962246)	(5.0, 0.1283808988600745)	(6.0, 0.09156222597944937)	(7.0, 0.06104148398629958)	(8.0, 0.08138864531506611)	(9.0, 0.04796116598923538)	('>10', 1.748160277496524)	('>50', 1.3484838942528958)	('>100', 3.4808179558854166)	('>500', 1.2947092535982985)	('>1k', 3.195957697282685)	('>5k', 0.0)	('>10k+', 85.18678209643585)
042024_BEL_CBC_T1_1146_OANN_S52_R1_16S	(1.0, 1.4499765691089568)	(2.0, 0.4235818224973069)	(3.0, 0.23141808621350715)	(4.0, 0.16188615629925812)	(5.0, 0.08748546980458027)	(6.0, 0.07394424056526264)	(7.0, 0.058577227608284196)	(8.0, 0.06816259212600342)	(9.0, 0.05066549816508736)	('>10', 1.2275352528406152)	('>50', 0.9145654939049253)	('>100', 1.9356350380067313)	('>500', 0.3942171343715957)	('>1k', 2.7195048474557706)	('>5k', 0.0)	('>10k+', 90.20284457103212)
