Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
062024_BEL_CBC_T2_1399_PAST_S44_R1_16S	97.80723145910375	44.0	232.37516014908425	232	45.45454545454545	0.549488
062024_BEL_CBC_T2_1402_MCAV_S95_R1_16S	97.59107699645006	34.0	230.72674651417054	230	45.45454545454545	0.22225699999999998
062024_BEL_CBC_T3_1418_SSID_S21_R1_16S	94.40408542704287	46.0	229.25270730340884	228	45.45454545454545	0.324862
062024_BEL_CBC_T4_1458_MCAV_S58_R1_16S	99.0427091873854	32.0	232.7338577961207	232	45.45454545454545	2.9235629999999997
082024_BEL_CBC_T2_1517_MCAV_S28_R1_16S	98.13822789083561	32.0	228.868598606898	228	45.45454545454545	0.805684
082024_BEL_CBC_T3_1559_PSTR_S74_R1_16S	97.93808219855482	35.0	232.27168081147738	232	45.45454545454545	0.647116
082024_BEL_CBC_T3_1564_PAST_S48_R1_16S	96.20257861625497	48.0	232.83367399475247	232	45.45454545454545	0.6467809999999999
082024_BEL_CBC_T4_1608_MCAV_S11_R1_16S	97.69568374113135	32.0	229.00711903113915	228	45.45454545454545	0.767169
092023_BEL_CBC_T1_188_SSID_S3_R1_16S	93.05821688001204	50.0	228.29529432476636	227	45.45454545454545	0.391931
092023_BEL_CBC_T1_194_SSID_S39_R1_16S	97.29804320872789	53.0	233.2004848593824	232	45.45454545454545	0.47828299999999996
092023_BEL_CBC_T2_173_SSID_S14_R1_16S	95.10876098672257	44.0	229.4701669291231	228	45.45454545454545	1.172893
092023_BEL_CBC_T2_192_OFAV_S64_R1_16S	96.98353486751606	35.0	229.74763535227936	228	45.45454545454545	0.8323649999999999
092023_BEL_CBC_T2_196_SSID_S63_R1_16S	96.1956171990157	45.0	228.24713702152175	227	45.45454545454545	1.3052839999999999
092023_BEL_CBC_T3_172_PSTR_S57_R1_16S	95.36671737519295	55.0	232.14643480053718	232	36.36363636363637	0.717828
092023_BEL_CBC_T3_183_SSID_S79_R1_16S	95.40457734154559	48.0	230.72268632255046	230	45.45454545454545	0.602839
092023_BEL_CBC_T3_196_SSID_S25_R1_16S	93.96257183518442	46.0	229.83301790993977	228	45.45454545454545	0.534731
092023_BEL_CBC_T4_84_OANN_S12_R1_16S	96.309635376937	34.0	229.62918183205107	229	45.45454545454545	0.183532
092023_BEL_CBC_T4_88_OFAV_S71_R1_16S	97.91389525459728	35.0	230.8895170756246	230	45.45454545454545	0.7156399999999999
092023_BEL_CBC_T4_91_MCAV_S78_R1_16S	97.84381606741131	38.0	230.66885605693665	230	45.45454545454545	1.092161
102019_BEL_CBC_T1_25_PSTR_S65_R1_16S	98.29243645766707	34.0	230.82609458458418	230	45.45454545454545	0.949013
102019_BEL_CBC_T1_27_PSTR_S88_R1_16S	98.31264029414311	33.0	230.78534080236594	230	45.45454545454545	0.600524
102019_BEL_CBC_T1_28_PSTR_S19_R1_16S	96.86510024076215	37.0	229.1859609174305	228	45.45454545454545	0.520846
102019_BEL_CBC_T1_31_PSTR_S22_R1_16S	97.23411343801324	36.0	229.08520407223682	228	45.45454545454545	0.597313
102019_BEL_CBC_T2_33_PSTR_S72_R1_16S	98.85771083139814	33.0	230.82760610469057	230	45.45454545454545	2.7667249999999997
102019_BEL_CBC_T3_36_PSTR_S83_R1_16S	98.80326259701665	33.0	230.78314131506713	230	45.45454545454545	1.741067
112023_BEL_CBC_T2_308_PAST_S62_R1_16S	97.36227109964484	42.0	232.90690373350307	232	45.45454545454545	0.617463
112023_BEL_CBC_T3_347_MCAV_S81_R1_16S	97.67948879063799	36.0	230.29139009798433	230	45.45454545454545	0.5251859999999999
112023_BEL_CBC_T4_396_MCAV_S1_R1_16S	96.18807753178021	37.0	228.9427275666661	228	45.45454545454545	0.11752599999999999
122022_BEL_CBC_T1_120_OANN_S35_R1_16S	98.09878851668265	38.0	232.8589173678609	232	45.45454545454545	1.020402
122022_BEL_CBC_T1_136_OANN_S66_R1_16S	97.41633747895541	36.0	230.93327482214892	230	45.45454545454545	0.668818
122022_BEL_CBC_T1_139_PAST_S18_R1_16S	96.48814796774514	45.0	229.12247724468685	228	45.45454545454545	0.373649
122022_BEL_CBC_T2_101_OFAV_S50_R1_16S	98.33906248053697	41.0	232.20998343306863	232	45.45454545454545	2.1675709999999997
122022_BEL_CBC_T2_102_OFAV_S27_R1_16S	97.63687779365706	34.0	229.11100860522396	228	45.45454545454545	0.822175
122022_BEL_CBC_T2_116_PSTR_S32_R1_16S	97.72320160007787	44.0	232.73463936235515	232	45.45454545454545	1.273938
122022_BEL_CBC_T2_117_PSTR_S56_R1_16S	98.13575454656105	38.0	232.84001595422836	232	45.45454545454545	1.1420169999999998
122022_BEL_CBC_T2_119_OANN_S5_R1_16S	97.25287601747743	35.0	229.16485781788955	228	45.45454545454545	0.5760569999999999
122022_BEL_CBC_T2_89_PAST_S17_R1_16S	97.54285149628684	43.0	227.50234951618665	227	45.45454545454545	0.657795
122022_BEL_CBC_T3_121_OFAV_S73_R1_16S	98.10221506946058	34.0	230.78918345501089	230	45.45454545454545	0.675419
122022_BEL_CBC_T4_12_PSTR_S86_R1_16S	97.05855238897962	44.0	230.7309270136438	230	45.45454545454545	0.607456
122022_BEL_CBC_T4_13_PSTR_S49_R1_16S	98.44560063715798	43.0	232.71285722361714	232	45.45454545454545	2.600297
122022_BEL_CBC_T4_14_MCAV_S38_R1_16S	97.92051295255605	41.0	232.30971417051157	232	45.45454545454545	0.912677
122022_BEL_CBC_T4_15_MCAV_S2_R1_16S	94.98344599061049	42.0	229.49182847964715	228	45.45454545454545	0.35550299999999996
122022_BEL_CBC_T4_35_PSTR_S87_R1_16S	97.32024657672679	44.0	232.11570916072964	232	45.45454545454545	0.79164
122022_BEL_CBC_T4_3_MCAV_S84_R1_16S	95.34229497786825	42.0	231.46246941710402	230	45.45454545454545	0.428344
122022_BEL_CBC_T4_4_PSTR_S41_R1_16S	98.20638278542783	35.0	232.4246667791463	232	45.45454545454545	0.616408
122023_BEL_CBC_T2_517_SSID_S59_R1_16S	98.52042593920075	43.0	232.81883927963574	232	45.45454545454545	2.49707
122023_BEL_CBC_T2_519_PAST_S90_R1_16S	98.25053639214391	39.0	230.73719630529678	230	45.45454545454545	0.7028439999999999
122023_BEL_CBC_T4_538_OFAV_S45_R1_16S	97.95653076869826	36.0	232.9541116805932	232	45.45454545454545	0.390023
Negative_S96_R1_16S	91.10394905447909	39.0	230.94804488797422	230	54.54545454545454	0.025752999999999998
Undetermined_S0_R1_16S	91.43783948907235	42.0	235.01166378223076	232	45.45454545454545	6.297014
