Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
022024-BEL-CBC-T2-812-PAST_S1_R2_16S	(1.0, 2.157884157268291)	(2.0, 0.6872896324903663)	(3.0, 0.4766548197949679)	(4.0, 0.38149492979552385)	(5.0, 0.2576801515715282)	(6.0, 0.2758567597736692)	(7.0, 0.2380066462233285)	(8.0, 0.1590987823810929)	(9.0, 0.16358947381926892)	('>10', 2.237219706009401)	('>50', 1.8792474456519417)	('>100', 2.520560951513363)	('>500', 0.15118661175192563)	('>1k', 16.879012218957563)	('>5k', 7.647433676764308)	('>10k+', 63.88778403623346)
022024-BEL-CBC-T2-813-MCAV_S79_R2_16S	(1.0, 1.7733784056856967)	(2.0, 0.6312024833796547)	(3.0, 0.3850578856138434)	(4.0, 0.2770142172875962)	(5.0, 0.20410505012759106)	(6.0, 0.17486014742274217)	(7.0, 0.15993306166714225)	(8.0, 0.10641895150931115)	(9.0, 0.12977425575276685)	('>10', 1.9266095104829775)	('>50', 2.202405190157872)	('>100', 11.123014418346303)	('>500', 4.65197042609214)	('>1k', 6.219923699236485)	('>5k', 47.93066927162929)	('>10k+', 22.103663025608583)
022024-BEL-CBC-T2-815-OFAV_S66_R2_16S	(1.0, 1.5767080748517108)	(2.0, 0.6466343622154487)	(3.0, 0.45031273421834844)	(4.0, 0.352560923611459)	(5.0, 0.2714760012147401)	(6.0, 0.23129141798408365)	(7.0, 0.22403160778210757)	(8.0, 0.19141358729717264)	(9.0, 0.17576920756615375)	('>10', 3.1404302920181966)	('>50', 1.0227129808473936)	('>100', 0.8116672307505111)	('>500', 0.12311002088984822)	('>1k', 3.219163444912867)	('>5k', 42.05884127294126)	('>10k+', 45.503876840898705)
022024-BEL-CBC-T3-844-OFAV_S48_R2_16S	(1.0, 1.8836695021522945)	(2.0, 0.9057532126136149)	(3.0, 0.6545068328807797)	(4.0, 0.4953862791955206)	(5.0, 0.41411398665144583)	(6.0, 0.3399481743775208)	(7.0, 0.302090015847451)	(8.0, 0.265136318442673)	(9.0, 0.24478594312360819)	('>10', 4.255231177033406)	('>50', 1.3836317085981304)	('>100', 6.41417988310486)	('>500', 0.40571541905945085)	('>1k', 0.11764455065402231)	('>5k', 13.548504635040246)	('>10k+', 68.36970236122497)
022024-BEL-CBC-T3-847-PAST_S17_R2_16S	(1.0, 6.147588512176819)	(2.0, 2.675830547786343)	(3.0, 1.8280578484207655)	(4.0, 1.3970939354662664)	(5.0, 1.1332628419401052)	(6.0, 0.8984241762739613)	(7.0, 0.8810287195579507)	(8.0, 0.7558496486799918)	(9.0, 0.7428883279896309)	('>10', 13.158980830888876)	('>50', 7.8487618527866845)	('>100', 12.822157036632786)	('>500', 30.285319598881234)	('>1k', 19.424756122518588)	('>5k', 0.0)	('>10k+', 0.0)
022024-BEL-CBC-T3-848-MCAV_S7_R2_16S	(1.0, 0.9924802419956117)	(2.0, 0.24071746586285495)	(3.0, 0.164561276441642)	(4.0, 0.1448565281298596)	(5.0, 0.13899835971284324)	(6.0, 0.1476258441088128)	(7.0, 0.10810983533221141)	(8.0, 0.10906844470954136)	(9.0, 0.09969537524231514)	('>10', 1.5582727989263574)	('>50', 0.5889056941397014)	('>100', 1.0312506657009566)	('>500', 0.15082120869991264)	('>1k', 0.9899239503227318)	('>5k', 0.0)	('>10k+', 93.53471231067465)
022024-BEL-CBC-T3-854-PAST_S62_R2_16S	(1.0, 4.78030506580893)	(2.0, 2.10619506660146)	(3.0, 1.4700452901527261)	(4.0, 1.1899538206680056)	(5.0, 0.9607002093437277)	(6.0, 0.7735859633387522)	(7.0, 0.7103769153597987)	(8.0, 0.5953635100158313)	(9.0, 0.4558010248757565)	('>10', 9.688381326462169)	('>50', 5.875735264269878)	('>100', 22.744239181491153)	('>500', 1.6395692506345068)	('>1k', 43.98963139653336)	('>5k', 3.0201167144439443)	('>10k+', 0.0)
022024-BEL-CBC-T4-870-MCAV_S5_R2_16S	(1.0, 1.1041272843847951)	(2.0, 0.27889984971530035)	(3.0, 0.20841007965471484)	(4.0, 0.1636688331967302)	(5.0, 0.1612469423628222)	(6.0, 0.14378383477095924)	(7.0, 0.1499022958250426)	(8.0, 0.11523101651857016)	(9.0, 0.11586835621170384)	('>10', 1.7087077172914082)	('>50', 0.5049005049005049)	('>100', 2.0675299645256726)	('>500', 2.052488747767718)	('>1k', 0.40636778834203724)	('>5k', 0.0)	('>10k+', 90.81886678453202)
022024-BEL-CBC-T4-873-MCAV_S51_R2_16S	(1.0, 1.9189844666273954)	(2.0, 0.7744574110338069)	(3.0, 0.5444906147012466)	(4.0, 0.4125250531134851)	(5.0, 0.3148776134399672)	(6.0, 0.29081954859286857)	(7.0, 0.24765654989660338)	(8.0, 0.22784402590487512)	(9.0, 0.20856219452006813)	('>10', 2.165933426381437)	('>50', 0.6120654733158912)	('>100', 2.550154873792453)	('>500', 0.32849872368428035)	('>1k', 31.70976775122546)	('>5k', 53.85327057008769)	('>10k+', 3.840091703682476)
042024-BEL-CBC-T1-928-OANN_S21_R2_16S	(1.0, 3.0062101579282685)	(2.0, 1.3063648819995186)	(3.0, 0.8165092204824248)	(4.0, 0.5231444020681408)	(5.0, 0.43699264281430744)	(6.0, 0.35532925307297464)	(7.0, 0.3124403888424121)	(8.0, 0.282268571563935)	(9.0, 0.2569591545906669)	('>10', 5.464215850676933)	('>50', 2.354897870892051)	('>100', 0.4588111057222971)	('>500', 4.451963848677115)	('>1k', 79.33679353375565)	('>5k', 0.6370991169132983)	('>10k+', 0.0)
