Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S	38757.0	1338853.0
012024-BEL-CBC-T2-591-PAST_S16_R2_16S	100355.0	875287.0
012024-BEL-CBC-T2-595-PAST_S86_R2_16S	68094.0	1119313.0
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S	31667.0	1166506.0
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S	38457.0	930442.0
012024-BEL-CBC-T4-669-MCAV_S23_R2_16S	51929.0	1213636.0
022024-BEL-CBC-T2-805-SSID_S12_R2_16S	28476.0	455706.0
022024-BEL-CBC-T2-806-SSID_S55_R2_16S	40177.0	415118.0
022024-BEL-CBC-T2-809-MCAV_S69_R2_16S	17278.0	667420.0
022024-BEL-CBC-T2-810-SSID_S57_R2_16S	39701.0	388948.0
022024-BEL-CBC-T2-811-PAST_S76_R2_16S	38994.0	1077859.0
022024-BEL-CBC-T2-812-PAST_S1_R2_16S	14463.0	453171.0
022024-BEL-CBC-T2-813-MCAV_S79_R2_16S	25483.0	959304.0
022024-BEL-CBC-T2-815-OFAV_S66_R2_16S	24379.0	953608.0
022024-BEL-CBC-T3-844-OFAV_S48_R2_16S	49305.0	1498578.0
022024-BEL-CBC-T3-847-PAST_S17_R2_16S	58826.0	527534.0
022024-BEL-CBC-T3-848-MCAV_S7_R2_16S	13059.0	925801.0
022024-BEL-CBC-T3-854-PAST_S62_R2_16S	40602.0	476729.0
022024-BEL-CBC-T4-870-MCAV_S5_R2_16S	12278.0	772233.0
022024-BEL-CBC-T4-873-MCAV_S51_R2_16S	16673.0	548626.0
042024-BEL-CBC-T1-928-OANN_S21_R2_16S	37312.0	764761.0
042024-BEL-CBC-T2-1027-PAST_S73_R2_16S	34701.0	1097594.0
042024-BEL-CBC-T2-1034-SSID_S44_R2_16S	65557.0	365997.0
042024-BEL-CBC-T3-944-SSID_S70_R2_16S	70713.0	895025.0
042024-BEL-CBC-T3-946-OFAV_S13_R2_16S	16296.0	625688.0
042024-BEL-CBC-T3-955-OFAV_S30_R2_16S	26864.0	751950.0
042024-BEL-CBC-T4-1041-MCAV_S39_R2_16S	41103.0	793701.0
042024-BEL-CBC-T4-1042-OFAV_S34_R2_16S	50943.0	775925.0
042024-BEL-CBC-T4-1044-PSTR_S6_R2_16S	16401.0	692333.0
042024-BEL-CBC-T4-1045-MCAV_S54_R2_16S	19895.0	808322.0
052022-BEL-CBC-T1-1-PAST_S74_R2_16S	30039.0	1243676.0
052022-BEL-CBC-T2-12-MCAV_S18_R2_16S	76404.0	1059080.0
052022-BEL-CBC-T2-3-SSID_S25_R2_16S	78616.0	524073.0
052022-BEL-CBC-T2-5-PAST_S40_R2_16S	228781.0	1349648.0
052022-BEL-CBC-T3-1-MCAV_S83_R2_16S	80995.0	2444337.0
052022-BEL-CBC-T3-15-PSTR_S94_R2_16S	90861.0	835507.0
062019-BEL-CBC-T1-5-SSID_S91_R2_16S	100173.0	1125773.0
062019-BEL-CBC-T2-17-SSID_S4_R2_16S	31048.0	711482.0
062019-BEL-CBC-T2-21-PAST_S29_R2_16S	62756.0	1047058.0
062019-BEL-CBC-T2-23-MCAV_S64_R2_16S	30282.0	854388.0
062019-BEL-CBC-T3-5-SSID_S37_R2_16S	177665.0	886342.0
062024-BEL-CBC-T1-1350-PSTR_S41_R2_16S	50038.0	778447.0
062024-BEL-CBC-T3-1424-PAST_S67_R2_16S	56542.0	699967.0
062024-BEL-CBC-T3-1427-MCAV_S84_R2_16S	56706.0	1399798.0
062024-BEL-CBC-T3-1436-MCAV_S47_R2_16S	24335.0	578166.0
062024-BEL-CBC-T4-1473-PSTR_S90_R2_16S	74847.0	1206403.0
082024-BEL-CBC-T1-1481-PSTR_S15_R2_16S	36639.0	510953.0
082024-BEL-CBC-T2-1508-SSID_S14_R2_16S	47452.0	718929.0
082024-BEL-CBC-T2-1511-SSID_S80_R2_16S	53360.0	595532.0
082024-BEL-CBC-T2-1512-PAST_S63_R2_16S	58590.0	1443013.0
082024-BEL-CBC-T3-1553-MCAV_S42_R2_16S	48435.0	1464063.0
082024-BEL-CBC-T3-1556-OFAV_S77_R2_16S	25317.0	1021863.0
082024-BEL-CBC-T3-1557-PAST_S27_R2_16S	86196.0	973404.0
092023-BEL-CBC-T1-173-SSID_S75_R2_16S	120970.0	1333734.0
092023-BEL-CBC-T1-174-MCAV_S95_R2_16S	63224.0	1201012.0
092023-BEL-CBC-T2-175-PAST_S56_R2_16S	41509.0	690422.0
092023-BEL-CBC-T2-179-SSID_S33_R2_16S	135444.0	233385.0
092023-BEL-CBC-T2-183-MCAV_S11_R2_16S	37427.0	498270.0
092023-BEL-CBC-T3-174-OFAV_S3_R2_16S	20081.0	804039.0
092023-BEL-CBC-T3-175-MCAV_S78_R2_16S	79077.0	859154.0
092023-BEL-CBC-T3-177-SSID_S89_R2_16S	124306.0	659167.0
092023-BEL-CBC-T3-182-MCAV_S87_R2_16S	207378.0	1328837.0
092023-BEL-CBC-T4-95-OFAV_S58_R2_16S	32510.0	979426.0
092023-BEL-CBC-T4-96-MCAV_S36_R2_16S	100574.0	424507.0
112023-BEL-CBC-T1-274-PAST_S2_R2_16S	35921.0	580379.0
112023-BEL-CBC-T1-275-SSID_S85_R2_16S	157189.0	736693.0
112023-BEL-CBC-T2-305-PAST_S68_R2_16S	30502.0	527553.0
