Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S	012024-BEL-CBC-T1-559-MCAV_S19_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1377610.0	345.7 Mbp	0.0	251.0	35.0	2.813350658023679	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T2-591-PAST_S16_R2_16S	012024-BEL-CBC-T2-591-PAST_S16_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	975642.0	244.8 Mbp	0.0	251.0	46.0	10.286037983004281	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T2-595-PAST_S86_R2_16S	012024-BEL-CBC-T2-595-PAST_S86_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1187407.0	298 Mbp	0.0	251.0	42.0	5.734680694993377	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S	012024-BEL-CBC-T2-599-MCAV_S81_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1198173.0	300.7 Mbp	0.0	251.0	35.0	2.6429405436443654	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S	012024-BEL-CBC-T4-665-MCAV_S24_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	968899.0	243.1 Mbp	0.0	251.0	36.0	3.969144358699926	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
012024-BEL-CBC-T4-669-MCAV_S23_R2_16S	012024-BEL-CBC-T4-669-MCAV_S23_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1265565.0	317.6 Mbp	0.0	251.0	36.0	4.103226622101591	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
022024-BEL-CBC-T2-805-SSID_S12_R2_16S	022024-BEL-CBC-T2-805-SSID_S12_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	484182.0	121.5 Mbp	0.0	251.0	50.0	5.881259526376445	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-806-SSID_S55_R2_16S	022024-BEL-CBC-T2-806-SSID_S55_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	455295.0	114.2 Mbp	0.0	251.0	45.0	8.82438858322626	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-809-MCAV_S69_R2_16S	022024-BEL-CBC-T2-809-MCAV_S69_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	684698.0	171.8 Mbp	0.0	251.0	35.0	2.523448293992388	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-810-SSID_S57_R2_16S	022024-BEL-CBC-T2-810-SSID_S57_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	428649.0	107.5 Mbp	0.0	251.0	45.0	9.261890264528787	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-811-PAST_S76_R2_16S	022024-BEL-CBC-T2-811-PAST_S76_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1116853.0	280.3 Mbp	0.0	251.0	43.0	3.4914174022901854	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-812-PAST_S1_R2_16S	022024-BEL-CBC-T2-812-PAST_S1_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467634.0	117.3 Mbp	0.0	251.0	45.0	3.0928033462066487	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-813-MCAV_S79_R2_16S	022024-BEL-CBC-T2-813-MCAV_S79_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	984787.0	247.1 Mbp	0.0	251.0	38.0	2.5876661653738324	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-815-OFAV_S66_R2_16S	022024-BEL-CBC-T2-815-OFAV_S66_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	977987.0	245.4 Mbp	0.0	251.0	35.0	2.492773421323596	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-844-OFAV_S48_R2_16S	022024-BEL-CBC-T3-844-OFAV_S48_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1547883.0	388.5 Mbp	0.0	251.0	37.0	3.1853182701793354	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-847-PAST_S17_R2_16S	022024-BEL-CBC-T3-847-PAST_S17_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	586360.0	147.1 Mbp	0.0	251.0	45.0	10.032403301725902	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
022024-BEL-CBC-T3-848-MCAV_S7_R2_16S	022024-BEL-CBC-T3-848-MCAV_S7_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	938860.0	235.6 Mbp	0.0	251.0	35.0	1.3909422065057624	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-854-PAST_S62_R2_16S	022024-BEL-CBC-T3-854-PAST_S62_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	517331.0	129.8 Mbp	0.0	251.0	46.0	7.848360140799604	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T4-870-MCAV_S5_R2_16S	022024-BEL-CBC-T4-870-MCAV_S5_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784511.0	196.9 Mbp	0.0	251.0	35.0	1.565051350459076	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T4-873-MCAV_S51_R2_16S	022024-BEL-CBC-T4-873-MCAV_S51_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	565299.0	141.8 Mbp	0.0	251.0	35.0	2.949412611732906	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T1-928-OANN_S21_R2_16S	042024-BEL-CBC-T1-928-OANN_S21_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	802073.0	201.3 Mbp	0.0	251.0	37.0	4.6518209689143015	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T2-1027-PAST_S73_R2_16S	042024-BEL-CBC-T2-1027-PAST_S73_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1132295.0	284.2 Mbp	0.0	251.0	45.0	3.064660711210418	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T2-1034-SSID_S44_R2_16S	042024-BEL-CBC-T2-1034-SSID_S44_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	431554.0	108.3 Mbp	0.0	251.0	43.0	15.19091469433721	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T3-944-SSID_S70_R2_16S	042024-BEL-CBC-T3-944-SSID_S70_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	965738.0	242.4 Mbp	0.0	251.0	45.0	7.322068718430878	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-946-OFAV_S13_R2_16S	042024-BEL-CBC-T3-946-OFAV_S13_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	641984.0	161.1 Mbp	0.0	251.0	38.0	2.538381018841591	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-955-OFAV_S30_R2_16S	042024-BEL-CBC-T3-955-OFAV_S30_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	778814.0	195.4 Mbp	0.0	251.0	34.0	3.449347340956891	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T4-1041-MCAV_S39_R2_16S	042024-BEL-CBC-T4-1041-MCAV_S39_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	834804.0	209.5 Mbp	0.0	251.0	35.0	4.92367070593816	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T4-1042-OFAV_S34_R2_16S	042024-BEL-CBC-T4-1042-OFAV_S34_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	826868.0	207.5 Mbp	0.0	251.0	37.0	6.160959185746697	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T4-1044-PSTR_S6_R2_16S	042024-BEL-CBC-T4-1044-PSTR_S6_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	708734.0	177.8 Mbp	0.0	251.0	39.0	2.31412631537361	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T4-1045-MCAV_S54_R2_16S	042024-BEL-CBC-T4-1045-MCAV_S54_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	828217.0	207.8 Mbp	0.0	251.0	35.0	2.4021482292684166	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-1-PAST_S74_R2_16S	052022-BEL-CBC-T1-1-PAST_S74_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1273715.0	319.7 Mbp	0.0	251.0	43.0	2.358376873947469	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T2-12-MCAV_S18_R2_16S	052022-BEL-CBC-T2-12-MCAV_S18_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1135484.0	285 Mbp	0.0	251.0	39.0	6.7287605990044765	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
052022-BEL-CBC-T2-3-SSID_S25_R2_16S	052022-BEL-CBC-T2-3-SSID_S25_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	602689.0	151.2 Mbp	0.0	251.0	53.0	13.044206879501699	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
052022-BEL-CBC-T2-5-PAST_S40_R2_16S	052022-BEL-CBC-T2-5-PAST_S40_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1578429.0	396.1 Mbp	0.0	251.0	54.0	14.49420186168449	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
052022-BEL-CBC-T3-1-MCAV_S83_R2_16S	052022-BEL-CBC-T3-1-MCAV_S83_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2525332.0	633.8 Mbp	0.0	251.0	35.0	3.207301059821045	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
052022-BEL-CBC-T3-15-PSTR_S94_R2_16S	052022-BEL-CBC-T3-15-PSTR_S94_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	926368.0	232.5 Mbp	0.0	251.0	38.0	9.80830512280217	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062019-BEL-CBC-T1-5-SSID_S91_R2_16S	062019-BEL-CBC-T1-5-SSID_S91_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1225946.0	307.7 Mbp	0.0	251.0	41.0	8.171011758715515	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062019-BEL-CBC-T2-17-SSID_S4_R2_16S	062019-BEL-CBC-T2-17-SSID_S4_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	742530.0	186.3 Mbp	0.0	251.0	51.0	4.1813798769073305	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T2-21-PAST_S29_R2_16S	062019-BEL-CBC-T2-21-PAST_S29_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1109814.0	278.5 Mbp	0.0	251.0	45.0	5.6546412281697656	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062019-BEL-CBC-T2-23-MCAV_S64_R2_16S	062019-BEL-CBC-T2-23-MCAV_S64_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	884670.0	222 Mbp	0.0	251.0	36.0	3.422971277425481	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
062019-BEL-CBC-T3-5-SSID_S37_R2_16S	062019-BEL-CBC-T3-5-SSID_S37_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1064007.0	267 Mbp	0.0	251.0	45.0	16.697685905005137	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062024-BEL-CBC-T1-1350-PSTR_S41_R2_16S	062024-BEL-CBC-T1-1350-PSTR_S41_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	828485.0	207.9 Mbp	0.0	251.0	37.0	6.0396989685993105	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062024-BEL-CBC-T3-1424-PAST_S67_R2_16S	062024-BEL-CBC-T3-1424-PAST_S67_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	756509.0	189.8 Mbp	0.0	251.0	46.0	7.474068385174531	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T3-1427-MCAV_S84_R2_16S	062024-BEL-CBC-T3-1427-MCAV_S84_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1456504.0	365.5 Mbp	0.0	251.0	35.0	3.893295178042765	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
062024-BEL-CBC-T3-1436-MCAV_S47_R2_16S	062024-BEL-CBC-T3-1436-MCAV_S47_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	602501.0	151.2 Mbp	0.0	251.0	36.0	4.038997445647393	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
